snapshot;anzahl_laufende_hps;mehrere_laufen
0;1;False
1;1;False
2;0;False
3;1;False
4;0;False
5;1;False
6;0;False
7;0;False
8;0;False
9;0;False
10;0;False
11;0;False
12;1;False
13;1;False
14;1;False
15;1;False
16;1;False
17;1;False
18;1;False
19;1;False
20;1;False
21;1;False
22;1;False
23;1;False
24;0;False
25;0;False
26;1;False
27;1;False
28;1;False
29;1;False
30;0;False
31;0;False
32;1;False
33;0;False
34;0;False
35;1;False
36;1;False
37;1;False
38;1;False
39;1;False
40;1;False
41;1;False
42;1;False
43;1;False
44;1;False
45;1;False
46;1;False
47;0;False
48;1;False
49;1;False
50;0;False
51;1;False
52;0;False
53;0;False
54;0;False
55;0;False
56;0;False
57;1;False
58;0;False
59;0;False
60;1;False
61;1;False
62;1;False
63;1;False
64;1;False
65;1;False
66;1;False
67;1;False
68;1;False
69;1;False
70;1;False
71;0;False
72;1;False
73;0;False
74;0;False
75;0;False
76;0;False
77;1;False
78;0;False
79;0;False
80;0;False
81;0;False
82;0;False
83;0;False
84;0;False
85;1;False
86;1;False
87;1;False
88;1;False
89;1;False
90;1;False
91;1;False
92;1;False
93;1;False
94;1;False
95;1;False
96;0;False
97;0;False
98;1;False
99;1;False
100;1;False
101;0;False
102;1;False
103;0;False
104;1;False
105;0;False
106;1;False
107;1;False
108;1;False
109;1;False
110;1;False
111;1;False
112;1;False
113;1;False
114;1;False
115;1;False
116;1;False
117;1;False
118;1;False
119;1;False
120;0;False
121;1;False
122;0;False
123;0;False
124;0;False
125;0;False
126;0;False
127;0;False
128;0;False
129;0;False
130;0;False
131;0;False
132;0;False
133;1;False
134;1;False
135;1;False
136;1;False
137;1;False
138;1;False
139;1;False
140;1;False
141;1;False
142;1;False
143;1;False
144;0;False
145;1;False
146;1;False
147;1;False
148;1;False
149;0;False
150;1;False
151;0;False
152;0;False
153;0;False
154;0;False
155;0;False
156;0;False
157;1;False
158;0;False
159;1;False
160;1;False
161;1;False
162;1;False
163;0;False
164;0;False
165;0;False
166;0;False
167;0;False
