 TIME                                   ,T_R                                     ,
  +0.0000000000000000E+00,  +4.9884831999999996E+01,
  +1.0000000000000000E+00,  +4.9186819673592957E+01,
  +2.0000000000000000E+00,  +4.7854298672454938E+01,
  +3.0000000000000000E+00,  +5.0313022291102740E+01,
  +4.0000000000000000E+00,  +5.1484056658369092E+01,
  +5.0000000000000000E+00,  +4.9963907775447126E+01,
  +6.0000000000000000E+00,  +4.7981690556872749E+01,
  +7.0000000000000000E+00,  +4.5995047312708571E+01,
  +8.0000000000000000E+00,  +4.4236437786279261E+01,
  +9.0000000000000000E+00,  +4.2653217022774754E+01,
  +1.0000000000000000E+01,  +4.1180037587005039E+01,
  +1.1000000000000000E+01,  +3.9853349146312482E+01,
  +1.2000000000000000E+01,  +4.5747587779819739E+01,
  +1.3000000000000000E+01,  +5.1456704604010937E+01,
  +1.4000000000000000E+01,  +5.3282779014197288E+01,
  +1.5000000000000000E+01,  +5.4012947766080387E+01,
  +1.6000000000000000E+01,  +5.4408616829262755E+01,
  +1.7000000000000000E+01,  +5.4632548808511217E+01,
  +1.8000000000000000E+01,  +5.4735224752665147E+01,
  +1.9000000000000000E+01,  +5.4776433869964350E+01,
  +2.0000000000000000E+01,  +5.4788880998803052E+01,
  +2.1000000000000000E+01,  +5.4796616696147936E+01,
  +2.2000000000000000E+01,  +5.4725350236615739E+01,
  +2.3000000000000000E+01,  +5.4774220906221714E+01,
  +2.4000000000000000E+01,  +5.4792545809362935E+01,
  +2.5000000000000000E+01,  +5.4784764229808388E+01,
  +2.6000000000000000E+01,  +5.4674646877048843E+01,
  +2.7000000000000000E+01,  +5.4300581731606286E+01,
  +2.8000000000000000E+01,  +5.3596330758286584E+01,
  +2.9000000000000000E+01,  +5.2298586397565700E+01,
  +3.0000000000000000E+01,  +4.9947842598519131E+01,
  +3.1000000000000000E+01,  +4.7174757756077284E+01,
  +3.2000000000000000E+01,  +4.4622503216085221E+01,
  +3.3000000000000000E+01,  +4.2225710889966294E+01,
  +3.4000000000000000E+01,  +3.9953781129356145E+01,
  +3.5000000000000000E+01,  +4.5029294352331313E+01,
  +3.6000000000000000E+01,  +5.0106186485182640E+01,
  +3.7000000000000000E+01,  +5.2015635470626208E+01,
  +3.8000000000000000E+01,  +5.3067223452766903E+01,
  +3.9000000000000000E+01,  +5.3653212090801823E+01,
  +4.0000000000000000E+01,  +5.3901171718775792E+01,
  +4.1000000000000000E+01,  +5.4014781442563375E+01,
  +4.2000000000000000E+01,  +5.3991921360147138E+01,
  +4.3000000000000000E+01,  +5.2916326060808125E+01,
  +4.4000000000000000E+01,  +5.0686991767605100E+01,
  +4.5000000000000000E+01,  +4.7896847034708571E+01,
  +4.6000000000000000E+01,  +4.5562704088652211E+01,
  +4.7000000000000000E+01,  +4.8539273926089066E+01,
  +4.8000000000000000E+01,  +4.9119554522887640E+01,
  +4.9000000000000000E+01,  +4.6649380296052676E+01,
  +5.0000000000000000E+01,  +4.4591656227881060E+01,
  +5.1000000000000000E+01,  +4.8011630410831096E+01,
  +5.2000000000000000E+01,  +4.8770392734864593E+01,
  +5.3000000000000000E+01,  +4.5473189119929252E+01,
  +5.4000000000000000E+01,  +4.7298290152514760E+01,
  +5.5000000000000000E+01,  +4.6233922554799072E+01,
  +5.6000000000000000E+01,  +4.7957782851994985E+01,
  +5.7000000000000000E+01,  +4.8022408111582585E+01,
  +5.8000000000000000E+01,  +4.4983530827081623E+01,
  +5.9000000000000000E+01,  +4.7832902719938758E+01,
  +6.0000000000000000E+01,  +5.1311283999351716E+01,
  +6.1000000000000000E+01,  +5.2680974167176210E+01,
  +6.2000000000000000E+01,  +5.3422244953867910E+01,
  +6.3000000000000000E+01,  +5.3876582480148670E+01,
  +6.4000000000000000E+01,  +5.4152369090225264E+01,
  +6.5000000000000000E+01,  +5.4273535002242937E+01,
  +6.6000000000000000E+01,  +5.4345694236678369E+01,
  +6.7000000000000000E+01,  +5.4301678619176528E+01,
  +6.8000000000000000E+01,  +5.3396044776665526E+01,
  +6.9000000000000000E+01,  +5.3201242444963292E+01,
  +7.0000000000000000E+01,  +5.2834961524095192E+01,
  +7.1000000000000000E+01,  +5.3207471473641029E+01,
  +7.2000000000000000E+01,  +5.4056699017567581E+01,
  +7.3000000000000000E+01,  +5.3835156102523946E+01,
  +7.4000000000000000E+01,  +5.2924789991952444E+01,
  +7.5000000000000000E+01,  +5.3225157217617429E+01,
  +7.6000000000000000E+01,  +5.2966938236490520E+01,
  +7.7000000000000000E+01,  +5.1166333558017470E+01,
  +7.8000000000000000E+01,  +4.8367212232113687E+01,
  +7.9000000000000000E+01,  +4.5018852448262372E+01,
  +8.0000000000000000E+01,  +4.7402558542129121E+01,
  +8.1000000000000000E+01,  +4.7327626088752361E+01,
  +8.2000000000000000E+01,  +4.4141893170149054E+01,
  +8.3000000000000000E+01,  +4.1426028563567613E+01,
  +8.4000000000000000E+01,  +4.5736261175341284E+01,
  +8.5000000000000000E+01,  +5.0239542926790087E+01,
  +8.6000000000000000E+01,  +5.1981319939828069E+01,
  +8.7000000000000000E+01,  +5.2872722983898853E+01,
  +8.8000000000000000E+01,  +5.1804326911762729E+01,
  +8.9000000000000000E+01,  +4.9418580655481470E+01,
  +9.0000000000000000E+01,  +5.0354925780594613E+01,
  +9.1000000000000000E+01,  +4.9549812420744693E+01,
  +9.2000000000000000E+01,  +4.6443201264411101E+01,
  +9.3000000000000000E+01,  +4.3619309649924780E+01,
  +9.4000000000000000E+01,  +4.7308078122895957E+01,
  +9.5000000000000000E+01,  +4.8701102018604473E+01,
  +9.6000000000000000E+01,  +4.6525123767908823E+01,
  +9.7000000000000000E+01,  +4.4735294452132393E+01,
  +9.8000000000000000E+01,  +4.3212960271522036E+01,
  +9.9000000000000000E+01,  +4.1831029173153745E+01,
  +1.0000000000000000E+02,  +4.0446484568922784E+01,
  +1.0100000000000000E+02,  +4.5486871319368717E+01,
  +1.0200000000000000E+02,  +4.5666175848217350E+01,
  +1.0300000000000000E+02,  +4.1472424050979320E+01,
  +1.0400000000000000E+02,  +4.5308040445485723E+01,
  +1.0500000000000000E+02,  +4.5628916080483464E+01,
  +1.0600000000000000E+02,  +4.1934864347838811E+01,
  +1.0700000000000000E+02,  +4.5779645786219753E+01,
  +1.0800000000000000E+02,  +5.0349508396088325E+01,
  +1.0900000000000000E+02,  +5.2207693409318580E+01,
  +1.1000000000000000E+02,  +5.3114823055853279E+01,
  +1.1100000000000000E+02,  +5.3585737733685924E+01,
  +1.1200000000000000E+02,  +5.3822549813362812E+01,
  +1.1300000000000000E+02,  +5.3937032709021295E+01,
  +1.1400000000000000E+02,  +5.3798189747372966E+01,
  +1.1500000000000000E+02,  +5.3576880476547231E+01,
  +1.1600000000000000E+02,  +5.3454993919789047E+01,
  +1.1700000000000000E+02,  +5.3445028571654319E+01,
  +1.1800000000000000E+02,  +5.3785983921878362E+01,
  +1.1900000000000000E+02,  +5.4141807106675330E+01,
  +1.2000000000000000E+02,  +5.4342545899338106E+01,
  +1.2100000000000000E+02,  +5.3923454812892139E+01,
  +1.2200000000000000E+02,  +5.3886548070817987E+01,
  +1.2300000000000000E+02,  +5.4233539067723854E+01,
  +1.2400000000000000E+02,  +5.4325322372677789E+01,
  +1.2500000000000000E+02,  +5.3368276182985689E+01,
  +1.2600000000000000E+02,  +5.2624090204064352E+01,
  +1.2700000000000000E+02,  +5.0741186662638320E+01,
  +1.2800000000000000E+02,  +4.7682894244224556E+01,
  +1.2900000000000000E+02,  +4.4709198010330333E+01,
  +1.3000000000000000E+02,  +4.1850186347299385E+01,
  +1.3100000000000000E+02,  +3.9185380767998907E+01,
  +1.3200000000000000E+02,  +4.4259746960181047E+01,
  +1.3300000000000000E+02,  +4.9339762061529569E+01,
