 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +0.0000000000000000E+00,  +1.1613000000000000E+01,  +7.0000000000000000E+02,
  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+00,  +9.1519999999999992E+00,  +7.0000000000000000E+02,
  +4.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2000000000000000E+01,  +1.4236000000000001E+01,  +7.0000000000000000E+02,
  +1.3000000000000000E+01,  +1.0236000000000001E+01,  +7.0000000000000000E+02,
  +1.4000000000000000E+01,  +7.3559999999999999E+00,  +7.0000000000000000E+02,
  +1.5000000000000000E+01,  +5.4939999999999998E+00,  +7.0000000000000000E+02,
  +1.6000000000000000E+01,  +4.1790000000000003E+00,  +7.0000000000000000E+02,
  +1.7000000000000000E+01,  +3.3590000000000000E+00,  +7.0000000000000000E+02,
  +1.8000000000000000E+01,  +2.9460000000000002E+00,  +7.0000000000000000E+02,
  +1.9000000000000000E+01,  +2.7360000000000002E+00,  +7.0000000000000000E+02,
  +2.0000000000000000E+01,  +2.6490000000000000E+00,  +7.0000000000000000E+02,
  +2.1000000000000000E+01,  +2.5470000000000002E+00,  +7.0000000000000000E+02,
  +2.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3000000000000000E+01,  +2.2669999999999999E+00,  +7.0000000000000000E+02,
  +2.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E+01,  +2.5710000000000002E+00,  +7.0000000000000000E+02,
