 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +0.0000000000000000E+00,  +5.5109029000000000E+01,
  +1.0000000000000000E+00,  +5.4631609024816413E+01,
  +2.0000000000000000E+00,  +5.3688414278849272E+01,
  +3.0000000000000000E+00,  +5.6148858052097161E+01,
  +4.0000000000000000E+00,  +5.7377655395790590E+01,
  +5.0000000000000000E+00,  +5.6168878782208651E+01,
  +6.0000000000000000E+00,  +5.4459597327329156E+01,
  +7.0000000000000000E+00,  +5.2622427335078385E+01,
  +8.0000000000000000E+00,  +5.0912897682272082E+01,
  +9.0000000000000000E+00,  +4.9340352626808830E+01,
  +1.0000000000000000E+01,  +4.7866009735392687E+01,
  +1.1000000000000000E+01,  +4.6536131863303062E+01,
  +1.2000000000000000E+01,  +5.0539817060653910E+01,
  +1.3000000000000000E+01,  +5.6320069355413672E+01,
  +1.4000000000000000E+01,  +5.9837182689777556E+01,
  +1.5000000000000000E+01,  +6.1667852450825656E+01,
  +1.6000000000000000E+01,  +6.2677563858785525E+01,
  +1.7000000000000000E+01,  +6.3253174010726219E+01,
  +1.8000000000000000E+01,  +6.3510675943342505E+01,
  +1.9000000000000000E+01,  +6.3599535186585420E+01,
  +2.0000000000000000E+01,  +6.3614142374734683E+01,
  +2.1000000000000000E+01,  +6.3633679471034149E+01,
  +2.2000000000000000E+01,  +6.3341309142044935E+01,
  +2.3000000000000000E+01,  +6.3587628484322721E+01,
  +2.4000000000000000E+01,  +6.3641711053365448E+01,
  +2.5000000000000000E+01,  +6.3592077156868527E+01,
  +2.6000000000000000E+01,  +6.3209077579803498E+01,
  +2.7000000000000000E+01,  +6.2181167358408004E+01,
  +2.8000000000000000E+01,  +6.0923876241784264E+01,
  +2.9000000000000000E+01,  +5.9213251490297580E+01,
  +3.0000000000000000E+01,  +5.6643829747812568E+01,
  +3.1000000000000000E+01,  +5.3822498009321919E+01,
  +3.2000000000000000E+01,  +5.1280838472356606E+01,
  +3.3000000000000000E+01,  +4.8892750545171019E+01,
  +3.4000000000000000E+01,  +4.6624067383647493E+01,
  +3.5000000000000000E+01,  +4.9842929225717846E+01,
  +3.6000000000000000E+01,  +5.4915570748017835E+01,
  +3.7000000000000000E+01,  +5.8117104349667869E+01,
  +3.8000000000000000E+01,  +6.0055733249650530E+01,
  +3.9000000000000000E+01,  +6.1172285572923016E+01,
  +4.0000000000000000E+01,  +6.1660523108322288E+01,
  +4.1000000000000000E+01,  +6.1874356653128437E+01,
  +4.2000000000000000E+01,  +6.1823713220570539E+01,
  +4.3000000000000000E+01,  +6.0248568011189285E+01,
  +4.4000000000000000E+01,  +5.7493707940689781E+01,
  +4.5000000000000000E+01,  +5.4558218472911271E+01,
  +4.6000000000000000E+01,  +5.2217585345146425E+01,
  +4.7000000000000000E+01,  +5.4295766630719214E+01,
  +4.8000000000000000E+01,  +5.4842813538307503E+01,
  +4.9000000000000000E+01,  +5.2971630296097231E+01,
  +5.0000000000000000E+01,  +5.1178378448016836E+01,
  +5.1000000000000000E+01,  +5.3598456355710283E+01,
  +5.2000000000000000E+01,  +5.4314105078339736E+01,
  +5.3000000000000000E+01,  +5.1811339817769827E+01,
  +5.4000000000000000E+01,  +5.2909296907020405E+01,
  +5.5000000000000000E+01,  +5.2122081218607377E+01,
  +5.6000000000000000E+01,  +5.3531598639499265E+01,
  +5.7000000000000000E+01,  +5.3722816444115757E+01,
  +5.8000000000000000E+01,  +5.1384379210141532E+01,
  +5.9000000000000000E+01,  +5.3391209317163494E+01,
  +6.0000000000000000E+01,  +5.7055362219657013E+01,
  +6.1000000000000000E+01,  +5.9369323145408465E+01,
  +6.2000000000000000E+01,  +6.0743777364803400E+01,
  +6.3000000000000000E+01,  +6.1609336354292282E+01,
  +6.4000000000000000E+01,  +6.2146901523085354E+01,
  +6.5000000000000000E+01,  +6.2380376975563756E+01,
  +6.6000000000000000E+01,  +6.2523190066628253E+01,
  +6.7000000000000000E+01,  +6.2411432333121972E+01,
  +6.8000000000000000E+01,  +6.0906350527940113E+01,
  +6.9000000000000000E+01,  +6.0486462125060918E+01,
  +7.0000000000000000E+01,  +6.0034935097179464E+01,
  +7.1000000000000000E+01,  +6.0559614655865126E+01,
  +7.2000000000000000E+01,  +6.1939991912949750E+01,
  +7.3000000000000000E+01,  +6.1579562028073859E+01,
  +7.4000000000000000E+01,  +6.0150215460409214E+01,
  +7.5000000000000000E+01,  +6.0555170052174759E+01,
  +7.6000000000000000E+01,  +6.0223695277795407E+01,
  +7.7000000000000000E+01,  +5.8053265817682778E+01,
  +7.8000000000000000E+01,  +5.5066789933657255E+01,
  +7.9000000000000000E+01,  +5.1679761973455641E+01,
  +8.0000000000000000E+01,  +5.2977235538301933E+01,
  +8.1000000000000000E+01,  +5.3002466225469902E+01,
  +8.2000000000000000E+01,  +5.0568445500871576E+01,
  +8.3000000000000000E+01,  +4.8093414857301319E+01,
  +8.4000000000000000E+01,  +5.0796520559444581E+01,
  +8.5000000000000000E+01,  +5.5320830211360963E+01,
  +8.6000000000000000E+01,  +5.8188278470012897E+01,
  +8.7000000000000000E+01,  +5.9811680774166234E+01,
  +8.8000000000000000E+01,  +5.8749216196906097E+01,
  +8.9000000000000000E+01,  +5.6149865535392301E+01,
  +9.0000000000000000E+01,  +5.6683006868939628E+01,
  +9.1000000000000000E+01,  +5.5930688738493444E+01,
  +9.2000000000000000E+01,  +5.3067359688709878E+01,
  +9.3000000000000000E+01,  +5.0299342381505532E+01,
  +9.4000000000000000E+01,  +5.2693033161256970E+01,
  +9.5000000000000000E+01,  +5.3884795019574462E+01,
  +9.6000000000000000E+01,  +5.2462896427496617E+01,
  +9.7000000000000000E+01,  +5.1095883020037824E+01,
  +9.8000000000000000E+01,  +4.9782102009817656E+01,
  +9.9000000000000000E+01,  +4.8491479688265180E+01,
  +1.0000000000000000E+02,  +4.7139949731456568E+01,
  +1.0100000000000000E+02,  +5.0454501668134917E+01,
  +1.0200000000000000E+02,  +5.0881189665724584E+01,
  +1.0300000000000000E+02,  +4.7906169215874371E+01,
  +1.0400000000000000E+02,  +5.0330522714919120E+01,
  +1.0500000000000000E+02,  +5.0808256381020279E+01,
  +1.0600000000000000E+02,  +4.8265151196453331E+01,
  +1.0700000000000000E+02,  +5.0836908555985872E+01,
  +1.0800000000000000E+02,  +5.5427032800155615E+01,
  +1.0900000000000000E+02,  +5.8453549404573884E+01,
  +1.1000000000000000E+02,  +6.0168656579992849E+01,
  +1.1100000000000000E+02,  +6.1077052057514869E+01,
  +1.1200000000000000E+02,  +6.1523494890292454E+01,
  +1.1300000000000000E+02,  +6.1731513394198011E+01,
  +1.1400000000000000E+02,  +6.1481833884798881E+01,
  +1.1500000000000000E+02,  +6.1107666701776992E+01,
  +1.1600000000000000E+02,  +6.0911863525256130E+01,
  +1.1700000000000000E+02,  +6.0895776089836481E+01,
  +1.1800000000000000E+02,  +6.1475099603025114E+01,
  +1.1900000000000000E+02,  +6.2130919511563889E+01,
  +1.2000000000000000E+02,  +6.2540096911523385E+01,
  +1.2100000000000000E+02,  +6.1726233036847020E+01,
  +1.2200000000000000E+02,  +6.1614069922931556E+01,
  +1.2300000000000000E+02,  +6.2302763596780615E+01,
  +1.2400000000000000E+02,  +6.2483590287930411E+01,
  +1.2500000000000000E+02,  +6.0899907374723888E+01,
  +1.2600000000000000E+02,  +5.9651370746690738E+01,
  +1.2700000000000000E+02,  +5.7581243141513319E+01,
  +1.2800000000000000E+02,  +5.4368712140469029E+01,
  +1.2900000000000000E+02,  +5.1372257047040499E+01,
  +1.3000000000000000E+02,  +4.8516895344624238E+01,
  +1.3100000000000000E+02,  +4.5855202936321042E+01,
  +1.3200000000000000E+02,  +4.8965611544005299E+01,
  +1.3300000000000000E+02,  +5.3998104096548083E+01,
  +1.3400000000000000E+02,  +5.7162557040409439E+01,
  +1.3500000000000000E+02,  +5.8915866799046732E+01,
  +1.3600000000000000E+02,  +5.9971653886945909E+01,
  +1.3700000000000000E+02,  +6.0488530118475886E+01,
  +1.3800000000000000E+02,  +6.0716189075334889E+01,
  +1.3900000000000000E+02,  +6.0748456887713893E+01,
  +1.4000000000000000E+02,  +6.0611063171204194E+01,
  +1.4100000000000000E+02,  +6.0557528905787137E+01,
  +1.4200000000000000E+02,  +5.9594026331228527E+01,
  +1.4300000000000000E+02,  +5.7788964805699663E+01,
  +1.4400000000000000E+02,  +5.8612712615109650E+01,
  +1.4500000000000000E+02,  +6.0472850992764734E+01,
  +1.4600000000000000E+02,  +6.1606202134293170E+01,
  +1.4700000000000000E+02,  +6.2249089587810715E+01,
  +1.4800000000000000E+02,  +6.2488064691271866E+01,
  +1.4900000000000000E+02,  +6.1007212248236577E+01,
  +1.5000000000000000E+02,  +5.7578725618204992E+01,
  +1.5100000000000000E+02,  +5.3908051442168947E+01,
  +1.5200000000000000E+02,  +5.0556026402832174E+01,
  +1.5300000000000000E+02,  +4.7742848825474873E+01,
  +1.5400000000000000E+02,  +5.0413880960247049E+01,
  +1.5500000000000000E+02,  +5.0898523695698145E+01,
  +1.5600000000000000E+02,  +4.8448576162616597E+01,
  +1.5700000000000000E+02,  +5.0987590906364289E+01,
  +1.5800000000000000E+02,  +5.1595740075802034E+01,
  +1.5900000000000000E+02,  +4.9122294169616360E+01,
  +1.6000000000000000E+02,  +4.6418192252564552E+01,
  +1.6100000000000000E+02,  +4.9166538860920973E+01,
  +1.6200000000000000E+02,  +4.9198864250825658E+01,
  +1.6300000000000000E+02,  +5.0847659446120495E+01,
  +1.6400000000000000E+02,  +5.0358430175198457E+01,
  +1.6500000000000000E+02,  +4.7148176448527103E+01,
  +1.6600000000000000E+02,  +5.0122496443240387E+01,
  +1.6700000000000000E+02,  +5.5494900891845866E+01,
  +1.6800000000000000E+02,  +5.8961867650912190E+01,
  +1.6900000000000000E+02,  +6.0976068105951640E+01,
  +1.7000000000000000E+02,  +6.2131077773692162E+01,
  +1.7100000000000000E+02,  +6.1712663624002822E+01,
  +1.7200000000000000E+02,  +6.0065064238423510E+01,
  +1.7300000000000000E+02,  +5.7642101235938732E+01,
  +1.7400000000000000E+02,  +5.4389051922692509E+01,
  +1.7500000000000000E+02,  +5.0894451162202778E+01,
  +1.7600000000000000E+02,  +4.7786598754467725E+01,
  +1.7700000000000000E+02,  +5.0235525024811686E+01,
  +1.7800000000000000E+02,  +5.0587976175587869E+01,
  +1.7900000000000000E+02,  +5.2538841118458016E+01,
  +1.8000000000000000E+02,  +5.6255111859354905E+01,
  +1.8100000000000000E+02,  +5.8696871343792822E+01,
  +1.8200000000000000E+02,  +6.0029276524670514E+01,
  +1.8300000000000000E+02,  +6.0772675844776224E+01,
  +1.8400000000000000E+02,  +6.1136372017883929E+01,
  +1.8500000000000000E+02,  +6.1272864823530362E+01,
  +1.8600000000000000E+02,  +6.1186426655640695E+01,
  +1.8700000000000000E+02,  +6.1033363175019950E+01,
  +1.8800000000000000E+02,  +5.9045235749031285E+01,
  +1.8900000000000000E+02,  +5.8435265588133035E+01,
  +1.9000000000000000E+02,  +5.9913241583367075E+01,
  +1.9100000000000000E+02,  +6.1282892864937331E+01,
  +1.9200000000000000E+02,  +6.2197311159835728E+01,
  +1.9300000000000000E+02,  +6.1690540128172891E+01,
  +1.9400000000000000E+02,  +6.1665216691670999E+01,
  +1.9500000000000000E+02,  +6.2375397845902263E+01,
  +1.9600000000000000E+02,  +6.1603669323355270E+01,
  +1.9700000000000000E+02,  +5.9508576373923098E+01,
  +1.9800000000000000E+02,  +5.6546503790297379E+01,
  +1.9900000000000000E+02,  +5.3212349389274685E+01,
  +2.0000000000000000E+02,  +5.0294986285889273E+01,
  +2.0100000000000000E+02,  +4.7604941971879875E+01,
  +2.0200000000000000E+02,  +5.0348526313115464E+01,
  +2.0300000000000000E+02,  +5.5029567169796174E+01,
  +2.0400000000000000E+02,  +5.8092356575242285E+01,
  +2.0500000000000000E+02,  +5.9934946270373324E+01,
  +2.0600000000000000E+02,  +6.0965186422730987E+01,
  +2.0700000000000000E+02,  +6.1620422262683569E+01,
  +2.0800000000000000E+02,  +6.1991093623220983E+01,
  +2.0900000000000000E+02,  +6.2153779591008195E+01,
  +2.1000000000000000E+02,  +6.0772364884275270E+01,
  +2.1100000000000000E+02,  +6.0182329722237391E+01,
  +2.1200000000000000E+02,  +6.0760749734665133E+01,
  +2.1300000000000000E+02,  +6.1164131890344784E+01,
  +2.1400000000000000E+02,  +6.1868672750051907E+01,
  +2.1500000000000000E+02,  +6.2631879968238586E+01,
  +2.1600000000000000E+02,  +6.2256244448153097E+01,
  +2.1700000000000000E+02,  +6.1102489581288523E+01,
  +2.1800000000000000E+02,  +5.9942670151575442E+01,
  +2.1900000000000000E+02,  +5.8668427677317318E+01,
  +2.2000000000000000E+02,  +5.7201132628031786E+01,
  +2.2100000000000000E+02,  +5.5262546172270383E+01,
  +2.2200000000000000E+02,  +5.2448731938942750E+01,
  +2.2300000000000000E+02,  +5.3574663770719155E+01,
  +2.2400000000000000E+02,  +5.3325855530531292E+01,
  +2.2500000000000000E+02,  +5.4698146429535505E+01,
  +2.2600000000000000E+02,  +5.7656856672160863E+01,
  +2.2700000000000000E+02,  +5.7366453185864096E+01,
  +2.2800000000000000E+02,  +5.8043870266579951E+01,
  +2.2900000000000000E+02,  +5.9994018327543756E+01,
  +2.3000000000000000E+02,  +6.1144699574082459E+01,
  +2.3100000000000000E+02,  +6.1839661145858081E+01,
  +2.3200000000000000E+02,  +6.2157237850058607E+01,
  +2.3300000000000000E+02,  +6.2150310832753497E+01,
  +2.3400000000000000E+02,  +6.0598270427298949E+01,
  +2.3500000000000000E+02,  +5.7945207279062686E+01,
  +2.3600000000000000E+02,  +5.5240883660272793E+01,
  +2.3700000000000000E+02,  +5.2531082547564289E+01,
  +2.3800000000000000E+02,  +5.0556435481350263E+01,
  +2.3900000000000000E+02,  +5.3428057842626892E+01,
  +2.4000000000000000E+02,  +5.4827732649883608E+01,
  +2.4100000000000000E+02,  +5.3620181511704097E+01,
  +2.4200000000000000E+02,  +5.2437056043438986E+01,
  +2.4300000000000000E+02,  +5.4977014675181088E+01,
  +2.4400000000000000E+02,  +5.6053496952846594E+01,
  +2.4500000000000000E+02,  +5.4335049840500169E+01,
  +2.4600000000000000E+02,  +5.5329230065711783E+01,
  +2.4700000000000000E+02,  +5.4799493000456529E+01,
  +2.4800000000000000E+02,  +5.2418559335987105E+01,
  +2.4900000000000000E+02,  +5.0261019007844105E+01,
  +2.5000000000000000E+02,  +4.8328929902110524E+01,
  +2.5100000000000000E+02,  +5.1339018845682425E+01,
  +2.5200000000000000E+02,  +5.2445540193240959E+01,
  +2.5300000000000000E+02,  +5.0640245083863682E+01,
  +2.5400000000000000E+02,  +4.8941091115076972E+01,
  +2.5500000000000000E+02,  +4.7235811633725099E+01,
  +2.5600000000000000E+02,  +5.0499111259507941E+01,
  +2.5700000000000000E+02,  +5.1493974674815426E+01,
  +2.5800000000000000E+02,  +5.3479210639335001E+01,
  +2.5900000000000000E+02,  +5.6946009503573997E+01,
  +2.6000000000000000E+02,  +5.9052742974779107E+01,
  +2.6100000000000000E+02,  +6.0442073921155121E+01,
  +2.6200000000000000E+02,  +6.0132682335532344E+01,
  +2.6300000000000000E+02,  +6.0643562953408804E+01,
  +2.6400000000000000E+02,  +6.1996242726551777E+01,
  +2.6500000000000000E+02,  +6.2794202060587445E+01,
  +2.6600000000000000E+02,  +6.2338722070252174E+01,
  +2.6700000000000000E+02,  +6.2305552959973056E+01,
  +2.6800000000000000E+02,  +6.1852285696746627E+01,
  +2.6900000000000000E+02,  +6.0021942942806788E+01,
