 TIME                                   ,Massenstrom                             ,
  +2.1120000000000000E+03,  +1.9562784022961011E+02,
  +2.1130000000000000E+03,  +2.0113848361635971E+02,
  +2.1140000000000000E+03,  +2.0802678784979668E+02,
  +2.1150000000000000E+03,  +2.2180339631667064E+02,
  +2.1160000000000000E+03,  +2.5624491748385555E+02,
  +2.1170000000000000E+03,  +3.4165988997847404E+02,
  +2.1180000000000000E+03,  +4.2707486247309254E+02,
  +2.1190000000000000E+03,  +4.0227696723271941E+02,
  +2.1200000000000000E+03,  +3.9401100215259504E+02,
  +2.1210000000000000E+03,  +3.7747907199234635E+02,
  +2.1220000000000000E+03,  +3.6094714183209760E+02,
  +2.1230000000000000E+03,  +3.4579287251853623E+02,
  +2.1240000000000000E+03,  +3.3890456828509923E+02,
  +2.1250000000000000E+03,  +3.4579287251853623E+02,
  +2.1260000000000000E+03,  +3.5543649844534798E+02,
  +2.1270000000000000E+03,  +3.6921310691222197E+02,
  +2.1280000000000000E+03,  +3.8436737622578329E+02,
  +2.1290000000000000E+03,  +3.9538866299928242E+02,
  +2.1300000000000000E+03,  +4.0227696723271941E+02,
  +2.1310000000000000E+03,  +3.9814398469265723E+02,
  +2.1320000000000000E+03,  +3.8023439368572110E+02,
  +2.1330000000000000E+03,  +3.3752690743841185E+02,
  +2.1340000000000000E+03,  +2.4797895240373114E+02,
  +2.1350000000000000E+03,  +2.0527146615642189E+02,
  +2.1360000000000000E+03,  +2.0802678784979668E+02,
  +2.1370000000000000E+03,  +2.1353743123654627E+02,
  +2.1380000000000000E+03,  +2.2042573546998324E+02,
  +2.1390000000000000E+03,  +2.3420234393685723E+02,
  +2.1400000000000000E+03,  +2.7139918679741692E+02,
  +2.1410000000000000E+03,  +3.6094714183209760E+02,
  +2.1420000000000000E+03,  +4.5187275771346566E+02,
  +2.1430000000000000E+03,  +4.2569720162640510E+02,
  +2.1440000000000000E+03,  +4.1743123654628079E+02,
  +2.1450000000000000E+03,  +3.9952164553934460E+02,
  +2.1460000000000000E+03,  +3.8298971537909591E+02,
  +2.1470000000000000E+03,  +3.6645778521884716E+02,
  +2.1480000000000000E+03,  +3.5956948098541022E+02,
  +2.1490000000000000E+03,  +3.6645778521884716E+02,
  +2.1500000000000000E+03,  +3.7610141114565897E+02,
  +2.1510000000000000E+03,  +3.9125568045922023E+02,
  +2.1520000000000000E+03,  +4.0640994977278154E+02,
  +2.1530000000000000E+03,  +4.1880889739296816E+02,
  +2.1540000000000000E+03,  +4.2431954077971773E+02,
  +2.1550000000000000E+03,  +4.2156421908634292E+02,
  +2.1560000000000000E+03,  +4.0089930638603204E+02,
  +2.1570000000000000E+03,  +3.5681415929203541E+02,
  +2.1580000000000000E+03,  +2.6175556087060511E+02,
  +2.1590000000000000E+03,  +2.1767041377660846E+02,
  +2.1600000000000000E+03,  +2.0527146615642189E+02,
  +2.1610000000000000E+03,  +2.1078210954317146E+02,
  +2.1620000000000000E+03,  +2.1767041377660846E+02,
  +2.1630000000000000E+03,  +2.3144702224348242E+02,
  +2.1640000000000000E+03,  +2.6726620425735467E+02,
  +2.1650000000000000E+03,  +3.5681415929203541E+02,
  +2.1660000000000000E+03,  +4.4498445348002872E+02,
  +2.1670000000000000E+03,  +4.2018655823965560E+02,
  +2.1680000000000000E+03,  +4.1192059315953117E+02,
  +2.1690000000000000E+03,  +3.9401100215259504E+02,
