 TIME                                   ,T_R                                     ,
  +2.1120000000000000E+03,  +4.9884831999999996E+01,
  +2.1130000000000000E+03,  +5.1658819200211255E+01,
  +2.1140000000000000E+03,  +5.1902856522765028E+01,
  +2.1150000000000000E+03,  +5.2481079047396314E+01,
  +2.1160000000000000E+03,  +5.2421807509693188E+01,
  +2.1170000000000000E+03,  +5.2612562543986840E+01,
  +2.1180000000000000E+03,  +5.1734754867499760E+01,
  +2.1190000000000000E+03,  +4.9362725007803114E+01,
  +2.1200000000000000E+03,  +4.6939807277907761E+01,
  +2.1210000000000000E+03,  +4.4549214590080560E+01,
  +2.1220000000000000E+03,  +4.2250742015297064E+01,
  +2.1230000000000000E+03,  +4.0050848313767652E+01,
  +2.1240000000000000E+03,  +4.5115701973670568E+01,
  +2.1250000000000000E+03,  +5.0091388804299598E+01,
  +2.1260000000000000E+03,  +5.1921986552068219E+01,
  +2.1270000000000000E+03,  +5.2875383748917955E+01,
  +2.1280000000000000E+03,  +5.3388412226105324E+01,
  +2.1290000000000000E+03,  +5.3662052497906799E+01,
  +2.1300000000000000E+03,  +5.3805652226005861E+01,
  +2.1310000000000000E+03,  +5.3892419722591832E+01,
  +2.1320000000000000E+03,  +5.3012798917926169E+01,
  +2.1330000000000000E+03,  +5.2983200301530246E+01,
  +2.1340000000000000E+03,  +5.3769656139651154E+01,
  +2.1350000000000000E+03,  +5.3585295168140533E+01,
  +2.1360000000000000E+03,  +5.2699074679248277E+01,
  +2.1370000000000000E+03,  +5.1638651024113635E+01,
  +2.1380000000000000E+03,  +5.2471395549853895E+01,
  +2.1390000000000000E+03,  +5.2571247954854790E+01,
  +2.1400000000000000E+03,  +5.2893106635884862E+01,
  +2.1410000000000000E+03,  +5.2364467904280190E+01,
  +2.1420000000000000E+03,  +5.0045776668623084E+01,
  +2.1430000000000000E+03,  +4.7429157755000929E+01,
  +2.1440000000000000E+03,  +4.4813514271623447E+01,
  +2.1450000000000000E+03,  +4.2270304173762774E+01,
  +2.1460000000000000E+03,  +3.9834218108067297E+01,
  +2.1470000000000000E+03,  +3.7503135356382778E+01,
  +2.1480000000000000E+03,  +4.3511314577652094E+01,
  +2.1490000000000000E+03,  +4.4630663255674698E+01,
  +2.1500000000000000E+03,  +4.6819898883250879E+01,
  +2.1510000000000000E+03,  +5.0456126957972472E+01,
  +2.1520000000000000E+03,  +5.1942085587257402E+01,
  +2.1530000000000000E+03,  +5.2742836088206985E+01,
  +2.1540000000000000E+03,  +5.3199557662519510E+01,
  +2.1550000000000000E+03,  +5.3474971084598749E+01,
  +2.1560000000000000E+03,  +5.3677878120951746E+01,
  +2.1570000000000000E+03,  +5.3885060672458330E+01,
  +2.1580000000000000E+03,  +5.4167713679533549E+01,
  +2.1590000000000000E+03,  +5.3901856726269123E+01,
  +2.1600000000000000E+03,  +5.3100409918100283E+01,
  +2.1610000000000000E+03,  +5.3434735358979850E+01,
  +2.1620000000000000E+03,  +5.3368702232716331E+01,
  +2.1630000000000000E+03,  +5.3556174014677566E+01,
  +2.1640000000000000E+03,  +5.3298537078627639E+01,
  +2.1650000000000000E+03,  +5.1757059010566081E+01,
  +2.1660000000000000E+03,  +4.9432799950475420E+01,
  +2.1670000000000000E+03,  +4.6816724001705481E+01,
  +2.1680000000000000E+03,  +4.4223081845004877E+01,
  +2.1690000000000000E+03,  +4.1712041323333892E+01,
  +2.1700000000000000E+03,  +3.9310482706014817E+01,
  +2.1710000000000000E+03,  +3.7013985643390249E+01,
  +2.1720000000000000E+03,  +4.3249285192767104E+01,
  +2.1730000000000000E+03,  +4.9165349890254305E+01,
  +2.1740000000000000E+03,  +5.1343553076330927E+01,
  +2.1750000000000000E+03,  +5.2490479209291223E+01,
  +2.1760000000000000E+03,  +5.3116667201933673E+01,
  +2.1770000000000000E+03,  +5.3456068917760788E+01,
  +2.1780000000000000E+03,  +5.3640604886825557E+01,
  +2.1790000000000000E+03,  +5.3754034581058313E+01,
  +2.1800000000000000E+03,  +5.3856617110821666E+01,
  +2.1810000000000000E+03,  +5.3062509911760017E+01,
  +2.1820000000000000E+03,  +5.3183073243979877E+01,
  +2.1830000000000000E+03,  +5.3093868630147860E+01,
  +2.1840000000000000E+03,  +5.2155510449643188E+01,
  +2.1850000000000000E+03,  +5.1194255758945587E+01,
  +2.1860000000000000E+03,  +5.0132748391473442E+01,
  +2.1870000000000000E+03,  +4.8960259445166820E+01,
  +2.1880000000000000E+03,  +5.0837271456501419E+01,
  +2.1890000000000000E+03,  +5.0995652641898694E+01,
  +2.1900000000000000E+03,  +4.8528887082660091E+01,
  +2.1910000000000000E+03,  +4.6061229589748706E+01,
