 TIME                                   ,T_R                                     ,
  +2.1120000000000000E+03,  +4.9884999999999998E+01,
  +2.1130000000000000E+03,  +5.2173000000000002E+01,
  +2.1140000000000000E+03,  +5.0729999999999997E+01,
  +2.1150000000000000E+03,  +5.2612000000000002E+01,
  +2.1160000000000000E+03,  +5.1110999999999997E+01,
  +2.1170000000000000E+03,  +5.2524000000000001E+01,
  +2.1180000000000000E+03,  +5.0048000000000002E+01,
  +2.1190000000000000E+03,  +4.7619999999999997E+01,
  +2.1200000000000000E+03,  +4.5195000000000000E+01,
  +2.1210000000000000E+03,  +4.2850000000000001E+01,
  +2.1220000000000000E+03,  +4.0600000000000001E+01,
  +2.1230000000000000E+03,  +3.8439999999999998E+01,
  +2.1240000000000000E+03,  +4.6228000000000002E+01,
  +2.1250000000000000E+03,  +4.9768000000000001E+01,
  +2.1260000000000000E+03,  +5.1573999999999998E+01,
  +2.1270000000000000E+03,  +5.2564999999999998E+01,
  +2.1280000000000000E+03,  +5.3127000000000002E+01,
  +2.1290000000000000E+03,  +5.3456000000000003E+01,
  +2.1300000000000000E+03,  +5.3651000000000003E+01,
  +2.1310000000000000E+03,  +5.3786000000000001E+01,
  +2.1320000000000000E+03,  +5.1950000000000003E+01,
  +2.1330000000000000E+03,  +5.3011000000000003E+01,
  +2.1340000000000000E+03,  +5.3744000000000000E+01,
  +2.1350000000000000E+03,  +5.2841000000000001E+01,
  +2.1360000000000000E+03,  +5.1802000000000000E+01,
  +2.1370000000000000E+03,  +5.0639000000000003E+01,
  +2.1380000000000000E+03,  +5.2631999999999998E+01,
  +2.1390000000000000E+03,  +5.1359000000000002E+01,
  +2.1400000000000000E+03,  +5.2853999999999999E+01,
  +2.1410000000000000E+03,  +5.0881000000000000E+01,
  +2.1420000000000000E+03,  +4.8219000000000001E+01,
  +2.1430000000000000E+03,  +4.5624000000000002E+01,
  +2.1440000000000000E+03,  +4.3039999999999999E+01,
  +2.1450000000000000E+03,  +4.0552000000000000E+01,
  +2.1460000000000000E+03,  +3.8161000000000001E+01,
  +2.1470000000000000E+03,  +3.5869999999999997E+01,
  +2.1480000000000000E+03,  +4.4844999999999999E+01,
  +2.1490000000000000E+03,  +4.1359000000000002E+01,
  +2.1500000000000000E+03,  +4.7305000000000000E+01,
  +2.1510000000000000E+03,  +5.0109999999999999E+01,
  +2.1520000000000000E+03,  +5.1591000000000001E+01,
  +2.1530000000000000E+03,  +5.2436999999999998E+01,
  +2.1540000000000000E+03,  +5.2951999999999998E+01,
  +2.1550000000000000E+03,  +5.3286999999999999E+01,
  +2.1560000000000000E+03,  +5.3551000000000002E+01,
  +2.1570000000000000E+03,  +5.3814000000000000E+01,
  +2.1580000000000000E+03,  +5.4152000000000001E+01,
  +2.1590000000000000E+03,  +5.3299999999999997E+01,
  +2.1600000000000000E+03,  +5.2344999999999999E+01,
  +2.1610000000000000E+03,  +5.3494000000000000E+01,
  +2.1620000000000000E+03,  +5.2491000000000000E+01,
  +2.1630000000000000E+03,  +5.3526000000000003E+01,
  +2.1640000000000000E+03,  +5.2268999999999998E+01,
  +2.1650000000000000E+03,  +5.0332999999999998E+01,
  +2.1660000000000000E+03,  +4.7710000000000001E+01,
  +2.1670000000000000E+03,  +4.5143000000000001E+01,
  +2.1680000000000000E+03,  +4.2590000000000003E+01,
  +2.1690000000000000E+03,  +4.0134000000000000E+01,
  +2.1700000000000000E+03,  +3.7776000000000003E+01,
  +2.1710000000000000E+03,  +3.5520000000000003E+01,
  +2.1720000000000000E+03,  +4.4698999999999998E+01,
