 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +2.1120000000000000E+03,  +5.5109032333333325E+01,
  +2.1130000000000000E+03,  +5.7543297853658792E+01,
  +2.1140000000000000E+03,  +5.8171129769347495E+01,
  +2.1150000000000000E+03,  +5.9182674435884906E+01,
  +2.1160000000000000E+03,  +5.9168182559528496E+01,
  +2.1170000000000000E+03,  +5.9457794636453734E+01,
  +2.1180000000000000E+03,  +5.8304788891313450E+01,
  +2.1190000000000000E+03,  +5.5351086860675672E+01,
  +2.1200000000000000E+03,  +5.2556934819196833E+01,
  +2.1210000000000000E+03,  +4.9932554489389254E+01,
  +2.1220000000000000E+03,  +4.7492900779514549E+01,
  +2.1230000000000000E+03,  +4.5211915771210947E+01,
  +2.1240000000000000E+03,  +4.8955392175039435E+01,
  +2.1250000000000000E+03,  +5.4407829488776976E+01,
  +2.1260000000000000E+03,  +5.7692561586629346E+01,
  +2.1270000000000000E+03,  +5.9569252719953845E+01,
  +2.1280000000000000E+03,  +6.0591805494593281E+01,
  +2.1290000000000000E+03,  +6.1133436673165875E+01,
  +2.1300000000000000E+03,  +6.1417777171508050E+01,
  +2.1310000000000000E+03,  +6.1591911268236117E+01,
  +2.1320000000000000E+03,  +6.0181290544509487E+01,
  +2.1330000000000000E+03,  +6.0002935026870098E+01,
  +2.1340000000000000E+03,  +6.1318544009334580E+01,
  +2.1350000000000000E+03,  +6.1034690425065357E+01,
  +2.1360000000000000E+03,  +5.9643355624032274E+01,
  +2.1370000000000000E+03,  +5.8211800594192830E+01,
  +2.1380000000000000E+03,  +5.9215531927884037E+01,
  +2.1390000000000000E+03,  +5.9300250847600211E+01,
  +2.1400000000000000E+03,  +5.9815522119994831E+01,
  +2.1410000000000000E+03,  +5.9092729605124639E+01,
  +2.1420000000000000E+03,  +5.6106448581052383E+01,
  +2.1430000000000000E+03,  +5.3028272323263629E+01,
  +2.1440000000000000E+03,  +5.0144693357719461E+01,
  +2.1450000000000000E+03,  +4.7443953929791945E+01,
  +2.1460000000000000E+03,  +4.4922490234579307E+01,
  +2.1470000000000000E+03,  +4.2552069002017028E+01,
  +2.1480000000000000E+03,  +4.6897060029168138E+01,
  +2.1490000000000000E+03,  +4.8116297681127186E+01,
  +2.1500000000000000E+03,  +5.0820183767633182E+01,
  +2.1510000000000000E+03,  +5.5308799537336228E+01,
  +2.1520000000000000E+03,  +5.7957220712560122E+01,
  +2.1530000000000000E+03,  +5.9462472018069178E+01,
  +2.1540000000000000E+03,  +6.0316373419227837E+01,
  +2.1550000000000000E+03,  +6.0827036020882986E+01,
  +2.1560000000000000E+03,  +6.1202510089344834E+01,
  +2.1570000000000000E+03,  +6.1591410297043694E+01,
  +2.1580000000000000E+03,  +6.2158060824788485E+01,
  +2.1590000000000000E+03,  +6.1625137996519449E+01,
  +2.1600000000000000E+03,  +6.0222383172086097E+01,
  +2.1610000000000000E+03,  +6.0759011989763820E+01,
  +2.1620000000000000E+03,  +6.0647612109039848E+01,
  +2.1630000000000000E+03,  +6.0969348210515300E+01,
  +2.1640000000000000E+03,  +6.0546993611282574E+01,
  +2.1650000000000000E+03,  +5.8311003253120361E+01,
  +2.1660000000000000E+03,  +5.5397482752090930E+01,
  +2.1670000000000000E+03,  +5.2403051484075839E+01,
  +2.1680000000000000E+03,  +4.9597269840251279E+01,
  +2.1690000000000000E+03,  +4.6964202720864897E+01,
  +2.1700000000000000E+03,  +4.4499542579277126E+01,
  +2.1710000000000000E+03,  +4.2177605837560897E+01,
  +2.1720000000000000E+03,  +4.6642906931419759E+01,
  +2.1730000000000000E+03,  +5.2928377510562790E+01,
  +2.1740000000000000E+03,  +5.6732344850113826E+01,
  +2.1750000000000000E+03,  +5.8919739522186369E+01,
  +2.1760000000000000E+03,  +6.0125827966984282E+01,
  +2.1770000000000000E+03,  +6.0773834465768914E+01,
  +2.1780000000000000E+03,  +6.1125007166449848E+01,
  +2.1790000000000000E+03,  +6.1342673088315742E+01,
  +2.1800000000000000E+03,  +6.1540381366149269E+01,
  +2.1810000000000000E+03,  +6.0273349871317272E+01,
  +2.1820000000000000E+03,  +6.0350948992028322E+01,
  +2.1830000000000000E+03,  +6.0216216941015773E+01,
  +2.1840000000000000E+03,  +5.8913726045695945E+01,
  +2.1850000000000000E+03,  +5.7707185289015399E+01,
  +2.1860000000000000E+03,  +5.6459556042587600E+01,
  +2.1870000000000000E+03,  +5.5143345831671489E+01,
  +2.1880000000000000E+03,  +5.6899936636825196E+01,
  +2.1890000000000000E+03,  +5.6984943424307573E+01,
  +2.1900000000000000E+03,  +5.4361537915423064E+01,
  +2.1910000000000000E+03,  +5.1676101396548574E+01,
  +2.1920000000000000E+03,  +4.9166503589782515E+01,
  +2.1930000000000000E+03,  +4.6823432262528343E+01,
  +2.1940000000000000E+03,  +4.4644902173035803E+01,
  +2.1950000000000000E+03,  +4.2601928271921039E+01,
  +2.1960000000000000E+03,  +4.0640278824052025E+01,
  +2.1970000000000000E+03,  +4.5669998972274435E+01,
  +2.1980000000000000E+03,  +5.2552181650328158E+01,
  +2.1990000000000000E+03,  +5.6708702439082913E+01,
  +2.2000000000000000E+03,  +5.9077156604394766E+01,
  +2.2010000000000000E+03,  +6.0387158671404393E+01,
  +2.2020000000000000E+03,  +6.1111553750334906E+01,
  +2.2030000000000000E+03,  +6.1532030604321903E+01,
  +2.2040000000000000E+03,  +6.0300607424107170E+01,
  +2.2050000000000000E+03,  +5.8022219344514944E+01,
  +2.2060000000000000E+03,  +5.6212123517544462E+01,
  +2.2070000000000000E+03,  +5.4844915141509780E+01,
  +2.2080000000000000E+03,  +5.3763288801607700E+01,
  +2.2090000000000000E+03,  +5.2780936575466448E+01,
  +2.2100000000000000E+03,  +5.5432948868081837E+01,
  +2.2110000000000000E+03,  +5.6599465329196640E+01,
  +2.2120000000000000E+03,  +5.5169426503490136E+01,
  +2.2130000000000000E+03,  +5.3324544699315915E+01,
  +2.2140000000000000E+03,  +5.0982383987423937E+01,
  +2.2150000000000000E+03,  +4.8575728104222812E+01,
  +2.2160000000000000E+03,  +4.6340780302301745E+01,
  +2.2170000000000000E+03,  +4.4278102718269309E+01,
  +2.2180000000000000E+03,  +4.2376199374464797E+01,
  +2.2190000000000000E+03,  +4.0601457824172506E+01,
  +2.2200000000000000E+03,  +3.8895645798104454E+01,
  +2.2210000000000000E+03,  +4.4518453408563168E+01,
  +2.2220000000000000E+03,  +5.2091648883400318E+01,
  +2.2230000000000000E+03,  +5.6675308435791557E+01,
  +2.2240000000000000E+03,  +5.9274376994808186E+01,
  +2.2250000000000000E+03,  +6.0693300505288597E+01,
  +2.2260000000000000E+03,  +6.1454858611765673E+01,
  +2.2270000000000000E+03,  +6.1885694521126730E+01,
  +2.2280000000000000E+03,  +6.0798531182546547E+01,
  +2.2290000000000000E+03,  +5.8748471318819959E+01,
  +2.2300000000000000E+03,  +5.7136841266779918E+01,
