 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +2.1120000000000000E+03,  +3.0000000000000000E+01,
  +2.1130000000000000E+03,  +5.8109656218919255E+01,
  +2.1140000000000000E+03,  +5.6255813361116886E+01,
  +2.1150000000000000E+03,  +5.9800088339521622E+01,
  +2.1160000000000000E+03,  +5.7578383116792899E+01,
  +2.1170000000000000E+03,  +6.0441486859761952E+01,
  +2.1180000000000000E+03,  +5.6455361897841911E+01,
  +2.1190000000000000E+03,  +5.2093470638990482E+01,
  +2.1200000000000000E+03,  +4.9418187675394293E+01,
  +2.1210000000000000E+03,  +4.6549612181187925E+01,
  +2.1220000000000000E+03,  +4.4415919410005650E+01,
  +2.1230000000000000E+03,  +4.2332811066717902E+01,
  +2.1240000000000000E+03,  +4.8544999960261777E+01,
  +2.1250000000000000E+03,  +5.4126668330006908E+01,
  +2.1260000000000000E+03,  +5.8991529155630005E+01,
  +2.1270000000000000E+03,  +6.2947260022497034E+01,
  +2.1280000000000000E+03,  +6.4986131494218242E+01,
  +2.1290000000000000E+03,  +6.4990352343803977E+01,
  +2.1300000000000000E+03,  +6.4993288586994069E+01,
  +2.1310000000000000E+03,  +6.4995331190952385E+01,
  +2.1320000000000000E+03,  +6.1895153943564125E+01,
  +2.1330000000000000E+03,  +6.4853998716037921E+01,
  +2.1340000000000000E+03,  +6.4989566662905744E+01,
  +2.1350000000000000E+03,  +6.3430970356284689E+01,
  +2.1360000000000000E+03,  +6.1717009755956163E+01,
  +2.1370000000000000E+03,  +5.9803212965043983E+01,
  +2.1380000000000000E+03,  +6.3874672112428840E+01,
  +2.1390000000000000E+03,  +6.1881085707322057E+01,
  +2.1400000000000000E+03,  +6.4982621327887131E+01,
  +2.1410000000000000E+03,  +6.1801408881949996E+01,
  +2.1420000000000000E+03,  +5.7068859603512379E+01,
  +2.1430000000000000E+03,  +5.1922753512356877E+01,
  +2.1440000000000000E+03,  +4.6697924523449011E+01,
  +2.1450000000000000E+03,  +4.4265632428427942E+01,
  +2.1460000000000000E+03,  +4.1899692489109746E+01,
  +2.1470000000000000E+03,  +3.9665714898776457E+01,
  +2.1480000000000000E+03,  +4.6260329320966406E+01,
  +2.1490000000000000E+03,  +4.1165869666630599E+01,
  +2.1500000000000000E+03,  +4.7014264507799567E+01,
  +2.1510000000000000E+03,  +5.2452361742987662E+01,
  +2.1520000000000000E+03,  +5.7173003809164982E+01,
  +2.1530000000000000E+03,  +6.1000266990489934E+01,
  +2.1540000000000000E+03,  +6.3959582618423170E+01,
  +2.1550000000000000E+03,  +6.4985985652224727E+01,
  +2.1560000000000000E+03,  +6.4990250888504150E+01,
  +2.1570000000000000E+03,  +6.4993218009394184E+01,
  +2.1580000000000000E+03,  +6.4995282093491596E+01,
  +2.1590000000000000E+03,  +6.3404209035663804E+01,
  +2.1600000000000000E+03,  +6.1781862732178425E+01,
  +2.1610000000000000E+03,  +6.4990431927700200E+01,
  +2.1620000000000000E+03,  +6.3289959102903296E+01,
  +2.1630000000000000E+03,  +6.4990203409275338E+01,
  +2.1640000000000000E+03,  +6.2865236066286130E+01,
  +2.1650000000000000E+03,  +5.9597766743026838E+01,
  +2.1660000000000000E+03,  +5.4795471916689038E+01,
  +2.1670000000000000E+03,  +4.9590252376879732E+01,
  +2.1680000000000000E+03,  +4.6249207501162026E+01,
  +2.1690000000000000E+03,  +4.3854738839693582E+01,
  +2.1700000000000000E+03,  +4.1516926773451083E+01,
  +2.1710000000000000E+03,  +3.9346049055992339E+01,
  +2.1720000000000000E+03,  +4.6107621818320823E+01,
  +2.1730000000000000E+03,  +5.2274939197216980E+01,
  +2.1740000000000000E+03,  +5.7729394829182681E+01,
  +2.1750000000000000E+03,  +6.2092322986102744E+01,
  +2.1760000000000000E+03,  +6.4981113446857705E+01,
  +2.1770000000000000E+03,  +6.4986861528248838E+01,
  +2.1780000000000000E+03,  +6.4990860193564416E+01,
  +2.1790000000000000E+03,  +6.4993641873783943E+01,
  +2.1800000000000000E+03,  +6.4995576955675773E+01,
  +2.1810000000000000E+03,  +6.2151737366498359E+01,
  +2.1820000000000000E+03,  +6.4993364684455941E+01,
  +2.1830000000000000E+03,  +6.3278561908375941E+01,
  +2.1840000000000000E+03,  +6.1769953801837985E+01,
  +2.1850000000000000E+03,  +6.0099640357824264E+01,
  +2.1860000000000000E+03,  +5.8237253785720291E+01,
  +2.1870000000000000E+03,  +5.6086490843282391E+01,
  +2.1880000000000000E+03,  +6.0756636839704804E+01,
  +2.1890000000000000E+03,  +5.7628742367240754E+01,
  +2.1900000000000000E+03,  +5.3107906570507645E+01,
  +2.1910000000000000E+03,  +4.8290143154529254E+01,
  +2.1920000000000000E+03,  +4.5965090811788784E+01,
  +2.1930000000000000E+03,  +4.3834168384777577E+01,
  +2.1940000000000000E+03,  +4.1824523297503113E+01,
  +2.1950000000000000E+03,  +3.9887544729415332E+01,
  +2.1960000000000000E+03,  +3.7970806551122273E+01,
  +2.1970000000000000E+03,  +4.5673779993180261E+01,
  +2.1980000000000000E+03,  +5.2714569597915485E+01,
  +2.1990000000000000E+03,  +5.8795445674448416E+01,
  +2.2000000000000000E+03,  +6.3542055858336006E+01,
  +2.2010000000000000E+03,  +6.4984233294186666E+01,
  +2.2020000000000000E+03,  +6.4989031856825491E+01,
  +2.2030000000000000E+03,  +6.4992369987356838E+01,
  +2.2040000000000000E+03,  +6.2133556390515508E+01,
  +2.2050000000000000E+03,  +5.9253633859043127E+01,
  +2.2060000000000000E+03,  +5.6974036757151190E+01,
  +2.2070000000000000E+03,  +5.4996674953986620E+01,
  +2.2080000000000000E+03,  +5.3336491403069402E+01,
  +2.2090000000000000E+03,  +5.1509299476453528E+01,
