 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +0.0000000000000000E+00,  +1.7291254536395986E+00,  +1.4888427726637210E+02,
  +1.0000000000000000E+00,  +1.7291326645408853E+00,  +1.4888489815239529E+02,
  +2.0000000000000000E+00,  +1.8291397715437121E+00,  +1.5749589038333843E+02,
  +3.0000000000000000E+00,  +1.7291470626434879E+00,  +1.4888613788378407E+02,
  +4.0000000000000000E+00,  +1.7595614227875815E+00,  +1.5150492995525650E+02,
  +5.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.0000000000000000E+00,  +3.3023999520000000E+00,  +2.8434919459609193E+02,
  +8.0000000000000000E+00,  +3.1023999050000000E+00,  +2.6712842996726829E+02,
  +9.0000000000000000E+00,  +2.8023999520000000E+00,  +2.4129729314122963E+02,
  +1.0000000000000000E+01,  +2.7024000479999999E+00,  +2.3268692111622224E+02,
  +1.1000000000000000E+01,  +2.3023999520000000E+00,  +1.9824539168636733E+02,
  +1.2000000000000000E+01,  +2.0024000000000002E+00,  +1.7241425494643252E+02,
  +1.3000000000000000E+01,  +1.8023999520000000E+00,  +1.5519349023150505E+02,
  +1.4000000000000000E+01,  +1.1888772868318714E+01,  +7.4565737714858369E+02,
  +1.5000000000000000E+01,  +2.4393389525481224E+00,  +2.0897616836353956E+02,
  +1.6000000000000000E+01,  +2.1270355358877810E+00,  +1.8314584856406191E+02,
  +1.7000000000000000E+01,  +2.1270452508209075E+00,  +1.8314668505674911E+02,
  +1.8000000000000000E+01,  +2.3270550018437941E+00,  +2.0036828523884682E+02,
  +1.9000000000000000E+01,  +2.4270648379687665E+00,  +2.0897951245758529E+02,
  +2.0000000000000000E+01,  +2.5270744252081250E+00,  +2.1759071824632593E+02,
  +2.1000000000000000E+01,  +2.4270841915741643E+00,  +2.0898117887661007E+02,
  +2.2000000000000000E+01,  +9.7943612466156882E-01,  +8.4333175040524154E+01,
  +2.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.3000000000000000E+01,  +4.4024000950000000E+00,  +3.7906339010963279E+02,
  +3.4000000000000000E+01,  +4.1051999050000001E+00,  +3.5339295997575772E+02,
  +3.5000000000000000E+01,  +4.0051999999999994E+00,  +3.4478258786464647E+02,
  +3.6000000000000000E+01,  +2.0000000000000000E+01,  +1.2571844041466456E+03,
  +3.7000000000000000E+01,  +1.4562997089070194E+01,  +9.4795678363971865E+02,
  +3.8000000000000000E+01,  +3.6407095248409447E+00,  +3.1237940072635138E+02,
  +3.9000000000000000E+01,  +3.8407101674041813E+00,  +2.2053538390069104E+02,
  +4.0000000000000000E+01,  +4.3407110013583132E+00,  +2.4923669940834742E+02,
  +4.1000000000000000E+01,  +4.1513302235348721E+00,  +2.3878128797562024E+02,
  +4.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.8000000000000000E+01,  +3.6051999050000001E+00,  +2.0701649775584630E+02,
  +4.9000000000000000E+01,  +3.4052000950000001E+00,  +1.9553600160769804E+02,
  +5.0000000000000000E+01,  +3.3051999520000002E+00,  +1.8979573987182053E+02,
  +5.1000000000000000E+01,  +3.2052000480000000E+00,  +1.8405549185514894E+02,
  +5.2000000000000000E+01,  +3.6051999050000001E+00,  +2.0701649775584630E+02,
  +5.3000000000000000E+01,  +5.3052001910000000E+00,  +3.0460082413732590E+02,
  +5.4000000000000000E+01,  +6.6051999050000001E+00,  +3.7922410357529549E+02,
  +5.5000000000000000E+01,  +6.0051999999999994E+00,  +3.4478258786464647E+02,
  +5.6000000000000000E+01,  +4.7051998089999998E+00,  +2.7015928104566763E+02,
  +5.7000000000000000E+01,  +4.1051999050000001E+00,  +2.3571776539242117E+02,
  +5.8000000000000000E+01,  +4.5051999999999994E+00,  +3.8783448931950875E+02,
  +5.9000000000000000E+01,  +3.9052000950000001E+00,  +3.3617221575353528E+02,
  +6.0000000000000000E+01,  +1.3680580434292402E+01,  +1.1160742616540595E+03,
  +6.1000000000000000E+01,  +2.0000000000000000E+01,  +1.1480507054629945E+03,
  +6.2000000000000000E+01,  +5.7420840244994942E+00,  +3.2961018075772171E+02,
  +6.3000000000000000E+01,  +3.5408845136209792E+00,  +3.0377906796161761E+02,
  +6.4000000000000000E+01,  +3.5048036855815590E+00,  +3.0177692578059089E+02,
  +6.5000000000000000E+01,  +3.8769243172814249E+00,  +2.2254528487407890E+02,
  +6.6000000000000000E+01,  +3.6408856674275705E+00,  +2.0906495099234414E+02,
  +6.7000000000000000E+01,  +4.5384831055839934E+00,  +2.6072740318689409E+02,
  +6.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.0000000000000000E+01,  +4.9777139513784263E+00,  +2.8635716984237735E+02,
  +7.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.8000000000000000E+01,  +6.1027999050000004E+00,  +3.5031618681173728E+02,
  +7.9000000000000000E+01,  +6.4052000949999996E+00,  +3.6774360742714720E+02,
  +8.0000000000000000E+01,  +5.4052000949999996E+00,  +3.1034107215399752E+02,
  +8.1000000000000000E+01,  +4.4052000949999996E+00,  +2.5293853688084778E+02,
  +8.2000000000000000E+01,  +4.6083999049999997E+00,  +2.6455679911365161E+02,
  +8.3000000000000000E+01,  +4.6083999050000006E+00,  +3.9658262751527553E+02,
  +8.4000000000000000E+01,  +4.3084001910000005E+00,  +3.7075151126804576E+02,
  +8.5000000000000000E+01,  +2.0000000000000000E+01,  +1.2681571710742032E+03,
  +8.6000000000000000E+01,  +1.6349491688943228E+01,  +1.0591164750066318E+03,
  +8.7000000000000000E+01,  +4.5408886614446171E+00,  +3.8988310896693491E+02,
  +8.8000000000000000E+01,  +4.9144554920497647E+00,  +4.2315330709606650E+02,
  +8.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.4000000000000000E+01,  +7.7683772651169236E-01,  +4.4661338039928637E+01,
  +9.5000000000000000E+01,  +2.7052000480000000E+00,  +2.3284764821498706E+02,
  +9.6000000000000000E+01,  +2.6083999049999997E+00,  +2.2437502169582638E+02,
  +9.7000000000000000E+01,  +2.5084000000000000E+00,  +2.1576464958471519E+02,
  +9.8000000000000000E+01,  +2.4084000949999997E+00,  +2.0715427747360400E+02,
  +9.9000000000000000E+01,  +2.4084000949999997E+00,  +2.0715427747360400E+02,
  +1.0000000000000000E+02,  +2.6083999049999997E+00,  +2.2437502169582638E+02,
  +1.0100000000000000E+02,  +4.1083999050000006E+00,  +3.5353072606041326E+02,
  +1.0200000000000000E+02,  +5.4084000950000002E+00,  +4.6546568620277770E+02,
  +1.0300000000000000E+02,  +5.6083999050000006E+00,  +4.8268643042500014E+02,
  +1.0400000000000000E+02,  +5.0084000000000000E+00,  +4.3102415685902656E+02,
  +1.0500000000000000E+02,  +4.6083999050000006E+00,  +3.9658262751527553E+02,
  +1.0600000000000000E+02,  +4.8084001910000005E+00,  +4.1380341272290809E+02,
  +1.0700000000000000E+02,  +4.5084000000000000E+00,  +3.8797225540416429E+02,
  +1.0800000000000000E+02,  +6.1851077433587429E+00,  +5.2748388727937879E+02,
  +1.0900000000000000E+02,  +2.0000000000000000E+01,  +1.7220760581944917E+03,
  +1.1000000000000000E+02,  +4.0343731966038821E+00,  +3.4737487458465620E+02,
  +1.1100000000000000E+02,  +4.2343744923276354E+00,  +3.6459574673334379E+02,
  +1.1200000000000000E+02,  +4.4343762634199386E+00,  +3.8181665981307134E+02,
  +1.1300000000000000E+02,  +4.5343776518825880E+00,  +3.9042715965595812E+02,
  +1.1400000000000000E+02,  +5.9343792287173862E+00,  +5.1097261950104519E+02,
  +1.1500000000000000E+02,  +6.1343805189261342E+00,  +5.2819349117486991E+02,
  +1.1600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.1700000000000000E+02,  +1.1559666447958982E+01,  +9.9533124153721621E+02,
  +1.1800000000000000E+02,  +3.4343851398139904E+00,  +2.9571362119463072E+02,
  +1.1900000000000000E+02,  +3.3343864705364528E+00,  +2.8710335548392288E+02,
  +1.2000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2300000000000000E+02,  +1.2708142172298521E+01,  +1.0942193689523510E+03,
  +1.2400000000000000E+02,  +3.9343939579279343E+00,  +3.3876628192263809E+02,
  +1.2500000000000000E+02,  +5.2343951359745304E+00,  +4.5070132713957196E+02,
  +1.2600000000000000E+02,  +7.6986234224062500E-01,  +6.6288075383905706E+01,
  +1.2700000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2900000000000000E+02,  +5.5023999999999997E+00,  +4.7377756513046853E+02,
  +1.3000000000000000E+02,  +5.2023998090000001E+00,  +4.4794640781172484E+02,
  +1.3100000000000000E+02,  +4.8084001910000005E+00,  +4.1380341272290809E+02,
  +1.3200000000000000E+02,  +4.8116034670725059E+00,  +4.1394131984871433E+02,
  +1.3300000000000000E+02,  +2.0000000000000000E+01,  +1.2801454169069461E+03,
  +1.3400000000000000E+02,  +1.7353124448906904E+01,  +1.1330677067449578E+03,
