 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +0.0000000000000000E+00,  +4.9829000000000001E+01,
  +1.0000000000000000E+00,  +5.3120042938741300E+01,
  +2.0000000000000000E+00,  +5.1652954167578393E+01,
  +3.0000000000000000E+00,  +5.0270602756492067E+01,
  +4.0000000000000000E+00,  +4.8812268862890519E+01,
  +5.0000000000000000E+00,  +4.6720188481663612E+01,
  +6.0000000000000000E+00,  +4.3841823794717754E+01,
  +7.0000000000000000E+00,  +4.1955758607594355E+01,
  +8.0000000000000000E+00,  +4.0386206931679631E+01,
  +9.0000000000000000E+00,  +4.0040286056797349E+01,
  +1.0000000000000000E+01,  +4.0022253626204261E+01,
  +1.1000000000000000E+01,  +4.0008578478934822E+01,
  +1.2000000000000000E+01,  +3.9997563616975761E+01,
  +1.3000000000000000E+01,  +4.1974311026524155E+01,
  +1.4000000000000000E+01,  +5.1542071601855085E+01,
  +1.5000000000000000E+01,  +5.1541998999072760E+01,
  +1.6000000000000000E+01,  +5.1544487195397153E+01,
  +1.7000000000000000E+01,  +5.1549676119729860E+01,
  +1.8000000000000000E+01,  +5.1558089967581196E+01,
  +1.9000000000000000E+01,  +5.1568848273270277E+01,
  +2.0000000000000000E+01,  +5.1581767341109234E+01,
  +2.1000000000000000E+01,  +5.1595208121042461E+01,
  +2.2000000000000000E+01,  +5.1600114840727919E+01,
  +2.3000000000000000E+01,  +5.0864309011412821E+01,
  +2.4000000000000000E+01,  +5.0051595400873296E+01,
  +2.5000000000000000E+01,  +4.8528655487614557E+01,
  +2.6000000000000000E+01,  +4.7090381048031034E+01,
  +2.7000000000000000E+01,  +4.6043352098093187E+01,
  +2.8000000000000000E+01,  +4.3989285624147968E+01,
  +2.9000000000000000E+01,  +4.1718287489305801E+01,
  +3.0000000000000000E+01,  +4.0069189037457981E+01,
  +3.1000000000000000E+01,  +4.0045203692751947E+01,
  +3.2000000000000000E+01,  +4.0027081816091339E+01,
  +3.3000000000000000E+01,  +4.0010537296733872E+01,
  +3.4000000000000000E+01,  +3.9999303519605803E+01,
  +3.5000000000000000E+01,  +3.9991452105052979E+01,
  +3.6000000000000000E+01,  +4.5046786114358255E+01,
  +3.7000000000000000E+01,  +5.1341378428783415E+01,
  +3.8000000000000000E+01,  +5.1337555780248643E+01,
  +3.9000000000000000E+01,  +5.0329083891943412E+01,
  +4.0000000000000000E+01,  +4.9185939667672841E+01,
  +4.1000000000000000E+01,  +4.8045984341800001E+01,
  +4.2000000000000000E+01,  +4.4434413713260092E+01,
  +4.3000000000000000E+01,  +4.2115919355747351E+01,
  +4.4000000000000000E+01,  +4.0023442148581921E+01,
  +4.5000000000000000E+01,  +4.0009138522338617E+01,
  +4.6000000000000000E+01,  +3.9997987890436519E+01,
  +4.7000000000000000E+01,  +3.9988588207647922E+01,
  +4.8000000000000000E+01,  +3.9983640756525830E+01,
  +4.9000000000000000E+01,  +3.9979479116106411E+01,
  +5.0000000000000000E+01,  +3.9975920624698382E+01,
  +5.1000000000000000E+01,  +3.9972791936144141E+01,
  +5.2000000000000000E+01,  +3.9971025224781648E+01,
  +5.3000000000000000E+01,  +3.9972817704268969E+01,
  +5.4000000000000000E+01,  +3.9975694239591910E+01,
  +5.5000000000000000E+01,  +3.9976713938110983E+01,
  +5.6000000000000000E+01,  +3.9975521082667377E+01,
  +5.7000000000000000E+01,  +3.9973686784904373E+01,
  +5.8000000000000000E+01,  +3.9974518602762942E+01,
  +5.9000000000000000E+01,  +3.9973945220149133E+01,
  +6.0000000000000000E+01,  +4.2573554723260798E+01,
  +6.1000000000000000E+01,  +4.9736243257909976E+01,
  +6.2000000000000000E+01,  +4.9733183532481547E+01,
  +6.3000000000000000E+01,  +4.9730114644220578E+01,
  +6.4000000000000000E+01,  +4.9714866618068640E+01,
  +6.5000000000000000E+01,  +4.8792949369426360E+01,
  +6.6000000000000000E+01,  +4.7903714952710615E+01,
  +6.7000000000000000E+01,  +4.6796371455148389E+01,
  +6.8000000000000000E+01,  +4.3322669968875999E+01,
  +6.9000000000000000E+01,  +4.1664229469858370E+01,
  +7.0000000000000000E+01,  +4.1969245877175901E+01,
  +7.1000000000000000E+01,  +4.1120783675015190E+01,
  +7.2000000000000000E+01,  +4.0409263697384290E+01,
  +7.3000000000000000E+01,  +4.0002271391884889E+01,
  +7.4000000000000000E+01,  +3.9991910720995094E+01,
  +7.5000000000000000E+01,  +3.9983029746845318E+01,
  +7.6000000000000000E+01,  +3.9975692047034727E+01,
  +7.7000000000000000E+01,  +3.9971282104698737E+01,
  +7.8000000000000000E+01,  +3.9974420390134945E+01,
  +7.9000000000000000E+01,  +3.9976726691603389E+01,
  +8.0000000000000000E+01,  +3.9976563491955623E+01,
  +8.1000000000000000E+01,  +3.9974941123976201E+01,
  +8.2000000000000000E+01,  +3.9974111758627465E+01,
  +8.3000000000000000E+01,  +3.9974986010012479E+01,
  +8.4000000000000000E+01,  +3.9975031131868043E+01,
  +8.5000000000000000E+01,  +4.4796195067427760E+01,
  +8.6000000000000000E+01,  +5.1308213515636709E+01,
  +8.7000000000000000E+01,  +5.1305505505093116E+01,
  +8.8000000000000000E+01,  +5.1300418371759179E+01,
  +8.9000000000000000E+01,  +4.7428789497478256E+01,
  +9.0000000000000000E+01,  +4.3991010466930220E+01,
  +9.1000000000000000E+01,  +4.1629340116679799E+01,
  +9.2000000000000000E+01,  +4.0013025306492104E+01,
  +9.3000000000000000E+01,  +4.0001168072403651E+01,
  +9.4000000000000000E+01,  +3.9991369297580789E+01,
  +9.5000000000000000E+01,  +3.9984382329127719E+01,
  +9.6000000000000000E+01,  +3.9978797650886065E+01,
  +9.7000000000000000E+01,  +3.9974221206071178E+01,
  +9.8000000000000000E+01,  +3.9970367023129029E+01,
  +9.9000000000000000E+01,  +3.9967306773138183E+01,
  +1.0000000000000000E+02,  +3.9965467515244136E+01,
  +1.0100000000000000E+02,  +3.9968059785553244E+01,
  +1.0200000000000000E+02,  +3.9972523629489217E+01,
  +1.0300000000000000E+02,  +3.9975675402767685E+01,
  +1.0400000000000000E+02,  +3.9976701703908311E+01,
  +1.0500000000000000E+02,  +3.9976716826821765E+01,
  +1.0600000000000000E+02,  +3.9977057180119964E+01,
  +1.0700000000000000E+02,  +3.9976787310329357E+01,
  +1.0800000000000000E+02,  +4.0148595340248662E+01,
  +1.0900000000000000E+02,  +4.8909728852879539E+01,
  +1.1000000000000000E+02,  +4.8913763008472678E+01,
  +1.1100000000000000E+02,  +4.8921714201454748E+01,
  +1.1200000000000000E+02,  +4.8933157836847045E+01,
  +1.1300000000000000E+02,  +4.8947030963150610E+01,
  +1.1400000000000000E+02,  +4.8966631692558430E+01,
  +1.1500000000000000E+02,  +4.8987452019408835E+01,
  +1.1600000000000000E+02,  +4.5819413252412588E+01,
  +1.1700000000000000E+02,  +4.9031623259930569E+01,
  +1.1800000000000000E+02,  +4.9042962256662570E+01,
  +1.1900000000000000E+02,  +4.9055583902884599E+01,
  +1.2000000000000000E+02,  +4.7333012500858572E+01,
  +1.2100000000000000E+02,  +4.5616784171229746E+01,
  +1.2200000000000000E+02,  +4.4013504296744770E+01,
  +1.2300000000000000E+02,  +4.9126360968391118E+01,
  +1.2400000000000000E+02,  +4.9141187623188777E+01,
  +1.2500000000000000E+02,  +4.9161721881544750E+01,
  +1.2600000000000000E+02,  +4.5636339447292258E+01,
  +1.2700000000000000E+02,  +4.2169939592764067E+01,
  +1.2800000000000000E+02,  +4.0001541256869700E+01,
  +1.2900000000000000E+02,  +3.9994280493921067E+01,
  +1.3000000000000000E+02,  +3.9988940639744087E+01,
  +1.3100000000000000E+02,  +3.9985110230018385E+01,
  +1.3200000000000000E+02,  +3.9982928825189248E+01,
  +1.3300000000000000E+02,  +4.4562030581192516E+01,
  +1.3400000000000000E+02,  +5.1284151167736837E+01,
  +1.3500000000000000E+02,  +5.1282449534448816E+01,
  +1.3600000000000000E+02,  +5.1284730462870719E+01,
  +1.3700000000000000E+02,  +5.1290778624053587E+01,
  +1.3800000000000000E+02,  +5.1298115220016292E+01,
  +1.3900000000000000E+02,  +5.1307136582933417E+01,
  +1.4000000000000000E+02,  +4.9636495417402870E+01,
  +1.4100000000000000E+02,  +4.4810225690075868E+01,
  +1.4200000000000000E+02,  +4.3199296624805903E+01,
  +1.4300000000000000E+02,  +4.7324549752019337E+01,
  +1.4400000000000000E+02,  +4.4819804246607916E+01,
  +1.4500000000000000E+02,  +4.2580098163735165E+01,
  +1.4600000000000000E+02,  +4.1219224266762964E+01,
  +1.4700000000000000E+02,  +4.0021905212524906E+01,
  +1.4800000000000000E+02,  +4.0008636858064150E+01,
  +1.4900000000000000E+02,  +3.9997712296825000E+01,
  +1.5000000000000000E+02,  +3.9990324624682039E+01,
  +1.5100000000000000E+02,  +3.9987057801096732E+01,
  +1.5200000000000000E+02,  +3.9984094621566264E+01,
  +1.5300000000000000E+02,  +3.9981917672471681E+01,
  +1.5400000000000000E+02,  +3.9980344037960954E+01,
  +1.5500000000000000E+02,  +3.9979446787395666E+01,
  +1.5600000000000000E+02,  +3.9978238062276617E+01,
  +1.5700000000000000E+02,  +4.2351330203308066E+01,
  +1.5800000000000000E+02,  +4.1272067384329070E+01,
  +1.5900000000000000E+02,  +3.9996043211480384E+01,
  +1.6000000000000000E+02,  +3.9990001011416943E+01,
  +1.6100000000000000E+02,  +3.9986480280316208E+01,
  +1.6200000000000000E+02,  +3.9984883641028610E+01,
  +1.6300000000000000E+02,  +3.9984327832785013E+01,
  +1.6400000000000000E+02,  +3.9983585358661074E+01,
  +1.6500000000000000E+02,  +3.9982915567178637E+01,
  +1.6600000000000000E+02,  +3.9978894726209830E+01,
  +1.6700000000000000E+02,  +3.9974935191810822E+01,
  +1.6800000000000000E+02,  +4.8533240007485873E+01,
  +1.6900000000000000E+02,  +4.9270589026569631E+01,
  +1.7000000000000000E+02,  +4.9257070403592351E+01,
  +1.7100000000000000E+02,  +4.9244519996198960E+01,
  +1.7200000000000000E+02,  +4.7486152085749410E+01,
  +1.7300000000000000E+02,  +4.4914646802048175E+01,
  +1.7400000000000000E+02,  +4.1719245486828243E+01,
  +1.7500000000000000E+02,  +4.0014974867263561E+01,
  +1.7600000000000000E+02,  +4.0003456450487199E+01,
  +1.7700000000000000E+02,  +3.9995358098501015E+01,
  +1.7800000000000000E+02,  +3.9989758108698950E+01,
  +1.7900000000000000E+02,  +3.9985545400682660E+01,
  +1.8000000000000000E+02,  +3.9982373186894563E+01,
  +1.8100000000000000E+02,  +4.7209864403675887E+01,
  +1.8200000000000000E+02,  +4.8697487198774475E+01,
  +1.8300000000000000E+02,  +4.8686751768581182E+01,
  +1.8400000000000000E+02,  +4.8677639188159631E+01,
  +1.8500000000000000E+02,  +4.8668982220369593E+01,
  +1.8600000000000000E+02,  +4.8660827907541275E+01,
  +1.8700000000000000E+02,  +4.8652703630321099E+01,
  +1.8800000000000000E+02,  +4.8644625210028565E+01,
  +1.8900000000000000E+02,  +4.8636481159470222E+01,
  +1.9000000000000000E+02,  +4.8627211833464813E+01,
  +1.9100000000000000E+02,  +4.8618258394188075E+01,
  +1.9200000000000000E+02,  +4.8609640747792547E+01,
  +1.9300000000000000E+02,  +4.8601212325253861E+01,
  +1.9400000000000000E+02,  +4.8593433822277156E+01,
  +1.9500000000000000E+02,  +4.8585704315191194E+01,
  +1.9600000000000000E+02,  +4.8578253720608231E+01,
  +1.9700000000000000E+02,  +4.7908367789503096E+01,
  +1.9800000000000000E+02,  +4.5010218908762241E+01,
  +1.9900000000000000E+02,  +4.2259794446265808E+01,
  +2.0000000000000000E+02,  +4.0055913550206988E+01,
  +2.0100000000000000E+02,  +4.0029351481694285E+01,
  +2.0200000000000000E+02,  +4.0012077143203371E+01,
  +2.0300000000000000E+02,  +4.0000368238488072E+01,
  +2.0400000000000000E+02,  +4.4986466967206162E+01,
  +2.0500000000000000E+02,  +5.1334684225454509E+01,
  +2.0600000000000000E+02,  +5.1331463945222289E+01,
  +2.0700000000000000E+02,  +5.1331535762517049E+01,
  +2.0800000000000000E+02,  +5.0272339028641142E+01,
  +2.0900000000000000E+02,  +4.9184731417499037E+01,
  +2.1000000000000000E+02,  +4.7939517599723288E+01,
  +2.1100000000000000E+02,  +4.6615072077089543E+01,
  +2.1200000000000000E+02,  +4.5316781554806525E+01,
  +2.1300000000000000E+02,  +4.4421227419208009E+01,
  +2.1400000000000000E+02,  +4.3975525298590242E+01,
  +2.1500000000000000E+02,  +4.2878039931529784E+01,
  +2.1600000000000000E+02,  +4.1871386204599027E+01,
  +2.1700000000000000E+02,  +4.0918306443422743E+01,
  +2.1800000000000000E+02,  +4.0027038995462483E+01,
  +2.1900000000000000E+02,  +4.0013650570229011E+01,
  +2.2000000000000000E+02,  +4.0001822767062023E+01,
  +2.2100000000000000E+02,  +3.9992042713590983E+01,
  +2.2200000000000000E+02,  +3.9985209365296413E+01,
  +2.2300000000000000E+02,  +3.9981245671732836E+01,
  +2.2400000000000000E+02,  +3.9979199993532383E+01,
  +2.2500000000000000E+02,  +3.9977055181357635E+01,
  +2.2600000000000000E+02,  +3.9975131945718189E+01,
  +2.2700000000000000E+02,  +3.9973049127204781E+01,
  +2.2800000000000000E+02,  +4.2080773415480024E+01,
  +2.2900000000000000E+02,  +5.0023314044200134E+01,
  +2.3000000000000000E+02,  +4.9012003579882020E+01,
  +2.3100000000000000E+02,  +4.8085561261382452E+01,
  +2.3200000000000000E+02,  +4.4864193549457511E+01,
  +2.3300000000000000E+02,  +4.1757167573827033E+01,
  +2.3400000000000000E+02,  +4.0279323004314776E+01,
  +2.3500000000000000E+02,  +4.0009200402165376E+01,
  +2.3600000000000000E+02,  +3.9998163857546750E+01,
  +2.3700000000000000E+02,  +3.9989466391065633E+01,
  +2.3800000000000000E+02,  +3.9982370099240889E+01,
  +2.3900000000000000E+02,  +3.9975838682922785E+01,
  +2.4000000000000000E+02,  +3.9970429103958402E+01,
  +2.4100000000000000E+02,  +3.9965693668434795E+01,
  +2.4200000000000000E+02,  +3.9961742220220017E+01,
  +2.4300000000000000E+02,  +3.9958444964261986E+01,
  +2.4400000000000000E+02,  +3.9956667140664884E+01,
  +2.4500000000000000E+02,  +3.9958834459468711E+01,
  +2.4600000000000000E+02,  +3.9964944641240542E+01,
  +2.4700000000000000E+02,  +3.9967454319519717E+01,
  +2.4800000000000000E+02,  +3.9968003794626838E+01,
  +2.4900000000000000E+02,  +3.9967772838135247E+01,
  +2.5000000000000000E+02,  +3.9967984716949829E+01,
  +2.5100000000000000E+02,  +3.9968633886853880E+01,
  +2.5200000000000000E+02,  +3.9968365334330130E+01,
  +2.5300000000000000E+02,  +3.9968418102899939E+01,
  +2.5400000000000000E+02,  +3.9967430413472641E+01,
  +2.5500000000000000E+02,  +3.9967478054783214E+01,
  +2.5600000000000000E+02,  +3.9968513224364060E+01,
  +2.5700000000000000E+02,  +3.9969946777679027E+01,
  +2.5800000000000000E+02,  +3.9971589179438055E+01,
