 TIME                                   ,Massenstrom                             ,
  +0.0000000000000000E+00,  +1.4637646909351830E+02,
  +1.0000000000000000E+00,  +1.4637646909351830E+02,
  +2.0000000000000000E+00,  +1.5498684111934944E+02,
  +3.0000000000000000E+00,  +1.4637646909351830E+02,
  +4.0000000000000000E+00,  +1.5498684111934944E+02,
  +5.0000000000000000E+00,  +2.2386987940684043E+02,
  +6.0000000000000000E+00,  +3.0997368232480261E+02,
  +7.0000000000000000E+00,  +2.8414254549629277E+02,
  +8.0000000000000000E+00,  +2.6692178086582157E+02,
  +9.0000000000000000E+00,  +2.4109064403731162E+02,
  +1.0000000000000000E+01,  +2.3248027201148054E+02,
  +1.1000000000000000E+01,  +1.9803874257833053E+02,
  +1.2000000000000000E+01,  +1.7220760583592443E+02,
  +1.3000000000000000E+01,  +1.5498684111934944E+02,
  +1.4000000000000000E+01,  +1.8942837055249942E+02,
  +1.5000000000000000E+01,  +2.0664913518297061E+02,
  +1.6000000000000000E+01,  +1.8081797794785933E+02,
  +1.7000000000000000E+01,  +1.8081797794785933E+02,
  +1.8000000000000000E+01,  +1.9803874257833053E+02,
  +1.9000000000000000E+01,  +2.0664913518297061E+02,
  +2.0000000000000000E+01,  +2.1525950729490552E+02,
  +2.1000000000000000E+01,  +2.0664913518297061E+02,
  +2.2000000000000000E+01,  +9.4714185276249708E+01,
  +2.3000000000000000E+01,  +7.7493420559674718E+01,
  +2.4000000000000000E+01,  +8.6103802917962213E+01,
  +2.5000000000000000E+01,  +1.6359722347763690E+02,
  +2.6000000000000000E+01,  +1.5498684111934944E+02,
  +2.7000000000000000E+01,  +1.7220760583592443E+02,
  +2.8000000000000000E+01,  +2.2386987940684043E+02,
  +2.9000000000000000E+01,  +3.0997368232480261E+02,
  +3.0000000000000000E+01,  +4.7357091604879213E+02,
  +3.1000000000000000E+01,  +4.3912938670174594E+02,
  +3.2000000000000000E+01,  +3.8746711313082989E+02,
  +3.3000000000000000E+01,  +3.7885674101889498E+02,
  +3.4000000000000000E+01,  +3.5302558378378376E+02,
  +3.5000000000000000E+01,  +3.4441521167184885E+02,
  +3.6000000000000000E+01,  +3.2719444695527380E+02,
  +3.7000000000000000E+01,  +3.3580483955991394E+02,
  +3.8000000000000000E+01,  +3.0997368232480261E+02,
  +3.9000000000000000E+01,  +3.2719444695527380E+02,
  +4.0000000000000000E+01,  +3.7024636899306381E+02,
  +4.1000000000000000E+01,  +3.7024636899306381E+02,
  +4.2000000000000000E+01,  +4.3051901458981104E+02,
  +4.3000000000000000E+01,  +4.3051901458981104E+02,
  +4.4000000000000000E+01,  +4.4773975872757717E+02,
  +4.5000000000000000E+01,  +4.8218128816072709E+02,
  +4.6000000000000000E+01,  +3.0997368232480261E+02,
  +4.7000000000000000E+01,  +2.9275293810093279E+02,
  +4.8000000000000000E+01,  +3.0997368232480261E+02,
  +4.9000000000000000E+01,  +2.9275293810093279E+02,
  +5.0000000000000000E+01,  +2.8414254549629277E+02,
  +5.1000000000000000E+01,  +2.7553217347046160E+02,
  +5.2000000000000000E+01,  +3.0997368232480261E+02,
  +5.3000000000000000E+01,  +4.5635017191102605E+02,
  +5.4000000000000000E+01,  +5.6828509107868922E+02,
  +5.5000000000000000E+01,  +5.1662281750777333E+02,
  +5.6000000000000000E+01,  +4.0468785726859602E+02,
  +5.7000000000000000E+01,  +3.5302558378378376E+02,
  +5.8000000000000000E+01,  +3.8746711313082989E+02,
  +5.9000000000000000E+01,  +3.3580483955991394E+02,
  +6.0000000000000000E+01,  +3.3580483955991394E+02,
  +6.1000000000000000E+01,  +3.2719444695527380E+02,
  +6.2000000000000000E+01,  +3.2719444695527380E+02,
  +6.3000000000000000E+01,  +3.0136331021286770E+02,
  +6.4000000000000000E+01,  +3.0136331021286770E+02,
  +6.5000000000000000E+01,  +3.2719444695527380E+02,
  +6.6000000000000000E+01,  +3.0997368232480261E+02,
  +6.7000000000000000E+01,  +3.8746711313082989E+02,
  +6.8000000000000000E+01,  +4.0468785726859602E+02,
  +6.9000000000000000E+01,  +3.6163595580961493E+02,
  +7.0000000000000000E+01,  +2.4109064403731162E+02,
  +7.1000000000000000E+01,  +2.0664913518297061E+02,
  +7.2000000000000000E+01,  +2.1525950729490552E+02,
  +7.3000000000000000E+01,  +2.2386987940684043E+02,
  +7.4000000000000000E+01,  +2.3248027201148054E+02,
  +7.5000000000000000E+01,  +2.4970103664195167E+02,
  +7.6000000000000000E+01,  +2.7553217347046160E+02,
  +7.7000000000000000E+01,  +3.9607748524276485E+02,
  +7.8000000000000000E+01,  +5.2523318961970824E+02,
  +7.9000000000000000E+01,  +5.5106434685481941E+02,
  +8.0000000000000000E+01,  +4.6496054393685722E+02,
  +8.1000000000000000E+01,  +3.7885674101889498E+02,
  +8.2000000000000000E+01,  +3.9607748524276485E+02,
  +8.3000000000000000E+01,  +3.9607748524276485E+02,
  +8.4000000000000000E+01,  +3.7024636899306381E+02,
  +8.5000000000000000E+01,  +3.6163595580961493E+02,
  +8.6000000000000000E+01,  +3.6163595580961493E+02,
  +8.7000000000000000E+01,  +3.8746711313082989E+02,
  +8.8000000000000000E+01,  +4.2190864247787613E+02,
  +8.9000000000000000E+01,  +4.1329827045204490E+02,
  +9.0000000000000000E+01,  +4.3051901458981104E+02,
  +9.1000000000000000E+01,  +4.4773975872757717E+02,
  +9.2000000000000000E+01,  +4.6496054393685722E+02,
  +9.3000000000000000E+01,  +4.3051901458981104E+02,
  +9.4000000000000000E+01,  +2.6692178086582157E+02,
