 TIME                                   ,T_amb                                   ,P_heatspace                             ,
  +0.0000000000000000E+00,  +6.2859999999999996E+00,  +1.7000000479999999E+00,
  +1.0000000000000000E+00,  +5.9969999999999999E+00,  +1.7000000479999999E+00,
  +2.0000000000000000E+00,  +5.7050000000000001E+00,  +1.7999999520000001E+00,
  +3.0000000000000000E+00,  +5.5339999999999998E+00,  +1.7000000479999999E+00,
  +4.0000000000000000E+00,  +5.4509999999999996E+00,  +1.7999999520000001E+00,
  +5.0000000000000000E+00,  +5.2409999999999997E+00,  +2.5999999049999998E+00,
  +6.0000000000000000E+00,  +5.2169999999999996E+00,  +3.5999999049999998E+00,
  +7.0000000000000000E+00,  +5.2859999999999996E+00,  +3.2999999519999998E+00,
  +8.0000000000000000E+00,  +5.4909999999999997E+00,  +3.0999999049999998E+00,
  +9.0000000000000000E+00,  +5.6879999999999997E+00,  +2.7999999519999998E+00,
  +1.0000000000000000E+01,  +5.8280000000000003E+00,  +2.7000000480000002E+00,
  +1.1000000000000000E+01,  +5.9989999999999997E+00,  +2.2999999519999998E+00,
  +1.2000000000000000E+01,  +6.3099999999999996E+00,  +2.0000000000000000E+00,
  +1.3000000000000000E+01,  +6.7249999999999996E+00,  +1.7999999520000001E+00,
  +1.4000000000000000E+01,  +6.6980000000000004E+00,  +2.2000000480000002E+00,
  +1.5000000000000000E+01,  +6.0850000000000000E+00,  +2.4000000950000002E+00,
  +1.6000000000000000E+01,  +5.2500000000000000E+00,  +2.0999999049999998E+00,
  +1.7000000000000000E+01,  +4.7510000000000003E+00,  +2.0999999049999998E+00,
  +1.8000000000000000E+01,  +4.2140000000000004E+00,  +2.2999999519999998E+00,
  +1.9000000000000000E+01,  +3.5430000000000001E+00,  +2.4000000950000002E+00,
  +2.0000000000000000E+01,  +3.0000000000000000E+00,  +2.5000000000000000E+00,
  +2.1000000000000000E+01,  +2.7100000000000000E+00,  +2.4000000950000002E+00,
  +2.2000000000000000E+01,  +2.3730000000000002E+00,  +1.1000000240000001E+00,
  +2.3000000000000000E+01,  +1.6910000000000001E+00,  +8.9999997600000003E-01,
  +2.4000000000000000E+01,  +1.0129999999999999E+00,  +1.0000000000000000E+00,
  +2.5000000000000000E+01,  +1.2270000000000001E+00,  +1.8999999759999999E+00,
  +2.6000000000000000E+01,  +1.6790000000000000E+00,  +1.7999999520000001E+00,
  +2.7000000000000000E+01,  +1.8180000000000001E+00,  +2.0000000000000000E+00,
  +2.8000000000000000E+01,  +1.4770000000000001E+00,  +2.5999999049999998E+00,
  +2.9000000000000000E+01,  +1.1270000000000000E+00,  +3.5999999049999998E+00,
  +3.0000000000000000E+01,  +7.6500000000000001E-01,  +5.5000000000000000E+00,
  +3.1000000000000000E+01,  +5.1000000000000001E-01,  +5.0999999049999998E+00,
  +3.2000000000000000E+01,  +1.1479999999999999E+00,  +4.5000000000000000E+00,
  +3.3000000000000000E+01,  +2.3679999999999999E+00,  +4.4000000950000002E+00,
  +3.4000000000000000E+01,  +3.5810000000000000E+00,  +4.0999999049999998E+00,
  +3.5000000000000000E+01,  +4.4429999999999996E+00,  +4.0000000000000000E+00,
  +3.6000000000000000E+01,  +4.7199999999999998E+00,  +3.7999999519999998E+00,
  +3.7000000000000000E+01,  +4.5490000000000004E+00,  +3.9000000950000002E+00,
  +3.8000000000000000E+01,  +3.5139999999999998E+00,  +3.5999999049999998E+00,
  +3.9000000000000000E+01,  +1.1639999999999999E+00,  +3.7999999519999998E+00,
  +4.0000000000000000E+01,  +1.9300000000000000E-01,  +4.3000001909999996E+00,
  +4.1000000000000000E+01,  -5.6999999999999995E-01,  +4.3000001909999996E+00,
  +4.2000000000000000E+01,  -1.4079999999999999E+00,  +5.0000000000000000E+00,
  +4.3000000000000000E+01,  -2.1669999999999998E+00,  +5.0000000000000000E+00,
  +4.4000000000000000E+01,  -2.6450000000000000E+00,  +5.1999998090000004E+00,
