 TIME                                   ,T_R                                     ,
  +0.0000000000000000E+00,  +4.9884831999999996E+01,
  +1.0000000000000000E+00,  +4.9172915282417613E+01,
  +2.0000000000000000E+00,  +4.7815450467563998E+01,
  +3.0000000000000000E+00,  +5.0275374091196738E+01,
  +4.0000000000000000E+00,  +5.1436150330342613E+01,
  +5.0000000000000000E+00,  +4.9885129496972247E+01,
  +6.0000000000000000E+00,  +4.7876375725341802E+01,
  +7.0000000000000000E+00,  +4.5867178982262089E+01,
  +8.0000000000000000E+00,  +4.4087974754684730E+01,
  +9.0000000000000000E+00,  +4.2485452428957345E+01,
  +1.0000000000000000E+01,  +4.0993959106724560E+01,
  +1.1000000000000000E+01,  +3.9649830600433020E+01,
  +1.2000000000000000E+01,  +4.5618261091535906E+01,
  +1.3000000000000000E+01,  +5.1395356427345675E+01,
  +1.4000000000000000E+01,  +5.3239864564271066E+01,
  +1.5000000000000000E+01,  +5.3976460463012309E+01,
  +1.6000000000000000E+01,  +5.4375592241133930E+01,
  +1.7000000000000000E+01,  +5.4601440500052604E+01,
  +1.8000000000000000E+01,  +5.4704727377247181E+01,
  +1.9000000000000000E+01,  +5.4746018275360314E+01,
  +2.0000000000000000E+01,  +5.4758390564761598E+01,
  +2.1000000000000000E+01,  +5.4766190686716754E+01,
  +2.2000000000000000E+01,  +5.4677267875998382E+01,
  +2.3000000000000000E+01,  +5.4726489820871379E+01,
  +2.4000000000000000E+01,  +5.4736885007698987E+01,
  +2.5000000000000000E+01,  +5.4730454421880737E+01,
  +2.6000000000000000E+01,  +5.4610193070877585E+01,
  +2.7000000000000000E+01,  +5.4197485011357386E+01,
  +2.8000000000000000E+01,  +5.3458057733299015E+01,
  +2.9000000000000000E+01,  +5.2129198343579901E+01,
  +3.0000000000000000E+01,  +4.9751949442879109E+01,
  +3.1000000000000000E+01,  +4.6956484288503077E+01,
  +3.2000000000000000E+01,  +4.4383620244884462E+01,
  +3.3000000000000000E+01,  +4.1967680770300262E+01,
  +3.4000000000000000E+01,  +3.9678200446237902E+01,
  +3.5000000000000000E+01,  +4.4854251380150998E+01,
  +3.6000000000000000E+01,  +5.0015418918600425E+01,
  +3.7000000000000000E+01,  +5.1952189045767817E+01,
  +3.8000000000000000E+01,  +5.3017830580579478E+01,
  +3.9000000000000000E+01,  +5.3611197990460276E+01,
  +4.0000000000000000E+01,  +5.3862303252694190E+01,
  +4.1000000000000000E+01,  +5.3977630158596469E+01,
  +4.2000000000000000E+01,  +5.3955180754822507E+01,
  +4.3000000000000000E+01,  +5.2857130759028074E+01,
  +4.4000000000000000E+01,  +5.0594763531913259E+01,
  +4.5000000000000000E+01,  +4.7779769434764674E+01,
  +4.6000000000000000E+01,  +4.5424570320641308E+01,
  +4.7000000000000000E+01,  +4.8443914373718883E+01,
  +4.8000000000000000E+01,  +4.9025311733322695E+01,
  +4.9000000000000000E+01,  +4.6515302283572247E+01,
  +5.0000000000000000E+01,  +4.4429788124587063E+01,
  +5.1000000000000000E+01,  +4.7901909476595002E+01,
  +5.2000000000000000E+01,  +4.8665726043045950E+01,
  +5.3000000000000000E+01,  +4.5323962985582526E+01,
  +5.4000000000000000E+01,  +4.7189408805891830E+01,
  +5.5000000000000000E+01,  +4.6122738597537520E+01,
  +5.6000000000000000E+01,  +4.7869610292024724E+01,
  +5.7000000000000000E+01,  +4.7929969429840952E+01,
  +5.8000000000000000E+01,  +4.4854037181522820E+01,
  +5.9000000000000000E+01,  +4.7739686643863109E+01,
  +6.0000000000000000E+01,  +5.1255219032465781E+01,
  +6.1000000000000000E+01,  +5.2636254783656348E+01,
  +6.2000000000000000E+01,  +5.3382989929453842E+01,
  +6.3000000000000000E+01,  +5.3840467155443768E+01,
  +6.4000000000000000E+01,  +5.4117960310619253E+01,
  +6.5000000000000000E+01,  +5.4239587060269017E+01,
  +6.6000000000000000E+01,  +5.4312106368610301E+01,
  +6.7000000000000000E+01,  +5.4267451578323531E+01,
  +6.8000000000000000E+01,  +5.3339304457742095E+01,
  +6.9000000000000000E+01,  +5.3145985974986921E+01,
  +7.0000000000000000E+01,  +5.2768216233862198E+01,
  +7.1000000000000000E+01,  +5.3146946980028723E+01,
  +7.2000000000000000E+01,  +5.4015831413433673E+01,
  +7.3000000000000000E+01,  +5.3775846191339753E+01,
  +7.4000000000000000E+01,  +5.2828167236479651E+01,
  +7.5000000000000000E+01,  +5.3148544508466777E+01,
  +7.6000000000000000E+01,  +5.2884775488069764E+01,
  +7.7000000000000000E+01,  +5.1042074846034737E+01,
  +7.8000000000000000E+01,  +4.8212205037022407E+01,
  +7.9000000000000000E+01,  +4.4841770219291767E+01,
  +8.0000000000000000E+01,  +4.7282402745878507E+01,
  +8.1000000000000000E+01,  +4.7208736918506645E+01,
  +8.2000000000000000E+01,  +4.3981699453909002E+01,
  +8.3000000000000000E+01,  +4.1241092132800645E+01,
  +8.4000000000000000E+01,  +4.5613395234701144E+01,
  +8.5000000000000000E+01,  +5.0170056304374619E+01,
  +8.6000000000000000E+01,  +5.1928766408765973E+01,
  +8.7000000000000000E+01,  +5.2828184644281770E+01,
  +8.8000000000000000E+01,  +5.1737573852488055E+01,
  +8.9000000000000000E+01,  +4.9317129879414047E+01,
  +9.0000000000000000E+01,  +5.0276887271232475E+01,
  +9.1000000000000000E+01,  +4.9462774856996177E+01,
  +9.2000000000000000E+01,  +4.6320199125675749E+01,
  +9.3000000000000000E+01,  +4.3473278130309758E+01,
  +9.4000000000000000E+01,  +4.7209374178364691E+01,
  +9.5000000000000000E+01,  +4.8608141927812206E+01,
  +9.6000000000000000E+01,  +4.6393092872496247E+01,
  +9.7000000000000000E+01,  +4.4573766307325556E+01,
  +9.8000000000000000E+01,  +4.3027834970235553E+01,
  +9.9000000000000000E+01,  +4.1625708368796573E+01,
  +1.0000000000000000E+02,  +4.0223127092380992E+01,
  +1.0100000000000000E+02,  +4.5342508245216145E+01,
  +1.0200000000000000E+02,  +4.5528345214576902E+01,
  +1.0300000000000000E+02,  +4.1288337581919649E+01,
  +1.0400000000000000E+02,  +4.5181776815446781E+01,
  +1.0500000000000000E+02,  +4.5506160117024478E+01,
  +1.0600000000000000E+02,  +4.1770770477811610E+01,
  +1.0700000000000000E+02,  +4.5665666163776244E+01,
  +1.0800000000000000E+02,  +5.0284638071813347E+01,
  +1.0900000000000000E+02,  +5.2158881636512838E+01,
  +1.1000000000000000E+02,  +5.3073034196319753E+01,
  +1.1100000000000000E+02,  +5.3547324913095458E+01,
  +1.1200000000000000E+02,  +5.3785760685560511E+01,
  +1.1300000000000000E+02,  +5.3901074061578917E+01,
  +1.1400000000000000E+02,  +5.3761370352142485E+01,
  +1.1500000000000000E+02,  +5.3539350535380059E+01,
  +1.1600000000000000E+02,  +5.3417594628919133E+01,
  +1.1700000000000000E+02,  +5.3408081562664357E+01,
  +1.1800000000000000E+02,  +5.3751378156092777E+01,
  +1.1900000000000000E+02,  +5.4108908123113068E+01,
  +1.2000000000000000E+02,  +5.4310186233395854E+01,
  +1.2100000000000000E+02,  +5.3870529570461635E+01,
  +1.2200000000000000E+02,  +5.3833895987217794E+01,
  +1.2300000000000000E+02,  +5.4194314357058303E+01,
  +1.2400000000000000E+02,  +5.4288782077976506E+01,
