 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +0.0000000000000000E+00,  +1.1627000000000001E+01,  +7.0000000000000000E+02,
  +1.0000000000000000E+00,  +8.1289999999999996E+00,  +7.0000000000000000E+02,
  +2.0000000000000000E+00,  +5.7629999999999999E+00,  +7.0000000000000000E+02,
  +3.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2000000000000000E+01,  +1.2782999999999999E+01,  +7.0000000000000000E+02,
  +1.3000000000000000E+01,  +9.2270000000000003E+00,  +7.0000000000000000E+02,
  +1.4000000000000000E+01,  +6.7169999999999996E+00,  +7.0000000000000000E+02,
  +1.5000000000000000E+01,  +5.1120000000000001E+00,  +7.0000000000000000E+02,
  +1.6000000000000000E+01,  +3.9620000000000002E+00,  +7.0000000000000000E+02,
  +1.7000000000000000E+01,  +3.2460000000000000E+00,  +7.0000000000000000E+02,
  +1.8000000000000000E+01,  +2.8990000000000000E+00,  +7.0000000000000000E+02,
  +1.9000000000000000E+01,  +2.7280000000000002E+00,  +7.0000000000000000E+02,
  +2.0000000000000000E+01,  +2.6650000000000000E+00,  +7.0000000000000000E+02,
  +2.1000000000000000E+01,  +2.5779999999999998E+00,  +7.0000000000000000E+02,
  +2.2000000000000000E+01,  +1.9139999999999999E+00,  +7.0000000000000000E+02,
  +2.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.4000000000000000E+01,  +1.9530000000000001E+00,  +7.0000000000000000E+02,
  +2.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.4000000000000000E+01,  +1.3981999999999999E+01,  +7.0000000000000000E+02,
  +3.5000000000000000E+01,  +1.0824000000000000E+01,  +7.0000000000000000E+02,
  +3.6000000000000000E+01,  +8.4359999999999999E+00,  +7.0000000000000000E+02,
  +3.7000000000000000E+01,  +6.8360000000000003E+00,  +7.0000000000000000E+02,
  +3.8000000000000000E+01,  +5.6779999999999999E+00,  +7.0000000000000000E+02,
  +3.9000000000000000E+01,  +5.0069999999999997E+00,  +7.0000000000000000E+02,
  +4.0000000000000000E+01,  +4.7740000000000000E+00,  +7.0000000000000000E+02,
  +4.1000000000000000E+01,  +4.6210000000000004E+00,  +7.0000000000000000E+02,
  +4.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.3000000000000000E+01,  +6.5599999999999996E+00,  +7.0000000000000000E+02,
  +4.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.8000000000000000E+01,  +1.1654999999999999E+01,  +7.0000000000000000E+02,
  +4.9000000000000000E+01,  +9.0020000000000007E+00,  +7.0000000000000000E+02,
  +5.0000000000000000E+01,  +7.0309999999999997E+00,  +7.0000000000000000E+02,
  +5.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.4000000000000000E+01,  +1.0885999999999999E+01,  +7.0000000000000000E+02,
  +5.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.8000000000000000E+01,  +1.3798999999999999E+01,  +7.0000000000000000E+02,
  +5.9000000000000000E+01,  +1.0690000000000000E+01,  +7.0000000000000000E+02,
  +6.0000000000000000E+01,  +8.3800000000000008E+00,  +7.0000000000000000E+02,
  +6.1000000000000000E+01,  +6.7679999999999998E+00,  +7.0000000000000000E+02,
  +6.2000000000000000E+01,  +5.7080000000000002E+00,  +7.0000000000000000E+02,
  +6.3000000000000000E+01,  +4.9109999999999996E+00,  +7.0000000000000000E+02,
  +6.4000000000000000E+01,  +4.4039999999999999E+00,  +7.0000000000000000E+02,
  +6.5000000000000000E+01,  +4.2050000000000001E+00,  +7.0000000000000000E+02,
  +6.6000000000000000E+01,  +3.9950000000000001E+00,  +7.0000000000000000E+02,
  +6.7000000000000000E+01,  +4.2249999999999996E+00,  +7.0000000000000000E+02,
  +6.8000000000000000E+01,  +4.4279999999999999E+00,  +7.0000000000000000E+02,
  +6.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.0000000000000000E+01,  +5.3490000000000002E+00,  +7.0000000000000000E+02,
  +7.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.2000000000000000E+01,  +5.2080000000000002E+00,  +7.0000000000000000E+02,
  +7.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.8000000000000000E+01,  +1.1039999999999999E+01,  +7.0000000000000000E+02,
  +7.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.1000000000000000E+01,  +1.2851000000000001E+01,  +7.0000000000000000E+02,
  +8.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.5000000000000000E+01,  +1.4531000000000001E+01,  +7.0000000000000000E+02,
  +8.6000000000000000E+01,  +1.1271000000000001E+01,  +7.0000000000000000E+02,
  +8.7000000000000000E+01,  +8.9640000000000004E+00,  +7.0000000000000000E+02,
  +8.8000000000000000E+01,  +7.5410000000000004E+00,  +7.0000000000000000E+02,
  +8.9000000000000000E+01,  +6.5839999999999996E+00,  +7.0000000000000000E+02,
  +9.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
