 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +0.0000000000000000E+00,  +5.5109029000000000E+01,
  +1.0000000000000000E+00,  +5.7659355801865480E+01,
  +2.0000000000000000E+00,  +6.0626144719581568E+01,
  +3.0000000000000000E+00,  +6.0991931090601412E+01,
  +4.0000000000000000E+00,  +6.0021749019792878E+01,
  +5.0000000000000000E+00,  +5.8787431239102993E+01,
  +6.0000000000000000E+00,  +5.7052745442524049E+01,
  +7.0000000000000000E+00,  +5.5191870107658495E+01,
  +8.0000000000000000E+00,  +5.3460232756181846E+01,
  +9.0000000000000000E+00,  +5.1866856754760761E+01,
  +1.0000000000000000E+01,  +5.0372647768247184E+01,
  +1.1000000000000000E+01,  +4.9023892341722963E+01,
  +1.2000000000000000E+01,  +5.2406640066488045E+01,
  +1.3000000000000000E+01,  +5.7393612237999946E+01,
  +1.4000000000000000E+01,  +6.0397524319190872E+01,
  +1.5000000000000000E+01,  +6.1942716635965098E+01,
  +1.6000000000000000E+01,  +6.2801140673582616E+01,
  +1.7000000000000000E+01,  +6.3295614007464359E+01,
  +1.8000000000000000E+01,  +6.3510095160069206E+01,
  +1.9000000000000000E+01,  +6.3576428300853955E+01,
  +2.0000000000000000E+01,  +6.3579178127141965E+01,
  +2.1000000000000000E+01,  +6.3592431995665095E+01,
  +2.2000000000000000E+01,  +6.3889720551041044E+01,
  +2.3000000000000000E+01,  +6.3802919770481310E+01,
  +2.4000000000000000E+01,  +6.3883002238213287E+01,
  +2.5000000000000000E+01,  +6.3534167789222103E+01,
  +2.6000000000000000E+01,  +6.2513827967601507E+01,
  +2.7000000000000000E+01,  +6.1459035295395580E+01,
  +2.8000000000000000E+01,  +6.0175506469484908E+01,
  +2.9000000000000000E+01,  +5.8439660628076666E+01,
  +3.0000000000000000E+01,  +5.5846092500839553E+01,
  +3.1000000000000000E+01,  +5.3002972713455847E+01,
  +3.2000000000000000E+01,  +5.0441264812961784E+01,
  +3.3000000000000000E+01,  +4.8034545879743924E+01,
  +3.4000000000000000E+01,  +5.0821679522043944E+01,
  +3.5000000000000000E+01,  +5.5418255673225111E+01,
  +3.6000000000000000E+01,  +5.8372709437908249E+01,
  +3.7000000000000000E+01,  +6.0123344130548396E+01,
  +3.8000000000000000E+01,  +6.1192997411847784E+01,
  +3.9000000000000000E+01,  +6.1801836138481775E+01,
  +4.0000000000000000E+01,  +6.2000520271239310E+01,
  +4.1000000000000000E+01,  +6.2050915702279376E+01,
  +4.2000000000000000E+01,  +6.0530231889013301E+01,
  +4.3000000000000000E+01,  +5.9936316130430164E+01,
  +4.4000000000000000E+01,  +5.8627253101916089E+01,
  +4.5000000000000000E+01,  +5.5672167494666020E+01,
  +4.6000000000000000E+01,  +5.3310092565333456E+01,
  +4.7000000000000000E+01,  +5.1421092853514345E+01,
  +4.8000000000000000E+01,  +5.3660955843851269E+01,
  +4.9000000000000000E+01,  +5.7392154451063085E+01,
  +5.0000000000000000E+01,  +5.9767879486814422E+01,
  +5.1000000000000000E+01,  +5.9503337582064823E+01,
  +5.2000000000000000E+01,  +5.7632159903116928E+01,
  +5.3000000000000000E+01,  +5.5108404731065853E+01,
  +5.4000000000000000E+01,  +5.5387157525129929E+01,
  +5.5000000000000000E+01,  +5.4209169371788732E+01,
  +5.6000000000000000E+01,  +5.1408548489855512E+01,
  +5.7000000000000000E+01,  +4.9059560059338075E+01,
  +5.8000000000000000E+01,  +5.1542605128953419E+01,
  +5.9000000000000000E+01,  +5.5796061771203512E+01,
  +6.0000000000000000E+01,  +5.8583120050533502E+01,
  +6.1000000000000000E+01,  +6.0252668562858325E+01,
  +6.2000000000000000E+01,  +6.1233167144595086E+01,
  +6.3000000000000000E+01,  +6.1869380086299856E+01,
  +6.4000000000000000E+01,  +6.2273724678071680E+01,
  +6.5000000000000000E+01,  +6.2431009076337197E+01,
  +6.6000000000000000E+01,  +6.2530833030964146E+01,
  +6.7000000000000000E+01,  +6.2394337260857242E+01,
  +6.8000000000000000E+01,  +6.2155337539114193E+01,
  +6.9000000000000000E+01,  +6.0810281025070630E+01,
  +7.0000000000000000E+01,  +6.0806054839421115E+01,
  +7.1000000000000000E+01,  +6.0671732553201700E+01,
  +7.2000000000000000E+01,  +6.1054750476507770E+01,
  +7.3000000000000000E+01,  +6.0862486669471743E+01,
  +7.4000000000000000E+01,  +5.9407476351909587E+01,
  +7.5000000000000000E+01,  +5.7869186871253994E+01,
  +7.6000000000000000E+01,  +5.6193164734168221E+01,
  +7.7000000000000000E+01,  +5.3994889616089750E+01,
  +7.8000000000000000E+01,  +5.4784275573135069E+01,
  +7.9000000000000000E+01,  +5.3658881649858870E+01,
  +8.0000000000000000E+01,  +5.0547917963905576E+01,
  +8.1000000000000000E+01,  +5.2489568141441431E+01,
  +8.2000000000000000E+01,  +5.2745301089422533E+01,
  +8.3000000000000000E+01,  +5.0249579029302630E+01,
  +8.4000000000000000E+01,  +4.7855771572528681E+01,
  +8.5000000000000000E+01,  +5.0671306666667270E+01,
  +8.6000000000000000E+01,  +5.5249130652264149E+01,
  +8.7000000000000000E+01,  +5.8051690158657266E+01,
  +8.8000000000000000E+01,  +5.9557963353112264E+01,
  +8.9000000000000000E+01,  +6.0407083216253376E+01,
  +9.0000000000000000E+01,  +5.9111415486222818E+01,
  +9.1000000000000000E+01,  +5.6332628230073531E+01,
  +9.2000000000000000E+01,  +5.3444091513954440E+01,
  +9.3000000000000000E+01,  +5.0655718546462971E+01,
  +9.4000000000000000E+01,  +5.2947784650412075E+01,
  +9.5000000000000000E+01,  +5.4075728574700982E+01,
  +9.6000000000000000E+01,  +5.2632502796670600E+01,
  +9.7000000000000000E+01,  +5.1245040798582885E+01,
  +9.8000000000000000E+01,  +4.9911699842666941E+01,
  +9.9000000000000000E+01,  +4.8602347315569084E+01,
  +1.0000000000000000E+02,  +4.7232904020134320E+01,
  +1.0100000000000000E+02,  +5.0509435383048391E+01,
  +1.0200000000000000E+02,  +5.4861784788425496E+01,
  +1.0300000000000000E+02,  +5.4244927591904009E+01,
  +1.0400000000000000E+02,  +5.1417763208001901E+01,
  +1.0500000000000000E+02,  +4.8843421690481399E+01,
  +1.0600000000000000E+02,  +4.6283607440595951E+01,
  +1.0700000000000000E+02,  +4.9345907633423906E+01,
  +1.0800000000000000E+02,  +5.4511379648007107E+01,
  +1.0900000000000000E+02,  +5.7902207205197108E+01,
  +1.1000000000000000E+02,  +5.9831676007754332E+01,
  +1.1100000000000000E+02,  +6.0862123282409563E+01,
  +1.1200000000000000E+02,  +6.1377972318520058E+01,
  +1.1300000000000000E+02,  +6.1625751088373619E+01,
  +1.1400000000000000E+02,  +6.1398769665049265E+01,
  +1.1500000000000000E+02,  +6.1037235249546391E+01,
  +1.1600000000000000E+02,  +5.9080705666877385E+01,
  +1.1700000000000000E+02,  +5.8561163345309978E+01,
  +1.1800000000000000E+02,  +5.7956163110775606E+01,
  +1.1900000000000000E+02,  +5.8666807392877075E+01,
  +1.2000000000000000E+02,  +5.8569547744517571E+01,
  +1.2100000000000000E+02,  +5.6825098717684199E+01,
  +1.2200000000000000E+02,  +5.7919043777628211E+01,
  +1.2300000000000000E+02,  +6.0104272793827562E+01,
  +1.2400000000000000E+02,  +6.1213661858194740E+01,
  +1.2500000000000000E+02,  +5.9869550675238543E+01,
  +1.2600000000000000E+02,  +5.6378197975672684E+01,
  +1.2700000000000000E+02,  +5.2757857214337719E+01,
  +1.2800000000000000E+02,  +4.9526487479500553E+01,
  +1.2900000000000000E+02,  +5.1413591657256539E+01,
  +1.3000000000000000E+02,  +5.1382593138516732E+01,
  +1.3100000000000000E+02,  +4.8702601500210285E+01,
  +1.3200000000000000E+02,  +5.1079923242333997E+01,
  +1.3300000000000000E+02,  +5.5263587324475132E+01,
  +1.3400000000000000E+02,  +5.7894467847813480E+01,
  +1.3500000000000000E+02,  +5.9330970431073091E+01,
  +1.3600000000000000E+02,  +6.0200013200189261E+01,
  +1.3700000000000000E+02,  +6.0604577794706096E+01,
  +1.3800000000000000E+02,  +6.0766014438042582E+01,
  +1.3900000000000000E+02,  +5.8959428374338053E+01,
  +1.4000000000000000E+02,  +5.8284874953249414E+01,
  +1.4100000000000000E+02,  +5.9105561748677140E+01,
  +1.4200000000000000E+02,  +6.0341434315612055E+01,
  +1.4300000000000000E+02,  +6.1446329735332817E+01,
  +1.4400000000000000E+02,  +6.2141454679541461E+01,
  +1.4500000000000000E+02,  +6.2504256735508456E+01,
  +1.4600000000000000E+02,  +6.2739060631721777E+01,
  +1.4700000000000000E+02,  +6.1843917827556403E+01,
  +1.4800000000000000E+02,  +6.1495439758084423E+01,
  +1.4900000000000000E+02,  +6.1675434046774491E+01,
  +1.5000000000000000E+02,  +5.9356491000500121E+01,
  +1.5100000000000000E+02,  +5.5661315634476985E+01,
  +1.5200000000000000E+02,  +5.2287756166942366E+01,
  +1.5300000000000000E+02,  +4.9455247185281074E+01,
  +1.5400000000000000E+02,  +4.6888368272133313E+01,
  +1.5500000000000000E+02,  +4.9745182248324966E+01,
  +1.5600000000000000E+02,  +5.0430369835396938E+01,
  +1.5700000000000000E+02,  +5.2486942689729496E+01,
  +1.5800000000000000E+02,  +5.2842321468949365E+01,
  +1.5900000000000000E+02,  +5.0349344671375263E+01,
  +1.6000000000000000E+02,  +4.7626681885758423E+01,
  +1.6100000000000000E+02,  +5.0063594957808426E+01,
  +1.6200000000000000E+02,  +4.9935732490672613E+01,
  +1.6300000000000000E+02,  +4.6498009693469989E+01,
  +1.6400000000000000E+02,  +4.8860048449175480E+01,
  +1.6500000000000000E+02,  +4.8839743735804319E+01,
  +1.6600000000000000E+02,  +5.1384161481766085E+01,
  +1.6700000000000000E+02,  +5.6236486288741098E+01,
  +1.6800000000000000E+02,  +5.9364020625702473E+01,
  +1.6900000000000000E+02,  +6.1177512078928224E+01,
  +1.7000000000000000E+02,  +6.2219662100796967E+01,
  +1.7100000000000000E+02,  +6.2803040443984145E+01,
  +1.7200000000000000E+02,  +6.1952375570948014E+01,
  +1.7300000000000000E+02,  +5.9502033837867337E+01,
  +1.7400000000000000E+02,  +5.6224265735872272E+01,
  +1.7500000000000000E+02,  +5.2707658661884039E+01,
  +1.7600000000000000E+02,  +4.9580301829943515E+01,
  +1.7700000000000000E+02,  +5.1571937309375251E+01,
  +1.7800000000000000E+02,  +5.1688912329089682E+01,
  +1.7900000000000000E+02,  +4.9100669578344196E+01,
  +1.8000000000000000E+02,  +5.1493921290645908E+01,
  +1.8100000000000000E+02,  +5.5703982278012937E+01,
  +1.8200000000000000E+02,  +5.8238860965791787E+01,
  +1.8300000000000000E+02,  +5.9694521902284684E+01,
  +1.8400000000000000E+02,  +6.0479482370244959E+01,
  +1.8500000000000000E+02,  +6.0862002350144600E+01,
  +1.8600000000000000E+02,  +6.0920562583876261E+01,
  +1.8700000000000000E+02,  +6.0852616727128257E+01,
  +1.8800000000000000E+02,  +6.0693695915648242E+01,
  +1.8900000000000000E+02,  +6.0626958982770759E+01,
  +1.9000000000000000E+02,  +6.1231312880053487E+01,
  +1.9100000000000000E+02,  +6.0673852698812716E+01,
  +1.9200000000000000E+02,  +6.0887519830613059E+01,
  +1.9300000000000000E+02,  +6.0638212016435169E+01,
  +1.9400000000000000E+02,  +6.0861954370273622E+01,
  +1.9500000000000000E+02,  +6.1887556504039537E+01,
  +1.9600000000000000E+02,  +6.1196066344866153E+01,
  +1.9700000000000000E+02,  +6.0864337575051366E+01,
  +1.9800000000000000E+02,  +5.9162918378869939E+01,
  +1.9900000000000000E+02,  +5.5804372290055625E+01,
  +2.0000000000000000E+02,  +5.2865411991553117E+01,
  +2.0100000000000000E+02,  +5.0155281435023035E+01,
  +2.0200000000000000E+02,  +4.7648288165196966E+01,
  +2.0300000000000000E+02,  +5.0505964667329131E+01,
  +2.0400000000000000E+02,  +5.5230678091340422E+01,
  +2.0500000000000000E+02,  +5.8231979734495155E+01,
  +2.0600000000000000E+02,  +5.9958013007783528E+01,
  +2.0700000000000000E+02,  +6.1016599672330791E+01,
  +2.0800000000000000E+02,  +6.1622522108791685E+01,
  +2.0900000000000000E+02,  +6.0539372183069929E+01,
  +2.1000000000000000E+02,  +6.0150669415820808E+01,
  +2.1100000000000000E+02,  +6.0734939510390454E+01,
  +2.1200000000000000E+02,  +6.1064316018526249E+01,
  +2.1300000000000000E+02,  +6.1324608879158042E+01,
  +2.1400000000000000E+02,  +6.1943022536646971E+01,
  +2.1500000000000000E+02,  +6.2652645466346087E+01,
  +2.1600000000000000E+02,  +6.3153091454967061E+01,
  +2.1700000000000000E+02,  +6.2695092223955605E+01,
  +2.1800000000000000E+02,  +6.1508160803473601E+01,
  +2.1900000000000000E+02,  +6.0207542243864530E+01,
  +2.2000000000000000E+02,  +5.8714700674819518E+01,
  +2.2100000000000000E+02,  +5.6751319928622941E+01,
  +2.2200000000000000E+02,  +5.3914251772102524E+01,
  +2.2300000000000000E+02,  +5.4663384395134436E+01,
  +2.2400000000000000E+02,  +5.4222402449444758E+01,
  +2.2500000000000000E+02,  +5.1754069351430076E+01,
  +2.2600000000000000E+02,  +5.3573309106121535E+01,
  +2.2700000000000000E+02,  +5.7070219648345557E+01,
  +2.2800000000000000E+02,  +5.9354282252362232E+01,
  +2.2900000000000000E+02,  +6.0787805193022756E+01,
  +2.3000000000000000E+02,  +6.1585241855199094E+01,
  +2.3100000000000000E+02,  +6.2071540088474819E+01,
  +2.3200000000000000E+02,  +6.2268144488711222E+01,
  +2.3300000000000000E+02,  +6.0921265155970765E+01,
  +2.3400000000000000E+02,  +6.0301719310409659E+01,
  +2.3500000000000000E+02,  +5.9030573464542414E+01,
  +2.3600000000000000E+02,  +5.6305479525593370E+01,
  +2.3700000000000000E+02,  +5.6737310411331521E+01,
  +2.3800000000000000E+02,  +5.6734685776401001E+01,
  +2.3900000000000000E+02,  +5.5358325866356488E+01,
  +2.4000000000000000E+02,  +5.4099144571977881E+01,
  +2.4100000000000000E+02,  +5.2870818173786944E+01,
  +2.4200000000000000E+02,  +5.1666815993024876E+01,
  +2.4300000000000000E+02,  +5.4376052738341976E+01,
  +2.4400000000000000E+02,  +5.5543500888246705E+01,
  +2.4500000000000000E+02,  +5.3802553525544660E+01,
  +2.4600000000000000E+02,  +5.1157233022474990E+01,
  +2.4700000000000000E+02,  +5.2820948974222517E+01,
  +2.4800000000000000E+02,  +5.3055275152375181E+01,
  +2.4900000000000000E+02,  +5.0872551498316930E+01,
  +2.5000000000000000E+02,  +4.8918267694086438E+01,
  +2.5100000000000000E+02,  +5.1762023028691125E+01,
  +2.5200000000000000E+02,  +5.2771185546318897E+01,
  +2.5300000000000000E+02,  +5.0945492265111874E+01,
  +2.5400000000000000E+02,  +4.9227132918317643E+01,
  +2.5500000000000000E+02,  +4.7503622062057730E+01,
  +2.5600000000000000E+02,  +5.0686565095711011E+01,
  +2.5700000000000000E+02,  +5.1630803050570059E+01,
  +2.5800000000000000E+02,  +5.3564828201533523E+01,
  +2.5900000000000000E+02,  +5.6980187153925669E+01,
  +2.6000000000000000E+02,  +5.9053654007813009E+01,
  +2.6100000000000000E+02,  +6.0422824213022068E+01,
  +2.6200000000000000E+02,  +6.1613301425418690E+01,
  +2.6300000000000000E+02,  +6.2487880233229333E+01,
  +2.6400000000000000E+02,  +6.2039733063278106E+01,
  +2.6500000000000000E+02,  +6.2109454034239967E+01,
  +2.6600000000000000E+02,  +6.1803335012621140E+01,
  +2.6700000000000000E+02,  +6.0455365495152499E+01,
  +2.6800000000000000E+02,  +6.0842179982441699E+01,
  +2.6900000000000000E+02,  +6.0249427323246408E+01,
