 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +0.0000000000000000E+00,  +4.9829000000000001E+01,
  +1.0000000000000000E+00,  +5.3186204687796973E+01,
  +2.0000000000000000E+00,  +5.1785524112166883E+01,
  +3.0000000000000000E+00,  +5.0463506372880879E+01,
  +4.0000000000000000E+00,  +4.9064883954209940E+01,
  +5.0000000000000000E+00,  +4.7046634679447706E+01,
  +6.0000000000000000E+00,  +4.4256063200463458E+01,
  +7.0000000000000000E+00,  +4.1979922391439004E+01,
  +8.0000000000000000E+00,  +4.0416861603873272E+01,
  +9.0000000000000000E+00,  +4.0142207267061089E+01,
  +1.0000000000000000E+01,  +4.0082728322632242E+01,
  +1.1000000000000000E+01,  +4.0065429302230235E+01,
  +1.2000000000000000E+01,  +4.0057054842190908E+01,
  +1.3000000000000000E+01,  +4.2015518386805908E+01,
  +1.4000000000000000E+01,  +5.1547982582038316E+01,
  +1.5000000000000000E+01,  +5.1564440769499058E+01,
  +1.6000000000000000E+01,  +5.1582056748410693E+01,
  +1.7000000000000000E+01,  +5.1600951376371114E+01,
  +1.8000000000000000E+01,  +5.1621371512369329E+01,
  +1.9000000000000000E+01,  +5.1642827444364862E+01,
  +2.0000000000000000E+01,  +5.1665288290630670E+01,
  +2.1000000000000000E+01,  +5.1687906072044086E+01,
  +2.2000000000000000E+01,  +5.1706337969365372E+01,
  +2.3000000000000000E+01,  +5.0984217790046735E+01,
  +2.4000000000000000E+01,  +5.0182762715457706E+01,
  +2.5000000000000000E+01,  +4.8662486619412114E+01,
  +2.6000000000000000E+01,  +4.7224795817539814E+01,
  +2.7000000000000000E+01,  +4.6214227462154902E+01,
  +2.8000000000000000E+01,  +4.4202543698938513E+01,
  +2.9000000000000000E+01,  +4.1810824921976582E+01,
  +3.0000000000000000E+01,  +4.0100273090554111E+01,
  +3.1000000000000000E+01,  +4.0078679139211502E+01,
  +3.2000000000000000E+01,  +4.0063340229333448E+01,
  +3.3000000000000000E+01,  +4.0042977479596281E+01,
  +3.4000000000000000E+01,  +4.0029812391266482E+01,
  +3.5000000000000000E+01,  +4.0020835666958327E+01,
  +3.6000000000000000E+01,  +4.5061028538996752E+01,
  +3.7000000000000000E+01,  +5.1351024467695709E+01,
  +3.8000000000000000E+01,  +5.1363099726640101E+01,
  +3.9000000000000000E+01,  +5.0367782796105558E+01,
  +4.0000000000000000E+01,  +4.9233263516430320E+01,
  +4.1000000000000000E+01,  +4.8100158304664291E+01,
  +4.2000000000000000E+01,  +4.4485985023952139E+01,
  +4.3000000000000000E+01,  +4.2153085670035935E+01,
  +4.4000000000000000E+01,  +4.0042071014235248E+01,
  +4.5000000000000000E+01,  +4.0032328415954524E+01,
  +4.6000000000000000E+01,  +4.0027081768720635E+01,
  +4.7000000000000000E+01,  +4.0022875116038591E+01,
  +4.8000000000000000E+01,  +4.0018266667043591E+01,
  +4.9000000000000000E+01,  +4.0014838220278996E+01,
  +5.0000000000000000E+01,  +4.0012087978450865E+01,
  +5.1000000000000000E+01,  +4.0009837427996430E+01,
  +5.2000000000000000E+01,  +4.0007728395150387E+01,
  +5.3000000000000000E+01,  +4.0005495511467998E+01,
  +5.4000000000000000E+01,  +4.0003451535611624E+01,
  +5.5000000000000000E+01,  +4.0002243494177442E+01,
  +5.6000000000000000E+01,  +4.0001577852561269E+01,
  +5.7000000000000000E+01,  +4.0001153358005624E+01,
  +5.8000000000000000E+01,  +4.0000776855444869E+01,
  +5.9000000000000000E+01,  +4.0000547053648056E+01,
  +6.0000000000000000E+01,  +4.2589636466503791E+01,
  +6.1000000000000000E+01,  +4.9743570391358830E+01,
  +6.2000000000000000E+01,  +4.9758214729351408E+01,
  +6.3000000000000000E+01,  +4.9772823684438663E+01,
  +6.4000000000000000E+01,  +4.9775302345244256E+01,
  +6.5000000000000000E+01,  +4.8865813799133406E+01,
  +6.6000000000000000E+01,  +4.7986108921272631E+01,
  +6.7000000000000000E+01,  +4.6883961743631936E+01,
  +6.8000000000000000E+01,  +4.3389206070551367E+01,
  +6.9000000000000000E+01,  +4.1713103100686176E+01,
  +7.0000000000000000E+01,  +4.2026938304527555E+01,
  +7.1000000000000000E+01,  +4.1174184987509811E+01,
  +7.2000000000000000E+01,  +4.0452610740009618E+01,
  +7.3000000000000000E+01,  +4.0040118739898759E+01,
  +7.4000000000000000E+01,  +4.0035029017675349E+01,
  +7.5000000000000000E+01,  +4.0030300263215672E+01,
  +7.6000000000000000E+01,  +4.0025848888028072E+01,
  +7.7000000000000000E+01,  +4.0020719747179498E+01,
  +7.8000000000000000E+01,  +4.0013816143759371E+01,
  +7.9000000000000000E+01,  +4.0009068303288529E+01,
  +8.0000000000000000E+01,  +4.0006108397183795E+01,
  +8.1000000000000000E+01,  +4.0004378911297117E+01,
  +8.2000000000000000E+01,  +4.0003099244093242E+01,
  +8.3000000000000000E+01,  +4.0002072500707790E+01,
  +8.4000000000000000E+01,  +4.0001416490150682E+01,
  +8.5000000000000000E+01,  +4.4809594898048161E+01,
  +8.6000000000000000E+01,  +5.1317587044293518E+01,
  +8.7000000000000000E+01,  +5.1330269193173244E+01,
  +8.8000000000000000E+01,  +5.1338092257870784E+01,
  +8.9000000000000000E+01,  +4.7473906943276006E+01,
  +9.0000000000000000E+01,  +4.4032233595429389E+01,
  +9.1000000000000000E+01,  +4.1657687970664206E+01,
  +9.2000000000000000E+01,  +4.0029857407014120E+01,
  +9.3000000000000000E+01,  +4.0023526916457975E+01,
  +9.4000000000000000E+01,  +4.0019738819950902E+01,
  +9.5000000000000000E+01,  +4.0015291570037284E+01,
  +9.6000000000000000E+01,  +4.0011945110814452E+01,
  +9.7000000000000000E+01,  +4.0009410116536991E+01,
  +9.8000000000000000E+01,  +4.0007476493702953E+01,
  +9.9000000000000000E+01,  +4.0005940198282403E+01,
  +1.0000000000000000E+02,  +4.0004640225076301E+01,
  +1.0100000000000000E+02,  +4.0003218806845780E+01,
  +1.0200000000000000E+02,  +4.0002035265937906E+01,
  +1.0300000000000000E+02,  +4.0001269627288579E+01,
  +1.0400000000000000E+02,  +4.0000825256211115E+01,
  +1.0500000000000000E+02,  +4.0000551858462956E+01,
  +1.0600000000000000E+02,  +4.0000363797568511E+01,
  +1.0700000000000000E+02,  +4.0000245039372466E+01,
  +1.0800000000000000E+02,  +4.0173956294884945E+01,
  +1.0900000000000000E+02,  +4.8912245477749181E+01,
  +1.1000000000000000E+02,  +4.8930190281049718E+01,
  +1.1100000000000000E+02,  +4.8949550281800370E+01,
  +1.1200000000000000E+02,  +4.8970255365677701E+01,
  +1.1300000000000000E+02,  +4.8991733334420395E+01,
  +1.1400000000000000E+02,  +4.9015431229734943E+01,
  +1.1500000000000000E+02,  +4.9039503769565258E+01,
  +1.1600000000000000E+02,  +4.5870194157125560E+01,
  +1.1700000000000000E+02,  +4.9081988911154653E+01,
  +1.1800000000000000E+02,  +4.9101997893330896E+01,
  +1.1900000000000000E+02,  +4.9122341475358944E+01,
  +1.2000000000000000E+02,  +4.7405302115882549E+01,
  +1.2100000000000000E+02,  +4.5690653228485225E+01,
  +1.2200000000000000E+02,  +4.4086083138130419E+01,
  +1.2300000000000000E+02,  +4.9190524360693345E+01,
  +1.2400000000000000E+02,  +4.9211675332247388E+01,
  +1.2500000000000000E+02,  +4.9234823130732153E+01,
  +1.2600000000000000E+02,  +4.5757996639734358E+01,
  +1.2700000000000000E+02,  +4.2330917021846986E+01,
  +1.2800000000000000E+02,  +4.0015160447378953E+01,
  +1.2900000000000000E+02,  +4.0010080303347735E+01,
  +1.3000000000000000E+02,  +4.0006462546536540E+01,
  +1.3100000000000000E+02,  +4.0004260256703887E+01,
  +1.3200000000000000E+02,  +4.0003149377492058E+01,
  +1.3300000000000000E+02,  +4.4573416264121839E+01,
  +1.3400000000000000E+02,  +5.1293255417384593E+01,
  +1.3500000000000000E+02,  +5.1306577473324367E+01,
  +1.3600000000000000E+02,  +5.1321778721886176E+01,
  +1.3700000000000000E+02,  +5.1338733407831484E+01,
  +1.3800000000000000E+02,  +5.1356168829904632E+01,
  +1.3900000000000000E+02,  +5.1374388400117198E+01,
  +1.4000000000000000E+02,  +4.9710905751603534E+01,
  +1.4100000000000000E+02,  +4.4883444783142778E+01,
  +1.4200000000000000E+02,  +4.3261760873500890E+01,
  +1.4300000000000000E+02,  +4.7392241526790855E+01,
  +1.4400000000000000E+02,  +4.4899896162082847E+01,
  +1.4500000000000000E+02,  +4.2654483419480016E+01,
  +1.4600000000000000E+02,  +4.1273389598740913E+01,
  +1.4700000000000000E+02,  +4.0054503424425313E+01,
  +1.4800000000000000E+02,  +4.0045453040197735E+01,
  +1.4900000000000000E+02,  +4.0035815899183326E+01,
  +1.5000000000000000E+02,  +4.0025342224504342E+01,
  +1.5100000000000000E+02,  +4.0016127928874312E+01,
  +1.5200000000000000E+02,  +4.0010483718700641E+01,
  +1.5300000000000000E+02,  +4.0006911104256432E+01,
  +1.5400000000000000E+02,  +4.0004588511824949E+01,
  +1.5500000000000000E+02,  +4.0003024850676518E+01,
  +1.5600000000000000E+02,  +4.0002052295233781E+01,
  +1.5700000000000000E+02,  +4.2365808475265382E+01,
  +1.5800000000000000E+02,  +4.1296326737167675E+01,
  +1.5900000000000000E+02,  +4.0024348668181140E+01,
  +1.6000000000000000E+02,  +4.0015718544749021E+01,
  +1.6100000000000000E+02,  +4.0009871725724615E+01,
  +1.6200000000000000E+02,  +4.0005958103664497E+01,
  +1.6300000000000000E+02,  +4.0003504954068568E+01,
  +1.6400000000000000E+02,  +4.0002115423408462E+01,
  +1.6500000000000000E+02,  +4.0001293574649374E+01,
  +1.6600000000000000E+02,  +4.0000954319652152E+01,
  +1.6700000000000000E+02,  +4.0000733145069034E+01,
  +1.6800000000000000E+02,  +4.8535702341080089E+01,
  +1.6900000000000000E+02,  +4.9285201850626429E+01,
  +1.7000000000000000E+02,  +4.9287270678992101E+01,
  +1.7100000000000000E+02,  +4.9289588636250976E+01,
  +1.7200000000000000E+02,  +4.7537872029375933E+01,
  +1.7300000000000000E+02,  +4.4960142901979921E+01,
  +1.7400000000000000E+02,  +4.1745733254905524E+01,
  +1.7500000000000000E+02,  +4.0050534939722340E+01,
  +1.7600000000000000E+02,  +4.0033244202553057E+01,
  +1.7700000000000000E+02,  +4.0021851533949793E+01,
  +1.7800000000000000E+02,  +4.0014649877794561E+01,
  +1.7900000000000000E+02,  +4.0009727097810703E+01,
  +1.8000000000000000E+02,  +4.0006599623786542E+01,
  +1.8100000000000000E+02,  +4.7214234224312044E+01,
  +1.8200000000000000E+02,  +4.8710688985496837E+01,
  +1.8300000000000000E+02,  +4.8714598796497249E+01,
  +1.8400000000000000E+02,  +4.8719032367442431E+01,
  +1.8500000000000000E+02,  +4.8723524753662829E+01,
  +1.8600000000000000E+02,  +4.8728189454362742E+01,
  +1.8700000000000000E+02,  +4.8732849441750915E+01,
  +1.8800000000000000E+02,  +4.8737420026995927E+01,
  +1.8900000000000000E+02,  +4.8741991779566604E+01,
  +1.9000000000000000E+02,  +4.8746154857449021E+01,
  +1.9100000000000000E+02,  +4.8750422293994816E+01,
  +1.9200000000000000E+02,  +4.8754775843027417E+01,
  +1.9300000000000000E+02,  +4.8759105792030020E+01,
  +1.9400000000000000E+02,  +4.8763620322440950E+01,
  +1.9500000000000000E+02,  +4.8768135935864017E+01,
  +1.9600000000000000E+02,  +4.8772642734935424E+01,
  +1.9700000000000000E+02,  +4.8146628983525105E+01,
  +1.9800000000000000E+02,  +4.5169736804331528E+01,
  +1.9900000000000000E+02,  +4.2342205451132315E+01,
  +2.0000000000000000E+02,  +4.0072643153102220E+01,
  +2.0100000000000000E+02,  +4.0047748689084948E+01,
  +2.0200000000000000E+02,  +4.0032400552574735E+01,
  +2.0300000000000000E+02,  +4.0022308889839856E+01,
  +2.0400000000000000E+02,  +4.4998171056666564E+01,
  +2.0500000000000000E+02,  +5.1344252259479617E+01,
  +2.0600000000000000E+02,  +5.1356654404406072E+01,
  +2.0700000000000000E+02,  +5.1370492051104307E+01,
  +2.0800000000000000E+02,  +5.0322686087340585E+01,
  +2.0900000000000000E+02,  +4.9242870448976760E+01,
  +2.1000000000000000E+02,  +4.8003014136769735E+01,
  +2.1100000000000000E+02,  +4.6683426254242171E+01,
  +2.1200000000000000E+02,  +4.5391195758459901E+01,
  +2.1300000000000000E+02,  +4.4497499940061999E+01,
  +2.1400000000000000E+02,  +4.4056391731282105E+01,
  +2.1500000000000000E+02,  +4.2951669349201872E+01,
  +2.1600000000000000E+02,  +4.1936763777419159E+01,
  +2.1700000000000000E+02,  +4.0973614155325365E+01,
  +2.1800000000000000E+02,  +4.0069581370066118E+01,
  +2.1900000000000000E+02,  +4.0061330179876975E+01,
  +2.2000000000000000E+02,  +4.0053050890851694E+01,
  +2.2100000000000000E+02,  +4.0043461502024080E+01,
  +2.2200000000000000E+02,  +4.0032987662568310E+01,
  +2.2300000000000000E+02,  +4.0024164704623324E+01,
  +2.2400000000000000E+02,  +4.0017251117086289E+01,
  +2.2500000000000000E+02,  +4.0012594192569431E+01,
  +2.2600000000000000E+02,  +4.0009087356775595E+01,
  +2.2700000000000000E+02,  +4.0006730814988025E+01,
  +2.2800000000000000E+02,  +4.2105459654895981E+01,
  +2.2900000000000000E+02,  +5.0033975935947922E+01,
  +2.3000000000000000E+02,  +4.9033920955750695E+01,
  +2.3100000000000000E+02,  +4.8116574555461710E+01,
  +2.3200000000000000E+02,  +4.4900632384239756E+01,
  +2.3300000000000000E+02,  +4.1789986625359838E+01,
  +2.3400000000000000E+02,  +4.0304149743413312E+01,
  +2.3500000000000000E+02,  +4.0034814756094008E+01,
  +2.3600000000000000E+02,  +4.0027317349312732E+01,
  +2.3700000000000000E+02,  +4.0021523421961568E+01,
  +2.3800000000000000E+02,  +4.0017199949685484E+01,
  +2.3900000000000000E+02,  +4.0014254817575242E+01,
  +2.4000000000000000E+02,  +4.0011813977820815E+01,
  +2.4100000000000000E+02,  +4.0009864405299190E+01,
  +2.4200000000000000E+02,  +4.0008236556169521E+01,
  +2.4300000000000000E+02,  +4.0006877338823379E+01,
  +2.4400000000000000E+02,  +4.0005616244452419E+01,
  +2.4500000000000000E+02,  +4.0004215847685089E+01,
  +2.4600000000000000E+02,  +4.0002805724911028E+01,
  +2.4700000000000000E+02,  +4.0001960901015920E+01,
  +2.4800000000000000E+02,  +4.0001424017846681E+01,
  +2.4900000000000000E+02,  +4.0001054740217896E+01,
  +2.5000000000000000E+02,  +4.0000771992636999E+01,
  +2.5100000000000000E+02,  +4.0000556277658603E+01,
  +2.5200000000000000E+02,  +4.0000410387372625E+01,
  +2.5300000000000000E+02,  +4.0000300373518144E+01,
  +2.5400000000000000E+02,  +4.0000227004477871E+01,
  +2.5500000000000000E+02,  +4.0000167469913279E+01,
  +2.5600000000000000E+02,  +4.0000119745759207E+01,
  +2.5700000000000000E+02,  +4.0000083689454357E+01,
  +2.5800000000000000E+02,  +4.0000057199154313E+01,
