 TIME                                   ,Massenstrom                             ,
  +2.1120000000000000E+03,  +1.9562725334608942E+02,
  +2.1130000000000000E+03,  +2.0113788020090885E+02,
  +2.1140000000000000E+03,  +2.0802616376943314E+02,
  +2.1150000000000000E+03,  +2.2180273090648168E+02,
  +2.1160000000000000E+03,  +2.5624414874910303E+02,
  +2.1170000000000000E+03,  +3.4165886499880412E+02,
  +2.1180000000000000E+03,  +4.2707358124850509E+02,
  +2.1190000000000000E+03,  +4.0227576040181771E+02,
  +2.1200000000000000E+03,  +3.9400982011958860E+02,
  +2.1210000000000000E+03,  +3.7747793955513038E+02,
  +2.1220000000000000E+03,  +3.6094605899067204E+02,
  +2.1230000000000000E+03,  +3.4579183513991865E+02,
  +2.1240000000000000E+03,  +3.3890355157139436E+02,
  +2.1250000000000000E+03,  +3.4579183513991865E+02,
  +2.1260000000000000E+03,  +3.5543543213585269E+02,
  +2.1270000000000000E+03,  +3.6921199927290121E+02,
  +2.1280000000000000E+03,  +3.8436622312365455E+02,
  +2.1290000000000000E+03,  +3.9538747683329348E+02,
  +2.1300000000000000E+03,  +4.0227576040181771E+02,
  +2.1310000000000000E+03,  +3.9814279026070318E+02,
  +2.1320000000000000E+03,  +3.8023325298254002E+02,
  +2.1330000000000000E+03,  +3.3752589485768954E+02,
  +2.1340000000000000E+03,  +2.4797820846687392E+02,
  +2.1350000000000000E+03,  +2.0527085034202344E+02,
  +2.1360000000000000E+03,  +2.0802616376943314E+02,
  +2.1370000000000000E+03,  +2.1353679062425255E+02,
  +2.1380000000000000E+03,  +2.2042507419277686E+02,
  +2.1390000000000000E+03,  +2.3420164132982538E+02,
  +2.1400000000000000E+03,  +2.7139837259985649E+02,
  +2.1410000000000000E+03,  +3.6094605899067204E+02,
  +2.1420000000000000E+03,  +4.5187140209519254E+02,
  +2.1430000000000000E+03,  +4.2569592453480027E+02,
  +2.1440000000000000E+03,  +4.1742998425257116E+02,
  +2.1450000000000000E+03,  +3.9952044697440800E+02,
  +2.1460000000000000E+03,  +3.8298856640994978E+02,
  +2.1470000000000000E+03,  +3.6645668584549151E+02,
  +2.1480000000000000E+03,  +3.5956840227696722E+02,
  +2.1490000000000000E+03,  +3.6645668584549151E+02,
  +2.1500000000000000E+03,  +3.7610028284142544E+02,
  +2.1510000000000000E+03,  +3.9125450669217884E+02,
  +2.1520000000000000E+03,  +4.0640873054293223E+02,
  +2.1530000000000000E+03,  +4.1880764096627593E+02,
  +2.1540000000000000E+03,  +4.2431826782109539E+02,
  +2.1550000000000000E+03,  +4.2156295439368569E+02,
  +2.1560000000000000E+03,  +4.0089810368811288E+02,
  +2.1570000000000000E+03,  +3.5681308884955746E+02,
  +2.1580000000000000E+03,  +2.6175477560392250E+02,
  +2.1590000000000000E+03,  +2.1766976076536713E+02,
  +2.1600000000000000E+03,  +2.0527085034202344E+02,
  +2.1610000000000000E+03,  +2.1078147719684284E+02,
  +2.1620000000000000E+03,  +2.1766976076536713E+02,
  +2.1630000000000000E+03,  +2.3144632790241567E+02,
  +2.1640000000000000E+03,  +2.6726540245874196E+02,
  +2.1650000000000000E+03,  +3.5681308884955746E+02,
  +2.1660000000000000E+03,  +4.4498311852666825E+02,
  +2.1670000000000000E+03,  +4.2018529767998086E+02,
  +2.1680000000000000E+03,  +4.1191935739775170E+02,
  +2.1690000000000000E+03,  +3.9400982011958860E+02,
  +2.1700000000000000E+03,  +3.7747793955513038E+02,
  +2.1710000000000000E+03,  +3.6094605899067204E+02,
  +2.1720000000000000E+03,  +3.5405777542214781E+02,
  +2.1730000000000000E+03,  +3.6094605899067204E+02,
  +2.1740000000000000E+03,  +3.7058965598660609E+02,
  +2.1750000000000000E+03,  +3.8574387983735954E+02,
  +2.1760000000000000E+03,  +4.0089810368811288E+02,
  +2.1770000000000000E+03,  +4.1329701411145663E+02,
  +2.1780000000000000E+03,  +4.1880764096627593E+02,
  +2.1790000000000000E+03,  +4.1467467082516140E+02,
  +2.1800000000000000E+03,  +3.9538747683329348E+02,
  +2.1810000000000000E+03,  +3.5268011870844293E+02,
  +2.1820000000000000E+03,  +2.5899946217651279E+02,
  +2.1830000000000000E+03,  +2.1491444733795740E+02,
  +2.1840000000000000E+03,  +1.7634005935422147E+02,
  +2.1850000000000000E+03,  +1.8185068620904087E+02,
  +2.1860000000000000E+03,  +1.8873896977756519E+02,
  +2.1870000000000000E+03,  +2.0251553691461373E+02,
  +2.1880000000000000E+03,  +2.3833461147093996E+02,
  +2.1890000000000000E+03,  +3.1823870086582156E+02,
  +2.1900000000000000E+03,  +3.9676513354699830E+02,
  +2.1910000000000000E+03,  +3.7472262612772062E+02,
  +2.1920000000000000E+03,  +3.6507902913178663E+02,
  +2.1930000000000000E+03,  +3.4579183513991865E+02,
  +2.1940000000000000E+03,  +3.2925995457546037E+02,
  +2.1950000000000000E+03,  +3.1410573072470703E+02,
  +2.1960000000000000E+03,  +3.0859510386988757E+02,
  +2.1970000000000000E+03,  +3.1548338743841185E+02,
  +2.1980000000000000E+03,  +3.2512698443434579E+02,
  +2.1990000000000000E+03,  +3.3890355157139436E+02,
  +2.2000000000000000E+03,  +3.5405777542214781E+02,
  +2.2010000000000000E+03,  +3.6507902913178663E+02,
  +2.2020000000000000E+03,  +3.7196731270031091E+02,
  +2.2030000000000000E+03,  +3.7058965598660609E+02,
  +2.2040000000000000E+03,  +3.5130246199473805E+02,
  +2.2050000000000000E+03,  +3.1272807401100215E+02,
  +2.2060000000000000E+03,  +2.2731335776130109E+02,
  +2.2070000000000000E+03,  +1.8460599963645060E+02,
  +2.2080000000000000E+03,  +1.4740926836641952E+02,
  +2.2090000000000000E+03,  +1.5429755193494378E+02,
  +2.2100000000000000E+03,  +1.6118583550346807E+02,
  +2.2110000000000000E+03,  +1.7771771606792635E+02,
  +2.2120000000000000E+03,  +2.1766976076536713E+02,
  +2.2130000000000000E+03,  +2.9344088001913411E+02,
  +2.2140000000000000E+03,  +3.6370137241808175E+02,
  +2.2150000000000000E+03,  +3.4441417842621382E+02,
  +2.2160000000000000E+03,  +3.2925995457546037E+02,
  +2.2170000000000000E+03,  +3.0721744715618274E+02,
  +2.2180000000000000E+03,  +2.8930790987801959E+02,
  +2.2190000000000000E+03,  +2.7415368602726619E+02,
  +2.2200000000000000E+03,  +2.7002071588615161E+02,
  +2.2210000000000000E+03,  +2.7690899945467589E+02,
  +2.2220000000000000E+03,  +2.8655259645060994E+02,
  +2.2230000000000000E+03,  +3.0170682030136328E+02,
  +2.2240000000000000E+03,  +3.1410573072470703E+02,
  +2.2250000000000000E+03,  +3.2788229786175555E+02,
  +2.2260000000000000E+03,  +3.3752589485768954E+02,
  +2.2270000000000000E+03,  +3.3614823814398466E+02,
  +2.2280000000000000E+03,  +3.1961635757952638E+02,
  +2.2290000000000000E+03,  +2.8104196959579048E+02,
  +2.2300000000000000E+03,  +1.9976022348720400E+02,
  +2.2310000000000000E+03,  +1.5705286536235351E+02,
  +2.2320000000000000E+03,  +1.2812207437455152E+02,
  +2.2330000000000000E+03,  +1.3501035794307580E+02,
  +2.2340000000000000E+03,  +1.4189864151160009E+02,
  +2.2350000000000000E+03,  +1.5980817878976319E+02,
  +2.2360000000000000E+03,  +2.0113788020090885E+02,
  +2.2370000000000000E+03,  +2.7139837259985649E+02,
  +2.2380000000000000E+03,  +3.3339292471657495E+02,
  +2.2390000000000000E+03,  +3.1686104415211668E+02,
  +2.2400000000000000E+03,  +3.0032916358765846E+02,
  +2.2410000000000000E+03,  +2.7553134274097107E+02,
  +2.2420000000000000E+03,  +2.5762180546280791E+02,
  +2.2430000000000000E+03,  +2.4246758161205449E+02,
  +2.2440000000000000E+03,  +2.3971226818464484E+02,
  +2.2450000000000000E+03,  +2.4660055175316907E+02,
  +2.2460000000000000E+03,  +2.5624414874910303E+02,
