 TIME                                   ,T_to_src                                ,T_to_load                               ,Loss_th                                 ,
 HOURS              ,"°C                 ,°C                  ,kJ"                 ,
  +2.1120000000000000E+03,  +3.0000000000000000E+01,  +3.0000000000000000E+01,  +0.0000000000000000E+00,
  +2.1130000000000000E+03,  +3.2238813733581587E+01,  +3.2238813733581623E+01,  +0.0000000000000000E+00,
  +2.1140000000000000E+03,  +3.3848368291792163E+01,  +3.3848368291792184E+01,  +0.0000000000000000E+00,
  +2.1150000000000000E+03,  +3.5845007684758222E+01,  +3.5845007684758208E+01,  +0.0000000000000000E+00,
  +2.1160000000000000E+03,  +3.7847755083791313E+01,  +3.7847755083791334E+01,  +0.0000000000000000E+00,
  +2.1170000000000000E+03,  +3.9885442241819696E+01,  +3.9885442241819717E+01,  +0.0000000000000000E+00,
  +2.1180000000000000E+03,  +3.6852339895842505E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1190000000000000E+03,  +4.1866071669410360E+01,  +5.7561425037495233E+01,  +0.0000000000000000E+00,
  +2.1200000000000000E+03,  +4.4299461238189032E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1210000000000000E+03,  +4.5370711223505566E+01,  +6.1282553941315172E+01,  +0.0000000000000000E+00,
  +2.1220000000000000E+03,  +3.4704000000000001E+01,  +4.5370711223505580E+01,  +0.0000000000000000E+00,
  +2.1230000000000000E+03,  +4.1284309941520469E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1240000000000000E+03,  +4.6767443005346564E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1250000000000000E+03,  +4.6742644881671261E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1260000000000000E+03,  +4.0236325730596718E+01,  +6.5000000000000014E+01,  +0.0000000000000000E+00,
  +2.1270000000000000E+03,  +4.8080888945188981E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1280000000000000E+03,  +4.8078805011999883E+01,  +6.3261028177625739E+01,  +0.0000000000000000E+00,
  +2.1290000000000000E+03,  +3.9573000000000000E+01,  +4.8078805011999862E+01,  +0.0000000000000000E+00,
  +2.1300000000000000E+03,  +3.6737000000000002E+01,  +4.8078805011999876E+01,  +0.0000000000000000E+00,
  +2.1310000000000000E+03,  +4.2847743087557610E+01,  +4.8078805011999883E+01,  +0.0000000000000000E+00,
  +2.1320000000000000E+03,  +4.4997179195804200E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1330000000000000E+03,  +4.4341999999999999E+01,  +6.4109680151942271E+01,  +0.0000000000000000E+00,
  +2.1340000000000000E+03,  +4.0835059495325204E+01,  +6.4999999999999986E+01,  +0.0000000000000000E+00,
  +2.1350000000000000E+03,  +4.6082504345367532E+01,  +6.5000000000000014E+01,  +0.0000000000000000E+00,
  +2.1360000000000000E+03,  +4.6745280314187610E+01,  +6.5000000000000043E+01,  +0.0000000000000000E+00,
  +2.1370000000000000E+03,  +5.3542269771928602E+01,  +6.4999999999999943E+01,  +0.0000000000000000E+00,
  +2.1380000000000000E+03,  +4.9966999999999999E+01,  +6.5000000000000043E+01,  +0.0000000000000000E+00,
  +2.1390000000000000E+03,  +4.0241999999999997E+01,  +6.4999999999999986E+01,  +0.0000000000000000E+00,
  +2.1400000000000000E+03,  +4.6646378746593996E+01,  +6.5000000000000014E+01,  +0.0000000000000000E+00,
  +2.1410000000000000E+03,  +4.7051925278219393E+01,  +6.5000000000000014E+01,  +0.0000000000000000E+00,
  +2.1420000000000000E+03,  +4.7982826541274811E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1430000000000000E+03,  +4.7942352290679295E+01,  +5.1441294343210039E+01,  +0.0000000000000000E+00,
  +2.1440000000000000E+03,  +4.8144639096710641E+01,  +4.8144639096710627E+01,  +0.0000000000000000E+00,
  +2.1450000000000000E+03,  +4.7425708275361693E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1460000000000000E+03,  +4.6057548869538429E+01,  +6.5000000000000000E+01,  +0.0000000000000000E+00,
  +2.1470000000000000E+03,  +4.5618000000000002E+01,  +6.5000000000000014E+01,  +0.0000000000000000E+00,
  +2.1480000000000000E+03,  +4.8702620613830810E+01,  +6.0080709491177394E+01,  +0.0000000000000000E+00,
  +2.1490000000000000E+03,  +4.6518000000000001E+01,  +4.8702620613830810E+01,  +0.0000000000000000E+00,
  +2.1500000000000000E+03,  +4.4255000000000003E+01,  +4.8702620613830817E+01,  +0.0000000000000000E+00,
  +2.1510000000000000E+03,  +4.7110725394896718E+01,  +4.8702620613830817E+01,  +0.0000000000000000E+00,
  +2.1520000000000000E+03,  +4.8130104651162796E+01,  +4.8702620613830810E+01,  +0.0000000000000000E+00,
  +2.1530000000000000E+03,  +4.4310000000000002E+01,  +4.8211824474315200E+01,  +0.0000000000000000E+00,
  +2.1540000000000000E+03,  +4.4216392156862746E+01,  +4.8130104651162803E+01,  +0.0000000000000000E+00,
  +2.1550000000000000E+03,  +4.6940928104575171E+01,  +4.8130104651162789E+01,  +0.0000000000000000E+00,
