index,electricity,PV,temp,heat_water,heat_space
0,0.343,0.000,-2.620,0.029,2.272
1,0.102,0.000,-3.313,0.036,2.336
2,0.185,0.000,-3.869,0.029,2.416
3,0.199,0.000,-4.301,0.053,2.576
4,0.297,0.000,-4.747,0.127,2.976
5,0.288,0.000,-5.110,0.401,3.968
6,0.605,0.000,-5.437,0.627,4.960
7,0.482,0.000,-5.260,0.540,4.672
8,0.749,0.173,-3.187,0.408,4.576
9,0.740,0.422,-0.595,0.391,4.384
10,0.668,0.620,2.251,0.355,4.192
11,0.525,0.739,3.796,0.360,4.016
12,0.871,0.779,5.011,0.348,3.936
13,0.740,0.762,5.955,0.281,4.016
14,0.754,0.716,6.593,0.269,4.128
15,0.435,0.612,6.814,0.240,4.288
16,0.608,0.470,6.707,0.281,4.464
17,0.595,0.320,6.426,0.331,4.592
18,0.639,0.155,5.789,0.322,4.672
19,0.818,0.016,3.664,0.338,4.624
20,1.052,0.000,2.047,0.350,4.416
21,0.717,0.000,2.024,0.300,3.920
22,0.459,0.000,2.008,0.175,2.880
23,0.509,0.000,1.625,0.072,2.384
24,0.317,0.000,1.091,0.029,2.416
25,0.143,0.000,1.030,0.036,2.480
26,0.192,0.000,1.357,0.029,2.560
27,0.309,0.000,1.592,0.053,2.720
28,0.284,0.000,1.356,0.127,3.152
29,0.228,0.000,0.980,0.401,4.192
30,0.448,0.000,0.754,0.627,5.248
31,0.724,0.000,0.786,0.540,4.944
32,0.750,0.052,1.043,0.408,4.848
33,0.627,0.204,1.902,0.391,4.640
34,0.718,0.567,4.059,0.355,4.448
35,0.717,0.764,6.127,0.360,4.256
36,0.833,0.853,7.368,0.348,4.176
37,0.523,0.884,8.220,0.281,4.256
38,0.620,0.860,8.765,0.269,4.368
39,0.737,0.783,8.989,0.240,4.544
40,0.510,0.651,8.839,0.281,4.720
41,0.454,0.463,8.322,0.331,4.864
42,0.685,0.232,7.302,0.322,4.928
43,0.809,0.030,4.537,0.338,4.896
44,0.764,0.000,1.996,0.350,4.656
45,0.867,0.000,1.245,0.300,4.144
46,0.713,0.000,0.519,0.175,3.040
47,0.539,0.000,-0.213,0.072,2.528
48,0.139,0.000,-0.907,0.029,2.384
49,0.346,0.000,-1.416,0.036,2.448
50,0.223,0.000,-1.633,0.029,2.528
51,0.106,0.000,-1.595,0.053,2.688
52,0.242,0.000,-1.486,0.127,3.104
53,0.100,0.000,-1.455,0.401,4.144
54,0.429,0.000,-1.592,0.627,5.168
55,0.631,0.000,-1.469,0.540,4.880
56,0.781,0.169,0.501,0.408,4.784
57,0.735,0.411,2.543,0.391,4.576
58,0.660,0.613,5.535,0.355,4.384
59,0.806,0.757,6.891,0.360,4.192
60,0.767,0.844,7.974,0.348,4.112
61,0.666,0.875,8.860,0.281,4.192
62,0.749,0.851,9.505,0.269,4.304
63,0.589,0.775,9.811,0.240,4.480
64,0.415,0.643,9.747,0.281,4.656
65,0.576,0.456,9.306,0.331,4.800
66,0.724,0.229,8.301,0.322,4.864
67,0.643,0.031,5.372,0.338,4.816
68,1.003,0.000,2.640,0.350,4.592
69,0.840,0.000,1.804,0.300,4.096
70,0.671,0.000,1.040,0.175,3.008
71,0.519,0.000,0.173,0.072,2.496
72,0.193,0.000,-0.684,0.029,2.048
73,0.342,0.000,-0.957,0.036,2.112
74,0.134,0.000,-0.620,0.029,2.192
75,0.292,0.000,-0.187,0.053,2.352
76,0.051,0.000,0.065,0.127,2.768
77,0.286,0.000,-0.224,0.401,3.696
78,0.463,0.000,-0.536,0.627,4.608
79,0.632,0.000,-0.704,0.540,4.352
80,0.656,0.079,0.042,0.408,4.240
81,0.600,0.264,2.137,0.391,4.016
82,0.619,0.570,5.306,0.355,3.824
83,0.777,0.708,6.973,0.360,3.648
84,0.708,0.797,8.098,0.348,3.584
85,0.780,0.838,8.978,0.281,3.664
86,0.564,0.806,9.592,0.269,3.776
87,0.568,0.662,9.799,0.240,3.936
88,0.414,0.446,9.628,0.281,4.112
89,0.531,0.263,9.191,0.331,4.240
90,0.597,0.128,8.467,0.322,4.320
91,0.784,0.016,6.806,0.338,4.304
92,0.675,0.000,5.166,0.350,4.080
93,0.695,0.000,4.637,0.300,3.632
94,0.493,0.000,4.383,0.175,2.640
95,0.478,0.000,4.205,0.072,2.144
96,0.366,0.000,4.202,0.029,1.712
97,0.363,0.000,4.355,0.036,1.792
98,0.214,0.000,4.493,0.029,1.872
99,0.276,0.000,4.635,0.053,2.064
100,0.362,0.000,4.712,0.127,2.528
101,0.143,0.000,4.770,0.401,3.408
102,0.646,0.000,4.750,0.627,4.224
103,0.551,0.000,4.728,0.540,4.000
104,0.648,0.012,4.964,0.408,3.824
105,0.829,0.064,5.481,0.391,3.568
106,0.593,0.275,6.703,0.355,3.360
107,0.723,0.636,8.643,0.360,3.184
108,0.723,0.700,9.793,0.348,3.136
109,0.862,0.717,10.409,0.281,3.216
110,0.736,0.713,10.786,0.269,3.328
111,0.675,0.632,10.821,0.240,3.504
112,0.514,0.530,10.606,0.281,3.648
113,0.551,0.373,9.958,0.331,3.808
114,0.682,0.146,8.825,0.322,3.920
115,0.664,0.025,6.873,0.338,3.904
116,0.885,0.000,3.889,0.350,3.712
117,0.648,0.000,2.743,0.300,3.264
118,0.360,0.000,2.244,0.175,2.320
119,0.577,0.000,2.200,0.072,1.824
120,0.159,0.000,2.102,0.029,1.488
121,0.325,0.000,1.825,0.036,1.568
122,0.000,0.000,1.451,0.029,1.648
123,0.176,0.000,0.953,0.053,1.856
124,0.219,0.000,0.460,0.127,2.336
125,0.159,0.000,-0.030,0.401,3.152
126,0.402,0.000,-0.572,0.627,3.872
127,0.532,0.003,-0.359,0.540,3.680
128,0.654,0.164,3.056,0.408,3.488
129,0.587,0.388,5.527,0.391,3.200
130,0.733,0.594,8.572,0.355,2.992
131,0.726,0.745,10.537,0.360,2.816
132,0.639,0.830,11.864,0.348,2.784
133,0.781,0.859,12.877,0.281,2.864
134,0.717,0.835,13.651,0.269,2.976
135,0.804,0.762,14.127,0.240,3.152
136,0.829,0.637,14.261,0.281,3.296
137,0.771,0.457,14.008,0.331,3.456
138,0.865,0.237,13.179,0.322,3.584
139,1.007,0.038,10.221,0.338,3.584
140,0.663,0.000,7.256,0.350,3.392
141,0.776,0.000,6.213,0.300,2.976
142,0.738,0.000,5.515,0.175,2.080
143,0.875,0.000,4.918,0.072,1.600
144,0.418,0.000,4.389,0.029,1.136
145,0.245,0.000,3.922,0.036,1.200
146,0.289,0.000,3.555,0.029,1.264
147,0.293,0.000,3.307,0.053,1.424
148,0.186,0.000,3.148,0.127,1.808
149,0.103,0.000,3.034,0.401,2.416
150,0.087,0.000,2.932,0.627,2.928
151,0.218,0.003,3.301,0.540,2.816
152,0.448,0.181,5.224,0.408,2.672
153,0.810,0.415,8.037,0.391,2.432
154,0.792,0.608,11.466,0.355,2.272
155,0.844,0.744,13.903,0.360,2.128
156,0.994,0.824,15.407,0.348,2.096
157,1.041,0.850,16.545,0.281,2.176
158,0.642,0.826,17.381,0.269,2.256
159,0.535,0.752,17.858,0.240,2.416
160,0.440,0.626,17.915,0.281,2.512
161,0.615,0.449,17.504,0.331,2.640
162,0.745,0.234,16.244,0.322,2.752
163,0.840,0.039,13.508,0.338,2.752
164,0.676,0.000,11.191,0.350,2.608
165,0.509,0.000,10.786,0.300,2.288
166,0.690,0.000,10.258,0.175,1.600
167,0.416,0.000,9.643,0.072,1.216
