index,electricity,PV,temp,heat_water,heat_space
0,0.0,0.0,6.286,0.200000003,1.700000048
1,0.0,0.0,5.997,0.100000001,1.700000048
2,0.0,0.0,5.705,0.100000001,1.799999952
3,0.0,0.0,5.534,0.0,1.700000048
4,0.0,0.0,5.451,0.100000001,1.799999952
5,0.0,0.0,5.241,0.100000001,2.599999905
6,0.0,0.0,5.217,0.100000001,3.599999905
7,0.0,0.0,5.286,0.200000003,3.299999952
8,0.0,0.0,5.491,0.5,3.099999905
9,0.0,0.0,5.688,1.0,2.799999952
10,0.0,0.0,5.828,1.100000024,2.700000048
11,0.0,0.0,5.999,1.100000024,2.299999952
12,0.0,0.0,6.31,1.0,2.0
13,0.0,0.0,6.725,0.800000012,1.799999952
14,0.0,0.0,6.698,0.699999988,2.200000048
15,0.0,0.0,6.085,0.600000024,2.400000095
16,0.0,0.0,5.25,0.600000024,2.099999905
17,0.0,0.0,4.751,0.600000024,2.099999905
18,0.0,0.0,4.214,0.699999988,2.299999952
19,0.0,0.0,3.543,0.699999988,2.400000095
20,0.0,0.0,3.0,0.699999988,2.5
21,0.0,0.0,2.71,0.600000024,2.400000095
22,0.0,0.0,2.373,0.5,1.100000024
23,0.0,0.0,1.691,0.300000012,0.899999976
24,0.0,0.0,1.013,0.200000003,1.0
25,0.0,0.0,1.227,0.100000001,1.899999976
26,0.0,0.0,1.679,0.0,1.799999952
27,0.0,0.0,1.818,0.0,2.0
28,0.0,0.0,1.477,0.100000001,2.599999905
29,0.0,0.0,1.127,0.300000012,3.599999905
30,0.0,0.0,0.765,1.0,5.5
31,0.0,0.0,0.51,0.899999976,5.099999905
32,0.0,0.0,1.148,0.800000012,4.5
33,0.0,0.0,2.368,0.699999988,4.400000095
34,0.0,0.0,3.581,0.600000024,4.099999905
35,0.0,0.0,4.443,0.5,4.0
36,0.0,0.0,4.72,0.5,3.799999952
37,0.0,0.0,4.549,0.5,3.900000095
38,0.0,0.0,3.514,0.400000006,3.599999905
39,0.0,0.0,1.164,0.400000006,3.799999952
40,0.0,0.0,0.193,0.5,4.300000191
41,0.0,0.0,-0.57,0.600000024,4.300000191
42,0.0,0.0,-1.408,0.699999988,5.0
43,0.0,0.0,-2.167,0.899999976,5.0
44,0.0,0.0,-2.645,0.899999976,5.199999809
45,0.0,0.0,-2.733,1.0,5.599999905
46,0.0,0.0,-2.325,0.5,3.599999905
47,0.0,0.0,-1.55,0.300000012,3.400000095
48,0.0,0.0,-0.877,0.200000003,3.599999905
49,0.0,0.0,-0.699,0.100000001,3.400000095
50,0.0,0.0,-0.711,0.0,3.299999952
51,0.0,0.0,-0.693,0.0,3.200000048
52,0.0,0.0,-0.576,0.100000001,3.599999905
53,0.0,0.0,-0.261,0.400000006,5.300000191
54,0.0,0.0,0.114,1.0,6.599999905
55,0.0,0.0,0.414,1.0,6.0
56,0.0,0.0,0.861,0.800000012,4.699999809
57,0.0,0.0,1.458,0.600000024,4.099999905
58,0.0,0.0,2.221,0.600000024,4.5
59,0.0,0.0,2.915,0.5,3.900000095
60,0.0,0.0,3.333,0.5,3.900000095
61,0.0,0.0,3.431,0.5,3.799999952
62,0.0,0.0,3.076,0.5,3.799999952
63,0.0,0.0,2.237,0.400000006,3.5
64,0.0,0.0,2.097,0.5,3.5
65,0.0,0.0,1.97,0.699999988,3.799999952
66,0.0,0.0,1.588,0.699999988,3.599999905
67,0.0,0.0,1.191,0.899999976,4.5
68,0.0,0.0,0.779,1.0,4.699999809
69,0.0,0.0,0.71,0.800000012,4.199999809
70,0.0,0.0,0.869,0.5,2.799999952
71,0.0,0.0,0.809,0.300000012,2.400000095
72,0.0,0.0,0.573,0.200000003,2.5
73,0.0,0.0,0.357,0.100000001,2.599999905
74,0.0,0.0,0.226,0.0,2.700000048
75,0.0,0.0,0.213,0.0,2.900000095
76,0.0,0.0,0.258,0.100000001,3.200000048
77,0.0,0.0,0.321,0.300000012,4.599999905
78,0.0,0.0,0.467,0.899999976,6.099999905
79,0.0,0.0,0.651,1.0,6.400000095
80,0.0,0.0,0.945,0.800000012,5.400000095
81,0.0,0.0,1.26,0.600000024,4.400000095
82,0.0,0.0,1.682,0.600000024,4.599999905
83,0.0,0.0,2.364,0.5,4.599999905
84,0.0,0.0,2.969,0.5,4.300000191
85,0.0,0.0,3.146,0.5,4.199999809
86,0.0,0.0,2.976,0.5,4.199999809
87,0.0,0.0,2.51,0.400000006,4.5
88,0.0,0.0,2.143,0.5,4.900000095
89,0.0,0.0,1.808,0.600000024,4.800000191
90,0.0,0.0,1.599,0.699999988,5.0
91,0.0,0.0,1.52,0.899999976,5.199999809
92,0.0,0.0,1.548,1.0,5.400000095
93,0.0,0.0,1.699,0.899999976,5.0
94,0.0,0.0,1.947,0.5,3.099999905
95,0.0,0.0,2.178,0.300000012,2.700000048
96,0.0,0.0,2.37,0.200000003,2.599999905
97,0.0,0.0,2.523,0.100000001,2.5
98,0.0,0.0,2.683,0.0,2.400000095
99,0.0,0.0,2.903,0.0,2.400000095
100,0.0,0.0,3.359,0.100000001,2.599999905
101,0.0,0.0,3.898,0.300000012,4.099999905
102,0.0,0.0,3.974,0.899999976,5.400000095
103,0.0,0.0,4.009,1.0,5.599999905
104,0.0,0.0,4.222,0.800000012,5.0
105,0.0,0.0,4.58,0.600000024,4.599999905
106,0.0,0.0,4.986,0.600000024,4.800000191
107,0.0,0.0,5.414,0.600000024,4.5
108,0.0,0.0,5.644,0.5,3.700000048
109,0.0,0.0,5.597,0.5,3.799999952
110,0.0,0.0,5.424,0.5,4.0
111,0.0,0.0,5.162,0.400000006,4.199999809
112,0.0,0.0,4.937,0.5,4.400000095
113,0.0,0.0,4.743,0.600000024,4.5
114,0.0,0.0,4.563,0.699999988,5.900000095
115,0.0,0.0,4.387,1.0,6.099999905
116,0.0,0.0,4.261,1.0,5.900000095
117,0.0,0.0,4.163,1.0,5.599999905
118,0.0,0.0,3.995,0.5,3.400000095
119,0.0,0.0,3.819,0.300000012,3.299999952
120,0.0,0.0,3.679,0.200000003,3.200000048
121,0.0,0.0,3.573,0.100000001,3.200000048
122,0.0,0.0,3.598,0.100000001,3.0
123,0.0,0.0,3.518,0.0,3.200000048
124,0.0,0.0,3.398,0.100000001,3.900000095
125,0.0,0.0,3.278,0.100000001,5.199999809
126,0.0,0.0,3.112,0.100000001,7.099999905
127,0.0,0.0,2.934,0.200000003,6.5
128,0.0,0.0,2.928,0.5,5.699999809
129,0.0,0.0,3.156,1.0,5.5
130,0.0,0.0,3.615,1.100000024,5.199999809
131,0.0,0.0,4.237,1.100000024,4.800000191
132,0.0,0.0,4.733,0.899999976,4.800000191
133,0.0,0.0,5.0,0.800000012,4.599999905
134,0.0,0.0,4.716,0.699999988,4.800000191
135,0.0,0.0,3.8,0.600000024,5.199999809
136,0.0,0.0,3.367,0.600000024,4.900000095
137,0.0,0.0,2.976,0.699999988,5.5
138,0.0,0.0,2.485,0.699999988,5.5
139,0.0,0.0,2.135,0.800000012,5.900000095
140,0.0,0.0,1.876,0.800000012,6.300000191
141,0.0,0.0,1.647,0.600000024,6.0
142,0.0,0.0,1.665,0.5,3.299999952
143,0.0,0.0,1.656,0.300000012,3.400000095
144,0.0,0.0,1.593,0.200000003,3.099999905
145,0.0,0.0,1.504,0.100000001,3.400000095
146,0.0,0.0,1.52,0.100000001,3.099999905
147,0.0,0.0,1.38,0.0,3.299999952
148,0.0,0.0,1.235,0.100000001,3.700000048
149,0.0,0.0,1.265,0.100000001,5.0
150,0.0,0.0,1.345,0.100000001,7.099999905
151,0.0,0.0,1.353,0.200000003,6.699999809
152,0.0,0.0,1.693,0.600000024,6.0
153,0.0,0.0,2.563,1.0,4.800000191
154,0.0,0.0,3.531,1.100000024,4.699999809
155,0.0,0.0,4.371,1.200000048,4.800000191
156,0.0,0.0,4.835,1.0,4.400000095
157,0.0,0.0,4.844,0.800000012,4.699999809
158,0.0,0.0,4.596,0.600000024,4.099999905
159,0.0,0.0,4.456,0.600000024,4.900000095
160,0.0,0.0,4.612,0.600000024,5.099999905
161,0.0,0.0,4.749,0.699999988,5.5
162,0.0,0.0,5.004,0.800000012,6.099999905
163,0.0,0.0,5.067,0.800000012,6.5
164,0.0,0.0,5.415,0.699999988,6.099999905
