hs_Schicht1,hs_Schicht2,hs_Schicht3
59.885,54.915,50.528
62.173,58.414,54.608
60.730,57.041,53.523
62.612,59.610,56.314
61.111,57.993,54.628
62.524,59.664,56.411
60.048,56.960,53.584
57.620,54.407,51.022
55.195,51.917,48.548
52.850,49.543,46.189
50.600,47.280,43.936
48.440,45.115,41.776
56.228,50.377,46.567
59.768,54.643,50.849
61.574,57.545,53.963
62.565,59.384,56.010
63.127,60.501,57.270
63.456,61.168,58.021
63.651,61.565,58.464
63.786,61.836,58.770
63.910,62.082,59.063
64.073,62.410,59.484
64.323,62.954,60.261
63.590,61.690,58.409
64.132,62.607,59.832
64.413,63.193,60.659
63.663,61.853,58.616
64.133,62.614,59.808
63.040,60.898,57.528
61.209,58.509,54.980
58.612,55.551,52.062
56.037,52.816,49.390
53.459,50.170,46.788
50.971,47.655,44.299
48.580,45.254,41.911
46.289,42.961,39.624
55.053,48.700,44.839
51.604,46.593,43.524
57.434,51.630,47.965
60.185,55.327,51.673
61.637,57.757,54.263
62.466,59.291,55.939
62.970,60.259,57.005
63.299,60.895,57.707
63.559,61.391,58.269
63.819,61.893,58.867
64.155,62.582,59.782
64.414,63.170,60.612
64.579,63.573,61.193
63.936,62.316,59.140
64.303,62.966,60.261
63.461,61.524,58.206
63.967,62.276,59.351
62.368,59.982,56.554
59.951,57.057,53.553
57.473,54.333,50.876
54.957,51.703,48.299
52.514,49.213,45.843
50.161,46.842,43.491
47.906,44.580,41.239
45.693,42.365,39.029
43.437,40.108,36.774
53.567,46.563,42.617
58.106,51.880,47.931
60.422,55.518,51.794
61.725,57.866,54.359
62.513,59.366,56.014
63.024,60.351,57.105
63.397,61.067,57.909
61.568,58.806,55.387
62.995,60.524,57.383
63.799,61.884,59.028
63.053,60.805,57.546
63.899,62.149,59.355
63.138,60.994,57.733
62.183,59.676,56.208
60.920,58.101,54.578
59.086,56.018,52.528
56.687,53.467,50.038
54.374,51.088,47.703
52.102,48.789,45.430
49.943,46.620,43.274
47.886,44.558,41.220
45.922,42.594,39.258
43.992,40.665,37.331
54.155,47.283,43.220
58.720,52.702,48.628
61.009,56.377,52.593
62.255,58.710,55.217
62.977,60.159,56.871
63.412,61.052,57.894
63.692,61.626,58.553
61.973,59.369,55.943
60.253,57.326,53.842
58.934,55.847,52.378
57.831,54.655,51.212
56.935,53.709,50.289
61.059,57.448,53.988
59.981,56.430,53.061
58.814,55.323,52.002
57.409,53.976,50.674
55.543,52.158,48.855
53.252,49.899,46.586
51.093,47.754,44.433
49.032,45.700,42.374
47.111,43.782,40.452
45.302,41.975,38.644
43.588,40.262,36.930
54.215,47.261,43.051
51.272,45.617,42.445
57.641,51.532,47.611
54.786,49.749,46.593
59.293,54.240,50.602
61.450,57.385,53.823
62.595,59.421,56.055
63.268,60.735,57.547
63.712,61.638,58.603
64.055,62.357,59.496
63.252,61.114,57.797
62.530,60.086,56.602
61.889,59.234,55.692
61.168,58.334,54.782
60.372,57.393,53.858
59.441,56.344,52.843
58.233,55.040,51.583
56.568,53.304,49.895
54.499,51.195,47.822
52.523,49.203,45.849
50.646,47.320,43.977
48.923,45.596,42.258
47.312,43.985,40.650
45.796,42.469,39.136
44.297,40.971,37.638
54.689,47.911,43.674
51.982,46.360,43.127
58.064,52.139,48.212
55.412,50.440,47.242
59.676,54.807,51.176
61.726,57.850,54.317
59.596,55.922,52.589
61.866,58.505,55.167
60.253,56.905,53.575
59.128,55.787,52.460
62.113,59.015,55.773
61.536,58.412,55.120
60.922,57.767,54.442
60.268,57.084,53.738
59.526,56.312,52.953
58.575,55.330,51.967
57.294,54.019,50.659
55.731,52.434,49.080
54.222,50.912,47.564
52.787,49.470,46.127
51.480,48.159,44.820
50.257,46.935,43.598
49.112,45.789,42.454
47.983,44.661,41.326
56.749,50.894,46.758
54.851,49.656,46.251
53.051,48.451,45.356
51.367,47.227,44.208
49.739,45.927,42.875
48.137,44.541,41.420
46.592,43.125,39.937
45.158,41.762,38.524
43.913,40.554,37.283
43.046,39.705,36.416
42.388,39.057,35.759
