index,ts_T_amb,ts_m_heatspace,Time,ts_P_heatspace,py_P_elec,py_COP,py_status,py_P_heat,ts_P_heat,py_m_flow,ts_m_flow,py_T_1,ts_T_1,py_T_2,ts_T_2,py_T_3,ts_T_3,py_T_m,ts_T_m,ts_T_R,ts_P_heatspace
0,-2.620,195.628,2112.000,2.272,6.177,1.880,1.000,11.613,11.766,700.000,700.000,60.092,59.885,55.196,54.915,50.715,50.528,55.335,55.109,49.885,2.272
1,-3.313,201.138,2113.000,2.336,0.000,1.860,-0.000,0.000,8.448,-0.000,700.000,58.807,61.659,54.144,57.456,50.308,53.446,54.420,57.520,51.659,2.336
2,-3.869,208.027,2114.000,2.416,0.000,1.850,-0.000,0.000,0.000,-0.000,0.000,57.527,61.903,53.141,58.171,49.685,54.574,53.451,58.216,51.903,2.416
3,-4.301,221.803,2115.000,2.576,4.974,1.840,1.000,9.152,7.062,700.000,700.000,61.297,62.481,57.343,59.296,53.743,55.960,57.461,59.246,52.481,2.576
4,-4.747,256.245,2116.000,2.976,0.000,1.840,-0.000,0.000,0.000,-0.000,0.000,60.181,62.422,56.353,59.437,52.944,56.078,56.493,59.312,52.422,2.976
5,-5.110,341.660,2117.000,3.968,0.000,1.830,-0.000,0.000,6.983,-0.000,700.000,58.637,62.613,54.970,59.762,51.673,56.475,55.093,59.617,52.613,3.968
6,-5.437,427.075,2118.000,4.960,0.000,1.830,-0.000,0.000,0.000,-0.000,0.000,56.589,61.735,53.072,58.805,49.807,55.446,53.156,58.662,51.735,4.960
7,-5.260,402.277,2119.000,4.672,0.000,1.830,-0.000,0.000,0.000,-0.000,0.000,54.758,59.363,51.328,56.178,48.054,52.738,51.380,56.093,49.363,4.672
8,-3.187,394.011,2120.000,4.576,0.000,1.840,-0.000,0.000,0.000,-0.000,0.000,53.062,56.940,49.682,53.640,46.392,50.255,49.712,53.611,46.940,4.576
9,-0.595,377.479,2121.000,4.384,0.000,1.850,0.000,0.000,0.000,0.000,0.000,51.542,54.549,48.188,51.219,44.885,47.871,48.205,51.213,44.549,4.384
10,2.251,360.947,2122.000,4.192,0.000,1.860,-0.000,0.000,0.000,-0.000,0.000,50.083,52.251,46.744,48.918,43.430,45.584,46.752,48.918,42.251,4.192
