index,py_P_elec,py_P_heat,py_m_flow,py_COP,py_status,py_T_1,py_T_2,py_T_3,py_T_m
0,6.177,11.613,700.000,1.880,1.000,60.092,55.196,50.715,55.335
1,0.000,0.000,-0.000,1.860,-0.000,58.807,54.144,50.308,54.420
2,0.000,0.000,-0.000,1.850,-0.000,57.527,53.141,49.685,53.451
3,4.974,9.152,700.000,1.840,1.000,61.297,57.343,53.743,57.461
4,0.000,0.000,-0.000,1.840,-0.000,60.181,56.353,52.944,56.493
5,0.000,0.000,-0.000,1.830,-0.000,58.637,54.970,51.673,55.093
6,0.000,0.000,-0.000,1.830,-0.000,56.589,53.072,49.807,53.156
7,0.000,0.000,-0.000,1.830,-0.000,54.758,51.328,48.054,51.380
8,0.000,0.000,-0.000,1.840,-0.000,53.062,49.682,46.392,49.712
9,0.000,0.000,0.000,1.850,0.000,51.542,48.188,44.885,48.205
10,0.000,0.000,-0.000,1.860,-0.000,50.083,46.744,43.430,46.752
11,0.000,0.000,0.000,1.860,0.000,48.842,45.511,42.190,45.514
12,7.573,14.236,700.000,1.880,1.000,57.223,51.587,47.488,52.099
13,5.388,10.236,700.000,1.900,1.000,61.056,56.453,52.409,56.639
14,3.872,7.356,700.000,1.900,1.000,62.788,59.503,55.951,59.414
15,2.938,5.494,700.000,1.870,1.000,63.655,61.340,58.243,61.079
16,2.284,4.179,700.000,1.830,1.000,64.179,62.556,59.859,62.198
17,1.856,3.359,700.000,1.810,1.000,64.471,63.287,60.868,62.876
18,1.655,2.946,700.000,1.780,1.000,64.619,63.674,61.377,63.223
19,1.563,2.736,700.000,1.750,1.000,64.698,63.878,61.635,63.404
20,1.531,2.649,700.000,1.730,1.000,64.736,63.975,61.741,63.484
21,1.481,2.547,700.000,1.720,1.000,64.766,64.056,61.867,63.563
22,0.000,0.000,0.000,1.700,0.000,64.583,63.559,60.771,62.971
23,1.357,2.267,700.000,1.670,1.000,64.779,64.130,62.212,63.707
24,0.000,0.000,0.000,1.650,0.000,64.630,63.716,61.160,63.169
25,1.549,2.571,700.000,1.660,1.000,64.742,64.010,61.837,63.530
26,0.000,0.000,0.000,1.670,0.000,64.381,63.141,60.161,62.561
27,0.000,0.000,0.000,1.680,0.000,63.807,62.035,58.613,61.485
28,0.000,0.000,0.000,1.670,0.000,62.832,60.518,56.907,60.086
29,0.000,0.000,0.000,1.650,0.000,61.209,58.421,54.815,58.148
30,0.000,0.000,0.000,1.640,0.000,58.435,55.314,51.816,55.189
31,0.000,0.000,0.000,1.630,0.000,55.752,52.499,49.080,52.444
32,0.000,0.000,0.000,1.650,0.000,53.349,50.047,46.671,50.022
33,0.000,0.000,0.000,1.700,0.000,50.986,47.665,44.312,47.654
34,0.000,0.000,0.000,1.750,0.000,48.780,45.453,42.111,45.448
35,8.264,14.792,700.000,1.790,1.000,56.370,50.592,46.805,51.256
36,6.250,11.313,700.000,1.810,1.000,59.927,54.883,51.085,55.299
37,4.869,8.764,700.000,1.800,1.000,61.733,57.797,54.219,57.916
38,3.959,6.927,700.000,1.750,1.000,62.828,59.814,56.479,59.707
39,3.508,5.788,700.000,1.650,1.000,63.424,61.027,57.880,60.777
40,3.259,5.246,700.000,1.610,1.000,63.694,61.618,58.547,61.286
41,3.102,4.901,700.000,1.580,1.000,63.870,61.990,58.971,61.610
42,3.192,4.948,700.000,1.550,1.000,63.855,61.978,58.913,61.582
43,0.000,0.000,0.000,1.520,0.000,61.767,59.184,55.724,58.891
44,0.000,0.000,0.000,1.510,0.000,59.251,56.257,52.772,56.093
45,0.000,0.000,0.000,1.500,0.000,56.355,53.156,49.727,53.079
46,0.000,0.000,0.000,1.520,0.000,54.452,51.184,47.791,51.142
47,7.132,11.055,700.000,1.550,1.000,59.392,54.991,51.402,55.262
48,0.000,0.000,-0.000,1.570,-0.000,57.072,53.088,49.813,53.324
49,0.000,0.000,-0.000,1.580,-0.000,55.034,51.328,48.122,51.495
50,0.000,0.000,0.000,1.580,0.000,53.147,49.614,46.395,49.719
51,7.527,11.893,700.000,1.580,1.000,58.803,54.016,50.371,54.397
52,0.000,0.000,0.000,1.580,0.000,56.348,52.134,48.895,52.459
53,0.000,0.000,-0.000,1.600,-0.000,53.152,49.421,46.249,49.607
54,8.043,12.950,700.000,1.610,1.000,57.537,52.464,49.071,53.024
55,0.000,0.000,-0.000,1.620,-0.000,53.561,49.462,46.362,49.795
56,7.501,12.301,700.000,1.640,1.000,58.404,53.385,49.869,53.886
57,0.000,0.000,-0.000,1.670,-0.000,55.573,51.305,48.160,51.679
58,0.000,0.000,-0.000,1.700,-0.000,52.820,49.037,45.915,49.258
59,7.162,12.390,700.000,1.730,1.000,58.366,53.354,49.760,53.827
60,5.553,9.662,700.000,1.740,1.000,60.967,56.699,53.115,56.927
61,4.365,7.639,700.000,1.750,1.000,62.365,59.011,55.604,58.993
62,3.622,6.266,700.000,1.730,1.000,63.157,60.510,57.293,60.320
63,3.091,5.254,700.000,1.700,1.000,63.685,61.571,58.537,61.264
64,2.725,4.605,700.000,1.690,1.000,64.000,62.240,59.336,61.859
65,2.552,4.312,700.000,1.690,1.000,64.146,62.561,59.696,62.134
66,2.421,4.044,700.000,1.670,1.000,64.268,62.825,60.026,62.373
67,2.567,4.236,700.000,1.650,1.000,64.208,62.696,59.789,62.231
68,0.000,0.000,0.000,1.640,0.000,62.421,60.071,56.613,59.702
69,3.625,5.908,700.000,1.630,1.000,63.211,60.919,57.733,60.621
70,0.000,0.000,0.000,1.640,0.000,62.014,59.373,55.955,59.114
71,3.426,5.619,700.000,1.640,1.000,63.336,61.115,58.089,60.846
72,2.746,4.477,700.000,1.630,1.000,63.979,62.257,59.494,61.910
73,0.000,0.000,0.000,1.620,0.000,63.060,60.878,57.594,60.511
74,0.000,0.000,0.000,1.620,0.000,61.935,59.360,55.879,59.058
75,3.609,5.847,700.000,1.620,1.000,63.209,60.915,57.808,60.644
76,0.000,0.000,0.000,1.620,0.000,61.829,59.163,55.774,58.922
77,0.000,0.000,0.000,1.620,0.000,59.597,56.598,53.144,56.446
78,0.000,0.000,0.000,1.630,0.000,56.438,53.234,49.819,53.164
79,0.000,0.000,0.000,1.630,0.000,53.036,49.748,46.374,49.719
80,7.640,12.530,700.000,1.640,1.000,57.983,53.099,49.588,53.556
81,0.000,0.000,0.000,1.660,0.000,55.019,50.854,47.692,51.188
82,0.000,0.000,0.000,1.670,0.000,52.247,48.519,45.374,48.713
83,0.000,0.000,0.000,1.700,0.000,49.641,46.139,42.933,46.238
84,8.310,14.375,700.000,1.730,1.000,56.658,51.003,47.317,51.660
85,6.411,11.154,700.000,1.740,1.000,59.939,54.988,51.280,55.402
86,5.075,8.779,700.000,1.730,1.000,61.659,57.738,54.201,57.866
87,4.247,7.262,700.000,1.710,1.000,62.567,59.424,56.067,59.353
88,0.000,0.000,-0.000,1.690,-0.000,59.999,56.758,53.389,56.716
89,0.000,0.000,-0.000,1.680,-0.000,57.446,54.155,50.797,54.133
90,5.799,9.685,700.000,1.670,1.000,60.377,56.497,53.087,56.654
91,0.000,0.000,-0.000,1.670,-0.000,57.349,53.747,50.470,53.855
92,0.000,0.000,-0.000,1.670,-0.000,54.339,50.892,47.617,50.949
93,0.000,0.000,-0.000,1.670,-0.000,51.609,48.231,44.935,48.258
94,7.564,12.783,700.000,1.690,1.000,58.107,53.026,49.276,53.469
95,0.000,0.000,-0.000,1.690,-0.000,56.128,51.599,48.323,52.016
96,-0.000,-0.000,0.000,1.700,0.000,54.398,50.289,47.165,50.617
97,-0.000,-0.000,0.000,1.710,0.000,52.853,49.035,45.928,49.272
98,0.000,0.000,0.000,1.720,0.000,51.444,47.819,44.678,47.980
99,0.000,0.000,0.000,1.730,0.000,50.084,46.585,43.398,46.689
100,0.000,0.000,0.000,1.750,0.000,48.645,45.228,41.995,45.290
101,8.424,14.911,700.000,1.770,1.000,56.253,50.412,46.658,51.108
102,0.000,0.000,0.000,1.770,0.000,52.273,47.714,44.618,48.202
103,0.000,0.000,0.000,1.770,0.000,48.784,44.930,41.850,45.188
104,8.550,15.219,700.000,1.780,1.000,55.891,49.892,46.280,50.687
105,0.000,0.000,0.000,1.800,0.000,52.374,47.645,44.617,48.212
106,0.000,0.000,0.000,1.820,0.000,49.286,45.308,42.292,45.629
107,8.053,14.817,700.000,1.840,1.000,56.343,50.425,46.774,51.181
108,6.123,11.327,700.000,1.850,1.000,59.939,54.849,51.068,55.285
109,4.726,8.743,700.000,1.850,1.000,61.764,57.825,54.246,57.945
110,3.830,7.048,700.000,1.840,1.000,62.744,59.681,56.331,59.585
111,3.287,6.015,700.000,1.830,1.000,63.291,60.793,57.601,60.562
112,2.983,5.428,700.000,1.820,1.000,63.595,61.429,58.323,61.115
113,2.814,5.093,700.000,1.810,1.000,63.771,61.796,58.736,61.434
114,2.999,5.397,700.000,1.800,1.000,63.608,61.522,58.361,61.164
115,3.156,5.650,700.000,1.790,1.000,63.459,61.256,58.050,60.922
116,3.223,5.737,700.000,1.780,1.000,63.405,61.153,57.943,60.834
117,3.194,5.686,700.000,1.780,1.000,63.435,61.199,58.006,60.880
118,2.730,4.833,700.000,1.770,1.000,63.880,62.017,59.056,61.651
119,2.405,4.256,700.000,1.770,1.000,64.153,62.580,59.764,62.166
120,2.190,3.855,700.000,1.760,1.000,64.329,62.967,60.259,62.518
121,0.000,0.000,-0.000,1.750,-0.000,63.273,61.233,57.881,60.796
122,2.688,4.732,700.000,1.760,1.000,63.883,62.121,59.180,61.728
123,2.376,4.158,700.000,1.750,1.000,64.178,62.667,59.885,62.243
124,2.333,4.082,700.000,1.750,1.000,64.249,62.797,59.979,62.341
125,0.000,0.000,-0.000,1.740,-0.000,62.264,59.904,56.460,59.543
126,4.060,7.024,700.000,1.730,1.000,62.450,59.696,56.360,59.502
127,0.000,0.000,-0.000,1.730,-0.000,59.203,56.112,52.697,56.004
128,0.000,0.000,-0.000,1.730,-0.000,56.223,52.990,49.597,52.937
129,0.000,0.000,-0.000,1.740,-0.000,53.295,50.001,46.635,49.977
130,0.000,0.000,-0.000,1.760,-0.000,50.506,47.189,43.840,47.178
131,0.000,0.000,-0.000,1.780,-0.000,47.926,44.600,41.260,44.595
132,8.579,15.529,700.000,1.810,1.000,55.603,49.605,45.899,50.369
133,6.644,12.092,700.000,1.820,1.000,59.214,53.861,50.127,54.401
134,5.312,9.614,700.000,1.810,1.000,61.053,56.746,53.174,56.991
135,4.581,8.062,700.000,1.760,1.000,62.014,58.497,55.083,58.531
136,3.971,6.950,700.000,1.750,1.000,62.699,59.753,56.451,59.634
137,3.719,6.434,700.000,1.730,1.000,62.987,60.339,57.086,60.137
