index,py_P_heat_hp3,py_P_elec_hp3,py_status_hp2,py_m_flow_hp3,py_P_elec_hp1,py_COP_hp1,py_status_hp1,py_P_heat_hp1,py_T_m,py_m_flow_hp1,Time,py_P_elec_hp2,py_T_1,py_P_heat_hp2,py_T_2,py_m_flow_hp2,py_T_3,py_COP_hp2,py_status_hp3,py_COP_hp3,py_m_flow_hp3
0,0.000,0.000,0.000,0.000,7.792,1.510,1.000,11.766,55.109,700.000,2112.000,0.000,59.885,0.000,54.915,0.000,50.528,2.190,0.000,2.480,0.000
1,0.000,0.000,0.000,0.000,5.708,1.480,1.000,8.448,58.398,700.000,2113.000,0.000,62.173,0.000,58.414,0.000,54.608,2.150,0.000,2.430,0.000
2,0.000,0.000,0.000,0.000,0.000,1.460,0.000,0.000,57.098,0.000,2114.000,0.000,60.730,0.000,57.041,0.000,53.523,2.120,0.000,2.400,0.000
3,0.000,0.000,0.000,0.000,4.870,1.450,1.000,7.062,59.512,700.000,2115.000,0.000,62.612,0.000,59.610,0.000,56.314,2.100,0.000,2.380,0.000
4,0.000,0.000,0.000,0.000,0.000,1.440,0.000,0.000,57.911,0.000,2116.000,0.000,61.111,0.000,57.993,0.000,54.628,2.070,0.000,2.350,0.000
5,0.000,0.000,0.000,0.000,4.917,1.420,1.000,6.983,59.533,700.000,2117.000,0.000,62.524,0.000,59.664,0.000,56.411,2.060,0.000,2.330,0.000
6,0.000,0.000,0.000,0.000,0.000,1.410,0.000,0.000,56.864,0.000,2118.000,0.000,60.048,0.000,56.960,0.000,53.584,2.040,0.000,2.310,0.000
7,0.000,0.000,0.000,0.000,0.000,1.420,0.000,0.000,54.349,0.000,2119.000,0.000,57.620,0.000,54.406,0.000,51.022,2.050,0.000,2.320,0.000
8,0.000,0.000,0.000,0.000,0.000,1.490,0.000,0.000,51.887,0.000,2120.000,0.000,55.195,0.000,51.917,0.000,48.548,2.160,0.000,2.440,0.000
9,0.000,0.000,0.000,0.000,0.000,1.580,0.000,0.000,49.528,0.000,2121.000,0.000,52.850,0.000,49.543,0.000,46.189,2.300,0.000,2.600,0.000
10,0.000,0.000,0.000,0.000,0.000,1.700,0.000,0.000,47.272,0.000,2122.000,0.000,50.600,0.000,47.280,0.000,43.935,2.470,0.000,2.790,0.000
11,0.000,0.000,0.000,0.000,0.000,1.760,0.000,0.000,45.111,0.000,2123.000,0.000,48.440,0.000,45.115,0.000,41.776,2.560,0.000,2.890,0.000
12,0.000,0.000,1.000,0.000,0.000,1.820,0.000,0.000,46.010,0.000,2124.000,2.124,48.664,5.607,46.261,700.000,43.103,2.640,0.000,2.980,0.000
13,1.872,0.614,0.000,700.000,0.000,1.860,0.000,0.000,44.856,0.000,2125.000,0.000,46.351,0.000,45.520,0.000,42.697,2.700,1.000,3.050,700.000
14,0.000,0.000,1.000,0.000,0.000,1.890,0.000,0.000,45.661,0.000,2126.000,2.052,47.883,5.623,46.015,700.000,43.083,2.740,0.000,3.090,0.000
15,0.000,0.000,1.000,0.000,0.000,1.900,0.000,0.000,46.183,0.000,2127.000,1.906,48.494,5.259,46.525,700.000,43.531,2.760,0.000,3.110,0.000
16,0.000,0.000,1.000,0.000,0.000,1.900,0.000,0.000,46.479,0.000,2128.000,1.823,48.754,5.014,46.850,700.000,43.833,2.750,0.000,3.100,0.000
17,0.000,0.000,1.000,0.000,0.000,1.880,0.000,0.000,46.632,0.000,2129.000,1.786,48.869,4.877,47.026,700.000,44.001,2.730,0.000,3.080,0.000
18,0.000,0.000,1.000,0.000,0.000,1.850,0.000,0.000,46.706,0.000,2130.000,1.788,48.921,4.809,47.113,700.000,44.085,2.690,0.000,3.030,0.000
19,0.000,0.000,0.000,0.000,7.984,1.760,1.000,14.051,51.779,700.000,2131.000,0.000,56.383,0.000,51.238,0.000,47.716,2.560,0.000,2.880,0.000
20,0.000,0.000,1.000,0.000,0.000,1.690,0.000,0.000,50.352,0.000,2132.000,0.717,52.323,1.764,50.905,700.000,47.830,2.460,0.000,2.780,0.000
21,0.000,0.000,1.000,0.000,0.000,1.690,0.000,0.000,49.411,0.000,2133.000,0.886,50.808,2.170,50.093,700.000,47.331,2.450,0.000,2.770,0.000
