index,py_P_elec_hp1,py_P_heat_hp1,py_m_flow_hp1,py_COP_hp1,py_status_hp1,py_P_elec_hp2,py_P_heat_hp2,py_m_flow_hp2,py_COP_hp2,py_status_hp2,py_P_elec_hp3,py_P_heat_hp3,py_m_flow_hp3,py_COP_hp3,py_status_hp3,py_T_1,py_T_2,py_T_3,py_T_m
0,7.792,11.766,700.000,1.510,1.000,0.000,0.000,0.000,2.190,0.000,0.000,0.000,0.000,2.480,0.000,59.885,54.915,50.528,55.109
1,5.708,8.448,700.000,1.480,1.000,0.000,0.000,0.000,2.150,0.000,0.000,0.000,0.000,2.430,0.000,62.173,58.414,54.608,58.398
2,0.000,0.000,0.000,1.460,0.000,0.000,0.000,0.000,2.120,0.000,0.000,0.000,0.000,2.400,0.000,60.730,57.041,53.523,57.098
3,4.870,7.062,700.000,1.450,1.000,0.000,0.000,0.000,2.100,0.000,0.000,0.000,0.000,2.380,0.000,62.612,59.610,56.314,59.512
4,0.000,0.000,0.000,1.440,0.000,0.000,0.000,0.000,2.070,0.000,0.000,0.000,0.000,2.350,0.000,61.111,57.993,54.628,57.911
5,4.917,6.983,700.000,1.420,1.000,0.000,0.000,0.000,2.060,0.000,0.000,0.000,0.000,2.330,0.000,62.524,59.664,56.411,59.533
6,0.000,0.000,0.000,1.410,0.000,0.000,0.000,0.000,2.040,0.000,0.000,0.000,0.000,2.310,0.000,60.048,56.960,53.584,56.864
7,0.000,0.000,0.000,1.420,0.000,0.000,0.000,0.000,2.050,0.000,0.000,0.000,0.000,2.320,0.000,57.620,54.406,51.022,54.349
8,0.000,0.000,0.000,1.490,0.000,0.000,0.000,0.000,2.160,0.000,0.000,0.000,0.000,2.440,0.000,55.195,51.917,48.548,51.887
9,0.000,0.000,0.000,1.580,0.000,0.000,0.000,0.000,2.300,0.000,0.000,0.000,0.000,2.600,0.000,52.850,49.543,46.189,49.528
10,0.000,0.000,0.000,1.700,0.000,0.000,0.000,0.000,2.470,0.000,0.000,0.000,0.000,2.790,0.000,50.600,47.280,43.935,47.272
11,0.000,0.000,0.000,1.760,0.000,0.000,0.000,0.000,2.560,0.000,0.000,0.000,0.000,2.890,0.000,48.440,45.115,41.776,45.111
12,0.000,0.000,0.000,1.820,0.000,2.124,5.607,700.000,2.640,1.000,0.000,0.000,0.000,2.980,0.000,48.664,46.261,43.103,46.010
13,0.000,0.000,0.000,1.860,0.000,0.000,0.000,0.000,2.700,0.000,0.614,1.872,700.000,3.050,1.000,46.351,45.520,42.697,44.856
14,0.000,0.000,0.000,1.890,0.000,2.052,5.623,700.000,2.740,1.000,0.000,0.000,0.000,3.090,0.000,47.883,46.015,43.083,45.661
15,0.000,0.000,0.000,1.900,0.000,1.906,5.259,700.000,2.760,1.000,0.000,0.000,0.000,3.110,0.000,48.494,46.525,43.531,46.183
16,0.000,0.000,0.000,1.900,0.000,1.823,5.014,700.000,2.750,1.000,0.000,0.000,0.000,3.100,0.000,48.754,46.850,43.833,46.479
17,0.000,0.000,0.000,1.880,0.000,1.786,4.877,700.000,2.730,1.000,0.000,0.000,0.000,3.080,0.000,48.869,47.026,44.001,46.632
18,0.000,0.000,0.000,1.850,0.000,1.788,4.809,700.000,2.690,1.000,0.000,0.000,0.000,3.030,0.000,48.921,47.113,44.085,46.706
19,7.984,14.051,700.000,1.760,1.000,0.000,0.000,0.000,2.560,0.000,0.000,0.000,0.000,2.880,0.000,56.383,51.238,47.716,51.779
20,0.000,0.000,0.000,1.690,0.000,0.717,1.764,700.000,2.460,1.000,0.000,0.000,0.000,2.780,0.000,52.323,50.905,47.830,50.352
21,0.000,0.000,0.000,1.690,0.000,0.886,2.170,700.000,2.450,1.000,0.000,0.000,0.000,2.770,0.000,50.808,50.093,47.331,49.411
22,0.000,0.000,0.000,1.690,0.000,0.910,2.230,700.000,2.450,1.000,0.000,0.000,0.000,2.770,0.000,50.238,49.686,47.257,49.061
23,7.035,11.749,700.000,1.670,1.000,0.000,0.000,0.000,2.430,0.000,0.000,0.000,0.000,2.750,0.000,57.931,53.821,50.549,54.100
24,0.000,0.000,0.000,1.650,0.000,0.000,0.000,0.000,2.400,0.000,0.000,0.000,0.000,2.710,0.000,56.426,52.580,49.394,52.800
25,0.000,0.000,0.000,1.650,0.000,0.000,0.000,0.000,2.400,0.000,0.000,0.000,0.000,2.710,0.000,54.959,51.308,48.129,51.465
