index,py_P_elec,py_P_heat_60,py_P_heat_55,py_P_heat_50,py_m_hs_60,py_m_hs_55,py_m_hs_50,py_COP_60,py_COP_55,py_COP_50,py_V_60,py_V_55,py_V_50,py_V_total,py_T_return,py_P_heat_total,m_ges,py_T_m,Time,ts_m_heatspace,ts_T_amb,ts_P_heatspace,ts_T_m,ts_P_heat,ts_m_flow
0,0.636,0.000,0.000,1.729,0.000,0.000,148.884,2.130,2.410,2.720,0.533,0.533,0.535,1.600,40.000,1.729,148.884,54.993,0.000,146.376,6.286,1.700,49.829,0.000,0.000
1,0.638,0.000,0.000,1.729,0.000,0.000,148.885,2.110,2.390,2.710,0.532,0.532,0.536,1.600,40.000,1.729,148.885,54.986,1.000,146.376,5.997,1.700,52.317,0.000,0.000
2,0.680,0.000,0.000,1.829,0.000,0.000,157.496,2.100,2.380,2.690,0.531,0.531,0.538,1.600,40.000,1.829,157.496,54.980,2.000,154.987,5.705,1.800,50.851,0.000,0.000
3,0.645,0.000,0.000,1.729,0.000,0.000,148.886,2.090,2.370,2.680,0.531,0.530,0.539,1.600,40.000,1.729,148.886,54.973,3.000,146.376,5.534,1.700,49.469,0.000,0.000
4,0.659,0.000,0.000,1.760,0.000,0.000,151.505,2.080,2.360,2.670,0.530,0.529,0.535,1.594,40.000,1.760,151.505,54.929,4.000,154.987,5.451,1.800,48.011,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.070,2.350,2.660,0.529,0.529,0.310,1.368,40.000,0.000,0.000,53.510,5.000,223.870,5.241,2.600,45.919,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.070,2.350,2.650,0.529,0.528,0.000,1.056,40.000,0.000,0.000,51.555,6.000,309.974,5.217,3.600,43.040,0.000,0.000
7,1.242,0.000,0.000,3.302,0.000,0.000,284.349,2.080,2.350,2.660,0.528,0.527,0.000,1.055,40.000,3.302,284.349,51.539,7.000,284.143,5.286,3.300,41.126,0.000,0.000
8,1.162,0.000,0.000,3.102,0.000,0.000,267.128,2.090,2.360,2.670,0.527,0.526,0.000,1.053,40.000,3.102,267.128,51.523,8.000,266.922,5.491,3.100,40.048,0.000,0.000
9,1.042,0.000,0.000,2.802,0.000,0.000,241.297,2.100,2.380,2.690,0.527,0.525,0.000,1.052,40.000,2.802,241.297,51.507,9.000,241.091,5.688,2.800,40.032,0.000,0.000
