index,Time,ts_m_heatspace,ts_T_amb,ts_P_heatspace,py_P_elec,py_COP,py_status,py_P_heat,ts_P_heat,py_m_flow,ts_m_flow,py_T_1,ts_T_1,py_T_2,ts_T_2,py_T_3,ts_T_3,py_T_m,ts_T_m,ts_T_R
0,0.000,146.376,6.286,1.700,6.185,1.880,1.000,11.627,11.613,700.000,700.000,60.080,59.885,55.181,54.915,50.698,50.528,55.320,55.109,49.885
1,1.000,146.376,5.997,1.700,4.370,1.860,1.000,8.129,0.000,700.000,0.000,62.430,59.173,58.832,54.334,55.001,50.353,58.755,54.620,49.173
2,2.000,154.987,5.705,1.800,3.115,1.850,1.000,5.763,0.000,700.000,0.000,63.565,57.815,61.107,53.278,57.911,49.871,60.861,53.655,47.815
3,3.000,146.376,5.534,1.700,0.000,1.840,-0.000,0.000,9.152,-0.000,700.000,62.806,60.275,60.162,55.828,56.794,52.211,59.921,56.105,50.275
4,4.000,154.987,5.451,1.800,0.000,1.840,-0.000,0.000,0.000,-0.000,0.000,61.955,61.436,59.138,57.068,55.688,53.457,58.927,57.320,51.436
5,5.000,223.870,5.241,2.600,0.000,1.830,-0.000,0.000,0.000,-0.000,0.000,60.663,59.885,57.661,55.819,54.188,52.559,57.504,56.088,49.885
6,6.000,309.974,5.217,3.600,0.000,1.830,-0.000,0.000,0.000,-0.000,0.000,58.797,57.876,55.640,54.165,52.195,51.026,55.544,54.356,47.876
7,7.000,284.143,5.286,3.300,0.000,1.830,-0.000,0.000,0.000,-0.000,0.000,57.042,55.867,53.805,52.402,50.392,49.222,53.746,52.497,45.867
8,8.000,266.922,5.491,3.100,0.000,1.840,-0.000,0.000,0.000,-0.000,0.000,55.372,54.088,52.093,50.733,48.707,47.482,52.058,50.768,44.088
9,9.000,241.091,5.688,2.800,0.000,1.850,-0.000,0.000,0.000,-0.000,0.000,53.853,52.485,50.555,49.170,47.185,45.872,50.531,49.176,42.485
10,10.000,232.480,5.828,2.700,0.000,1.860,-0.000,0.000,0.000,-0.000,0.000,52.384,50.994,49.076,47.690,45.718,44.367,49.060,47.683,40.994
11,11.000,198.039,5.999,2.300,0.000,1.860,-0.000,0.000,0.000,-0.000,0.000,51.129,49.650,47.817,46.347,44.466,43.013,47.804,46.336,39.650
12,12.000,172.208,6.310,2.000,6.799,1.880,1.000,12.783,14.236,700.000,700.000,58.278,55.618,53.200,49.771,49.277,45.732,53.585,50.374,45.618
13,13.000,154.987,6.725,1.800,4.856,1.900,1.000,9.227,10.236,700.000,700.000,61.563,61.395,57.460,55.856,53.650,51.366,57.558,56.206,51.395
14,14.000,189.428,6.698,2.200,3.535,1.900,1.000,6.717,7.356,700.000,700.000,63.047,63.240,60.105,59.935,56.737,56.091,59.963,59.755,53.240
15,15.000,206.649,6.085,2.400,2.734,1.870,1.000,5.112,5.494,700.000,700.000,63.789,63.976,61.688,61.945,58.712,58.888,61.396,61.603,53.976
16,16.000,180.818,5.250,2.100,2.165,1.830,1.000,3.962,4.179,700.000,700.000,64.242,64.376,62.744,63.029,60.127,60.459,62.371,62.621,54.376
17,17.000,180.818,4.751,2.100,1.794,1.810,1.000,3.246,3.359,700.000,700.000,64.495,64.601,63.380,63.642,61.007,61.360,62.960,63.201,54.601
18,18.000,198.039,4.214,2.300,1.628,1.780,1.000,2.899,2.946,700.000,700.000,64.621,64.705,63.709,63.929,61.435,61.748,63.255,63.461,54.705
19,19.000,206.649,3.543,2.400,1.559,1.750,1.000,2.728,2.736,700.000,700.000,64.687,64.746,63.879,64.038,61.645,61.868,63.403,63.550,54.746
20,20.000,215.260,3.000,2.500,1.541,1.730,1.000,2.665,2.649,700.000,700.000,64.717,64.758,63.955,64.064,61.722,61.874,63.465,63.565,54.758
21,21.000,206.649,2.710,2.400,1.499,1.720,1.000,2.578,2.547,700.000,700.000,64.743,64.766,64.024,64.083,61.829,61.906,63.532,63.585,54.766
22,22.000,94.714,2.373,1.100,1.126,1.700,1.000,1.914,0.000,700.000,0.000,64.837,64.677,64.345,63.849,62.645,61.309,63.942,63.278,54.677
