index,py_P_elec,py_P_heat,py_m_flow,py_COP,py_status,py_T_1,py_T_2,py_T_3,py_T_m
0,6.185,11.627,700.000,1.880,1.000,60.080,55.181,50.698,55.320
1,4.370,8.129,700.000,1.860,1.000,62.430,58.832,55.001,58.755
2,3.115,5.763,700.000,1.850,1.000,63.565,61.107,57.911,60.861
3,0.000,0.000,-0.000,1.840,-0.000,62.806,60.162,56.794,59.921
4,0.000,0.000,-0.000,1.840,-0.000,61.955,59.138,55.688,58.927
5,0.000,0.000,-0.000,1.830,-0.000,60.663,57.661,54.188,57.504
6,0.000,0.000,-0.000,1.830,-0.000,58.797,55.640,52.195,55.544
7,0.000,0.000,-0.000,1.830,-0.000,57.042,53.805,50.392,53.746
8,0.000,0.000,-0.000,1.840,-0.000,55.372,52.093,48.707,52.058
9,0.000,0.000,-0.000,1.850,-0.000,53.853,50.555,47.185,50.531
10,0.000,0.000,-0.000,1.860,-0.000,52.384,49.076,45.718,49.060
11,0.000,0.000,-0.000,1.860,-0.000,51.129,47.817,44.466,47.804
12,6.799,12.783,700.000,1.880,1.000,58.278,53.200,49.277,53.585
13,4.856,9.227,700.000,1.900,1.000,61.563,57.460,53.650,57.558
14,3.535,6.717,700.000,1.900,1.000,63.047,60.105,56.737,59.963
15,2.734,5.112,700.000,1.870,1.000,63.789,61.688,58.712,61.396
16,2.165,3.962,700.000,1.830,1.000,64.242,62.744,60.127,62.371
17,1.794,3.246,700.000,1.810,1.000,64.495,63.380,61.007,62.960
18,1.628,2.899,700.000,1.780,1.000,64.621,63.709,61.435,63.255
19,1.559,2.728,700.000,1.750,1.000,64.687,63.879,61.645,63.403
20,1.541,2.665,700.000,1.730,1.000,64.717,63.955,61.722,63.465
21,1.499,2.578,700.000,1.720,1.000,64.743,64.024,61.829,63.532
22,1.126,1.914,700.000,1.700,1.000,64.837,64.345,62.645,63.942
23,0.000,0.000,0.000,1.670,0.000,64.700,63.977,61.614,63.430
24,1.184,1.953,700.000,1.650,1.000,64.822,64.325,62.598,63.915
25,0.000,0.000,-0.000,1.660,-0.000,64.474,63.449,60.671,62.865
26,0.000,0.000,-0.000,1.670,-0.000,63.996,62.463,59.150,61.870
27,0.000,0.000,-0.000,1.680,-0.000,63.309,61.285,57.707,60.767
28,0.000,0.000,-0.000,1.670,-0.000,62.228,59.728,56.072,59.343
29,0.000,0.000,-0.000,1.650,-0.000,60.512,57.616,54.016,57.381
30,0.000,0.000,-0.000,1.640,-0.000,57.671,54.505,51.022,54.400
