index,p_elec_python,p_heat_python,m_flow_python,COP_python,status_python,T1_python,T2_python,T3_python,T_m_python,TIME,Massenstrom,T_amb,P_heatspace,T_R,T_M,T_1,T_2,T_3,p_heat,m_flow
0,7.792,11.766,700.000,1.510,1.000,59.885,54.915,50.528,55.109,2112.000,195.628,-2.620,2.272,49.885,55.109,59.885,54.915,50.528,11.766,700.000
1,5.708,8.448,700.000,1.480,1.000,62.173,58.414,54.608,58.398,2113.000,201.138,-3.313,2.336,52.173,57.543,61.660,57.463,53.507,8.448,700.000
2,0.000,0.000,-0.000,1.460,-0.000,60.730,57.041,53.523,57.098,2114.000,208.027,-3.869,2.416,50.730,58.171,61.902,58.160,54.451,0.000,0.000
3,4.870,7.062,700.000,1.450,1.000,62.612,59.610,56.314,59.512,2115.000,221.803,-4.301,2.576,52.612,59.183,62.475,59.260,55.813,7.062,700.000
4,0.000,0.000,-0.000,1.440,-0.000,61.111,57.993,54.628,57.911,2116.000,256.245,-4.747,2.976,51.111,59.168,62.396,59.342,55.766,0.000,0.000
5,4.917,6.983,700.000,1.420,1.000,62.524,59.664,56.411,59.533,2117.000,341.660,-5.110,3.968,52.524,59.458,62.570,59.628,56.175,6.983,700.000
6,0.000,0.000,-0.000,1.410,-0.000,60.048,56.960,53.584,56.864,2118.000,427.075,-5.437,4.960,50.048,58.305,61.613,58.512,54.790,0.000,0.000
7,0.000,0.000,-0.000,1.420,-0.000,57.620,54.406,51.022,54.349,2119.000,402.277,-5.260,4.672,47.620,55.351,59.038,55.515,51.501,0.000,0.000
8,0.000,0.000,-0.000,1.490,-0.000,55.195,51.917,48.548,51.887,2120.000,394.011,-3.187,4.576,45.195,52.557,56.325,52.596,48.750,0.000,0.000
9,0.000,0.000,-0.000,1.580,-0.000,52.850,49.543,46.189,49.528,2121.000,377.479,-0.595,4.384,42.850,49.933,53.636,49.906,46.256,0.000,0.000
10,0.000,0.000,-0.000,1.700,-0.000,50.600,47.280,43.935,47.272,2122.000,360.947,2.251,4.192,40.600,47.493,51.094,47.446,43.939,0.000,0.000
11,0.000,0.000,-0.000,1.760,-0.000,48.440,45.115,41.776,45.111,2123.000,345.793,3.796,4.016,38.440,45.212,48.718,45.166,41.751,0.000,0.000
12,8.234,14.986,700.000,1.820,1.000,56.228,50.377,46.566,51.057,2124.000,338.905,5.011,3.936,46.228,48.955,54.284,48.055,44.527,14.986,700.000
13,6.185,11.504,700.000,1.860,1.000,59.768,54.643,50.849,55.087,2125.000,345.793,5.955,4.016,49.768,54.408,59.735,53.677,49.812,11.504,700.000
14,4.748,8.973,700.000,1.890,1.000,61.574,57.545,53.963,57.694,2126.000,355.436,6.593,4.128,51.574,57.693,61.736,57.539,53.802,8.973,700.000
15,3.847,7.309,700.000,1.900,1.000,62.565,59.384,56.010,59.320,2127.000,369.213,6.814,4.288,52.565,59.569,62.767,59.682,56.258,7.309,700.000
16,3.308,6.285,700.000,1.900,1.000,63.127,60.501,57.270,60.299,2128.000,384.367,6.707,4.464,53.127,60.592,63.319,60.851,57.606,6.285,700.000
17,3.018,5.674,700.000,1.880,1.000,63.456,61.168,58.021,60.882,2129.000,395.389,6.426,4.592,53.456,61.133,63.614,61.470,58.316,5.674,700.000
18,2.872,5.313,700.000,1.850,1.000,63.651,61.565,58.464,61.227,2130.000,402.277,5.789,4.672,53.651,61.418,63.771,61.795,58.687,5.313,700.000
19,2.878,5.065,700.000,1.760,1.000,63.786,61.836,58.770,61.464,2131.000,398.144,3.664,4.624,53.786,61.592,63.867,61.990,58.918,5.065,700.000
20,0.000,0.000,-0.000,1.690,-0.000,61.950,59.379,55.934,59.087,2132.000,380.234,2.047,4.416,51.950,60.181,62.956,60.604,56.984,0.000,0.000
21,3.670,6.202,700.000,1.690,1.000,63.011,60.565,57.371,60.316,2133.000,337.527,2.024,3.920,53.011,60.003,62.914,60.284,56.811,6.202,700.000
22,2.959,5.001,700.000,1.690,1.000,63.744,61.780,58.848,61.457,2134.000,247.979,2.008,2.880,53.744,61.319,63.725,61.609,58.622,5.001,700.000
23,0.000,0.000,-0.000,1.670,-0.000,62.841,60.501,57.181,60.174,2135.000,205.271,1.625,2.384,52.841,61.035,63.539,61.431,58.134,0.000,0.000
24,0.000,0.000,0.000,1.650,0.000,61.802,59.146,55.675,58.874,2136.000,208.027,1.091,2.416,51.802,59.643,62.622,60.049,56.259,0.000,0.000
25,0.000,0.000,0.000,1.650,0.000,60.639,57.742,54.238,57.539,2137.000,213.537,1.030,2.480,50.639,58.212,61.511,58.520,54.604,0.000,0.000
26,4.043,6.712,700.000,1.660,1.000,62.632,59.945,56.744,59.774,2138.000,220.426,1.357,2.560,52.632,59.216,62.365,59.375,55.907,6.712,700.000
27,0.000,0.000,0.000,1.670,0.000,61.359,58.467,55.104,58.310,2139.000,234.202,1.592,2.720,51.359,59.300,62.461,59.458,55.982,0.000,0.000
28,3.870,6.424,700.000,1.660,1.000,62.854,60.261,57.098,60.071,2140.000,271.399,1.356,3.152,52.854,59.816,62.795,60.006,56.645,6.424,700.000
29,0.000,0.000,0.000,1.650,0.000,60.881,57.972,54.591,57.815,2141.000,360.947,0.980,4.192,50.881,59.093,62.229,59.336,55.714,0.000,0.000
30,0.000,0.000,0.000,1.640,0.000,58.219,55.082,51.671,54.991,2142.000,451.873,0.754,5.248,48.219,56.106,59.713,56.310,52.297,0.000,0.000
31,0.000,0.000,0.000,1.640,0.000,55.624,52.377,48.989,52.330,2143.000,425.697,0.786,4.944,45.624,53.028,56.795,53.090,49.200,0.000,0.000
32,0.000,0.000,0.000,1.650,0.000,53.040,49.744,46.379,49.721,2144.000,417.431,1.043,4.848,43.040,50.145,53.856,50.122,46.456,0.000,0.000
33,0.000,0.000,0.000,1.680,0.000,50.552,47.235,43.886,47.224,2145.000,399.522,1.902,4.640,40.552,47.444,51.044,47.397,43.891,0.000,0.000
34,0.000,0.000,0.000,1.780,0.000,48.161,44.836,41.495,44.830,2146.000,382.990,4.059,4.448,38.161,44.922,48.420,44.878,41.470,0.000,0.000
35,0.000,0.000,0.000,1.870,0.000,45.870,42.543,39.207,42.540,2147.000,366.458,6.127,4.256,35.870,42.552,45.973,42.517,39.166,0.000,0.000
36,8.627,16.650,700.000,1.930,1.000,54.845,48.396,44.519,49.253,2148.000,359.569,7.368,4.176,44.845,46.897,52.591,45.799,42.301,16.650,700.000
37,0.000,0.000,-0.000,1.970,-0.000,51.359,46.295,43.234,46.963,2149.000,366.458,8.220,4.256,41.359,48.116,53.906,46.829,43.613,0.000,0.000
38,7.012,14.024,700.000,2.000,1.000,57.305,51.424,47.749,52.159,2150.000,376.101,8.765,4.368,47.305,50.820,56.278,49.822,46.360,14.024,700.000
39,5.450,10.954,700.000,2.010,1.000,60.110,55.192,51.526,55.609,2151.000,391.256,8.989,4.544,50.110,55.309,60.180,54.758,50.988,10.954,700.000
40,4.404,8.808,700.000,2.000,1.000,61.591,57.670,54.166,57.809,2152.000,406.410,8.839,4.720,51.591,57.957,61.783,57.844,54.245,8.808,700.000
41,3.746,7.417,700.000,1.980,1.000,62.437,59.235,55.877,59.183,2153.000,418.809,8.322,4.864,52.437,59.462,62.643,59.570,56.174,7.417,700.000
42,3.385,6.533,700.000,1.930,1.000,62.952,60.223,56.964,60.046,2154.000,424.320,7.302,4.928,52.952,60.316,63.132,60.548,57.269,6.533,700.000
43,3.305,5.950,700.000,1.800,1.000,63.287,60.871,57.682,60.613,2155.000,421.564,4.537,4.896,53.287,60.827,63.427,61.130,57.924,5.950,700.000
44,3.246,5.486,700.000,1.690,1.000,63.551,61.376,58.252,61.060,2156.000,400.899,1.996,4.656,53.551,61.203,63.644,61.550,58.414,5.486,700.000
45,3.009,4.995,700.000,1.660,1.000,63.814,61.884,58.856,61.518,2157.000,356.814,1.245,4.144,53.814,61.591,63.862,61.974,58.938,4.995,700.000
46,2.606,4.248,700.000,1.630,1.000,64.152,62.576,59.775,62.168,2158.000,261.756,0.519,3.040,54.152,62.158,64.154,62.571,59.749,4.248,700.000
47,0.000,0.000,-0.000,1.600,-0.000,63.300,61.220,57.901,60.807,2159.000,217.670,-0.213,2.528,53.300,61.625,63.885,62.112,58.878,0.000,0.000
48,-0.000,-0.000,0.000,1.570,0.000,62.345,59.868,56.360,59.524,2160.000,205.271,-0.907,2.384,52.345,60.222,63.064,60.713,56.891,0.000,0.000
49,3.466,5.373,700.000,1.550,1.000,63.494,61.410,58.391,61.098,2161.000,210.782,-1.416,2.448,53.494,60.759,63.398,61.103,57.776,5.373,700.000
50,0.000,0.000,0.000,1.540,0.000,62.491,60.039,56.684,59.738,2162.000,217.670,-1.633,2.528,52.491,60.648,63.322,60.988,57.633,0.000,0.000
51,3.427,5.311,700.000,1.550,1.000,63.526,61.457,58.467,61.150,2163.000,231.447,-1.595,2.688,53.526,60.969,63.512,61.306,58.090,5.311,700.000
52,0.000,0.000,0.000,1.550,0.000,62.269,59.768,56.401,59.479,2164.000,267.266,-1.486,3.104,52.269,60.547,63.239,60.916,57.487,0.000,0.000
53,0.000,0.000,0.000,1.550,0.000,60.333,57.444,53.971,57.249,2165.000,356.814,-1.455,4.144,50.333,58.311,61.604,58.651,54.678,0.000,0.000
54,0.000,0.000,0.000,1.550,0.000,57.710,54.570,51.125,54.468,2166.000,444.984,-1.592,5.168,47.710,55.397,59.063,55.567,51.562,0.000,0.000
55,0.000,0.000,0.000,1.550,0.000,55.143,51.891,48.491,51.842,2167.000,420.187,-1.469,4.880,45.143,52.403,56.147,52.433,48.629,0.000,0.000
56,0.000,0.000,0.000,1.630,0.000,52.590,49.290,45.922,49.267,2168.000,411.921,0.501,4.784,42.590,49.597,53.260,49.564,45.968,0.000,0.000
57,0.000,0.000,0.000,1.710,0.000,50.134,46.815,43.465,46.805,2169.000,394.011,2.543,4.576,40.134,46.964,50.518,46.918,43.457,0.000,0.000
58,0.000,0.000,0.000,1.840,0.000,47.776,44.450,41.110,44.446,2170.000,377.479,5.535,4.384,37.776,44.500,47.962,44.459,41.078,0.000,0.000
59,0.000,0.000,0.000,1.910,0.000,45.520,42.192,38.856,42.190,2171.000,360.947,6.891,4.192,35.520,42.178,45.574,42.147,38.811,0.000,0.000
60,8.599,16.854,700.000,1.960,1.000,54.699,48.172,44.269,49.047,2172.000,354.059,7.974,4.112,44.699,46.643,52.391,45.524,42.013,16.854,700.000
61,6.429,12.859,700.000,2.000,1.000,58.856,53.093,49.183,53.711,2173.000,360.947,8.860,4.192,48.856,52.928,58.811,51.967,48.008,12.859,700.000
62,4.871,9.936,700.000,2.040,1.000,60.983,56.464,52.778,56.742,2174.000,370.591,9.505,4.304,50.983,56.732,61.162,56.445,52.590,9.936,700.000
63,3.905,8.006,700.000,2.050,1.000,62.153,58.611,55.152,58.639,2175.000,385.745,9.811,4.480,52.153,58.920,62.385,58.946,55.428,8.006,700.000
64,3.319,6.805,700.000,2.050,1.000,62.826,59.930,56.630,59.795,2176.000,400.899,9.747,4.656,52.826,60.126,63.047,60.326,57.005,6.805,700.000
65,2.997,6.085,700.000,2.030,1.000,63.222,60.723,57.516,60.487,2177.000,413.298,9.306,4.800,53.222,60.774,63.406,61.068,57.847,6.085,700.000
66,2.867,5.647,700.000,1.970,1.000,63.464,61.207,58.054,60.908,2178.000,418.809,8.301,4.864,53.464,61.125,63.603,61.469,58.303,5.647,700.000
67,2.923,5.349,700.000,1.830,1.000,63.630,61.535,58.420,61.195,2179.000,414.676,5.372,4.816,53.630,61.343,63.726,61.714,58.589,5.349,700.000
68,2.967,5.074,700.000,1.710,1.000,63.780,61.825,58.758,61.455,2180.000,395.389,2.640,4.592,53.780,61.540,63.836,61.930,58.855,5.074,700.000
69,0.000,0.000,-0.000,1.680,-0.000,62.094,59.549,56.108,59.250,2181.000,352.681,1.804,4.096,52.094,60.273,63.019,60.691,57.111,0.000,0.000
70,3.491,5.759,700.000,1.650,1.000,63.268,61.010,57.916,60.731,2182.000,259.000,1.040,3.008,53.268,60.351,63.133,60.660,57.260,5.759,700.000
71,0.000,0.000,-0.000,1.610,-0.000,62.227,59.652,56.284,59.388,2183.000,214.915,0.173,2.496,52.227,60.216,63.033,60.501,57.115,0.000,0.000
72,-0.000,-0.000,0.000,1.580,0.000,61.300,58.507,55.049,58.286,2184.000,176.341,-0.684,2.048,51.300,58.914,62.057,59.211,55.473,0.000,0.000
73,0.000,0.000,0.000,1.570,0.000,60.286,57.320,53.841,57.149,2185.000,181.851,-0.957,2.112,50.286,57.707,61.049,57.940,54.132,0.000,0.000
74,0.000,0.000,0.000,1.580,0.000,59.187,56.093,52.628,55.969,2186.000,188.740,-0.620,2.192,49.187,56.460,59.926,56.618,52.835,0.000,0.000
75,0.000,0.000,0.000,1.600,0.000,57.974,54.788,51.350,54.704,2187.000,202.516,-0.187,2.352,47.974,55.143,58.677,55.237,51.517,0.000,0.000
76,5.343,8.602,700.000,1.610,1.000,61.290,57.821,54.419,57.843,2188.000,238.335,0.065,2.768,51.290,56.900,60.631,56.793,53.276,8.602,700.000
77,0.000,0.000,0.000,1.600,0.000,59.246,55.828,52.488,55.854,2189.000,318.240,-0.224,3.696,49.246,56.985,60.790,56.870,53.295,0.000,0.000
78,0.000,0.000,0.000,1.590,0.000,56.732,53.357,50.035,53.374,2190.000,396.766,-0.536,4.608,46.732,54.362,58.144,54.344,50.597,0.000,0.000
79,0.000,0.000,0.000,1.580,0.000,54.373,51.023,47.701,51.032,2191.000,374.724,-0.704,4.352,44.373,51.676,55.425,51.662,47.941,0.000,0.000
80,0.000,0.000,0.000,1.610,0.000,52.085,48.746,45.421,48.751,2192.000,365.080,0.042,4.240,42.085,49.166,52.840,49.133,45.526,0.000,0.000
81,0.000,0.000,0.000,1.690,0.000,49.920,46.588,43.260,46.589,2193.000,345.793,2.137,4.016,39.920,46.823,50.408,46.781,43.280,0.000,0.000
82,0.000,0.000,0.000,1.830,0.000,47.861,44.532,41.201,44.532,2194.000,329.261,5.306,3.824,37.861,44.645,48.149,44.604,41.182,0.000,0.000
83,0.000,0.000,0.000,1.910,0.000,45.897,42.570,39.238,42.568,2195.000,314.107,6.973,3.648,35.897,42.602,46.040,42.567,39.198,0.000,0.000
84,0.000,0.000,-0.000,1.960,-0.000,43.969,40.641,37.309,40.640,2196.000,308.596,8.098,3.584,33.969,40.640,44.030,40.614,37.276,0.000,0.000
85,8.816,17.720,700.000,2.010,1.000,54.143,47.266,43.203,48.204,2197.000,315.484,8.978,3.664,44.143,45.670,51.701,44.488,40.821,17.720,700.000
86,6.529,13.320,700.000,2.040,1.000,58.714,52.691,48.616,53.340,2198.000,325.128,9.592,3.776,48.714,52.552,58.769,51.548,47.340,13.320,700.000
87,4.923,10.093,700.000,2.050,1.000,61.006,56.370,52.585,56.654,2199.000,338.905,9.799,3.936,51.006,56.709,61.270,56.436,52.419,10.093,700.000
88,3.901,7.958,700.000,2.040,1.000,62.253,58.706,55.211,58.723,2200.000,354.059,9.628,4.112,52.253,59.077,62.536,59.130,55.565,7.958,700.000
89,3.273,6.612,700.000,2.020,1.000,62.976,60.156,56.867,60.000,2201.000,365.080,9.191,4.240,52.976,60.387,63.226,60.618,57.318,6.612,700.000
90,2.919,5.779,700.000,1.980,1.000,63.411,61.050,57.892,60.785,2202.000,371.968,8.467,4.320,53.411,61.112,63.612,61.441,58.282,5.779,700.000
91,2.759,5.242,700.000,1.900,1.000,63.691,61.625,58.552,61.289,2203.000,370.591,6.806,4.304,53.691,61.532,63.839,61.916,58.842,5.242,700.000
92,0.000,0.000,-0.000,1.830,-0.000,61.972,59.368,55.941,59.094,2204.000,351.304,5.166,4.080,51.972,60.301,63.052,60.729,57.121,0.000,0.000
93,0.000,0.000,-0.000,1.800,-0.000,60.252,57.324,53.841,57.139,2205.000,312.729,4.637,3.632,50.252,58.022,61.393,58.364,54.309,0.000,0.000
94,0.000,0.000,-0.000,1.790,-0.000,58.933,55.846,52.377,55.719,2206.000,227.314,4.383,2.640,48.933,56.212,59.808,56.389,52.440,0.000,0.000
95,0.000,0.000,-0.000,1.780,-0.000,57.830,54.654,51.211,54.565,2207.000,184.607,4.205,2.144,47.830,54.845,58.475,54.916,51.143,0.000,0.000
96,0.000,0.000,0.000,1.780,0.000,56.934,53.708,50.288,53.643,2208.000,147.410,4.202,1.712,46.934,53.763,57.371,53.776,50.143,0.000,0.000
97,0.000,0.000,0.000,1.790,0.000,55.987,52.725,49.326,52.679,2209.000,154.298,4.355,1.792,45.987,52.781,56.349,52.762,49.232,0.000,0.000
98,5.334,9.601,700.000,1.800,1.000,60.595,56.729,53.190,56.838,2210.000,161.186,4.493,1.872,50.595,55.433,59.535,55.184,51.579,9.601,700.000
99,0.000,0.000,0.000,1.800,0.000,59.345,55.606,52.232,55.728,2211.000,177.718,4.635,2.064,49.345,56.599,60.889,56.263,52.647,0.000,0.000
100,0.000,0.000,0.000,1.800,0.000,57.869,54.262,50.970,54.367,2212.000,217.670,4.712,2.528,47.869,55.169,59.219,54.920,51.369,0.000,0.000
101,0.000,0.000,0.000,1.810,0.000,55.947,52.462,49.190,52.533,2213.000,293.442,4.770,3.408,45.947,53.325,57.191,53.175,49.608,0.000,0.000
102,0.000,0.000,0.000,1.810,0.000,53.623,50.221,46.935,50.260,2214.000,363.702,4.750,4.224,43.623,50.982,54.733,50.913,47.301,0.000,0.000
103,0.000,0.000,0.000,1.810,0.000,51.449,48.088,44.785,48.107,2215.000,344.415,4.728,4.000,41.449,48.576,52.247,48.537,44.944,0.000,0.000
104,0.000,0.000,0.000,1.820,0.000,49.382,46.041,42.725,46.050,2216.000,329.261,4.964,3.824,39.382,46.341,49.936,46.303,42.783,0.000,0.000
105,0.000,0.000,0.000,1.840,0.000,47.459,44.127,40.803,44.129,2217.000,307.218,5.481,3.568,37.459,44.278,47.802,44.240,40.793,0.000,0.000
106,0.000,0.000,0.000,1.900,0.000,45.650,42.321,38.993,42.321,2218.000,289.309,6.703,3.360,35.650,42.376,45.836,42.340,38.952,0.000,0.000
107,0.000,0.000,0.000,1.990,0.000,43.936,40.609,37.279,40.608,2219.000,274.155,8.643,3.184,33.936,40.601,44.010,40.571,37.224,0.000,0.000
108,0.000,0.000,-0.000,2.050,-0.000,42.248,38.922,35.590,38.920,2220.000,270.022,9.793,3.136,32.248,38.896,42.266,38.872,35.549,0.000,0.000
109,8.994,18.707,700.000,2.080,1.000,53.525,46.254,41.990,47.256,2221.000,276.910,10.409,3.216,43.525,44.518,50.876,43.262,39.417,18.707,700.000
110,6.599,13.857,700.000,2.100,1.000,58.566,52.246,47.955,52.923,2222.000,286.553,10.786,3.328,48.566,52.092,58.714,51.042,46.519,13.857,700.000
111,4.892,10.273,700.000,2.100,1.000,61.050,56.284,52.363,56.566,2223.000,301.708,10.821,3.504,51.050,56.675,61.403,56.428,52.195,10.273,700.000
112,3.772,7.884,700.000,2.090,1.000,62.388,58.846,55.302,58.845,2224.000,314.107,10.606,3.648,52.388,59.274,62.724,59.362,55.737,7.884,700.000
113,3.101,6.388,700.000,2.060,1.000,63.144,60.415,57.142,60.234,2225.000,327.883,9.958,3.808,53.144,60.693,63.429,60.960,57.691,6.388,700.000
114,2.739,5.478,700.000,2.000,1.000,63.588,61.366,58.262,61.072,2226.000,337.527,8.825,3.920,53.588,61.455,63.811,61.819,58.734,5.478,700.000
115,2.564,4.897,700.000,1.910,1.000,63.871,61.971,58.977,61.606,2227.000,336.149,6.873,3.904,53.871,61.886,64.032,62.303,59.323,4.897,700.000
116,0.000,0.000,-0.000,1.770,-0.000,62.390,59.924,56.511,59.609,2228.000,319.617,3.889,3.712,52.390,60.799,63.393,61.271,57.731,0.000,0.000
117,0.000,0.000,-0.000,1.720,-0.000,60.900,58.079,54.577,57.852,2229.000,281.043,2.743,3.264,50.900,58.748,62.001,59.151,55.093,0.000,0.000
118,0.000,0.000,-0.000,1.700,-0.000,59.772,56.768,53.271,56.604,2230.000,199.761,2.244,2.320,49.772,57.137,60.660,57.378,53.373,0.000,0.000
119,0.000,0.000,-0.000,1.700,-0.000,58.853,55.744,52.269,55.622,2231.000,157.053,2.200,1.824,48.853,55.949,59.544,56.079,52.225,0.000,0.000
120,-0.000,-0.000,0.000,1.690,0.000,58.087,54.915,51.462,54.821,2232.000,128.122,2.102,1.488,48.087,55.012,58.613,55.074,51.349,0.000,0.000
121,0.000,0.000,0.000,1.680,0.000,57.268,54.046,50.618,53.977,2233.000,135.011,1.825,1.568,47.268,54.147,57.730,54.166,50.545,0.000,0.000
122,5.235,8.690,700.000,1.660,1.000,61.251,57.741,54.310,57.767,2234.000,141.899,1.451,1.648,51.251,56.551,60.406,56.414,52.833,8.690,700.000
123,0.000,0.000,0.000,1.640,0.000,60.206,56.732,53.367,56.768,2235.000,159.809,0.953,1.856,50.206,57.638,61.604,57.450,53.860,0.000,0.000
124,0.000,0.000,0.000,1.620,0.000,58.908,55.477,52.149,55.511,2236.000,201.138,0.460,2.336,48.908,56.342,60.208,56.216,52.604,0.000,0.000
125,0.000,0.000,0.000,1.610,0.000,57.179,53.790,50.475,53.815,2237.000,271.399,-0.030,3.152,47.179,54.642,58.432,54.571,50.922,0.000,0.000
126,0.000,0.000,0.000,1.580,0.000,55.076,51.717,48.401,51.731,2238.000,333.394,-0.572,3.872,45.076,52.486,56.227,52.453,48.778,0.000,0.000
127,0.000,0.000,0.000,1.590,0.000,53.086,49.744,46.423,49.751,2239.000,316.862,-0.359,3.680,43.086,50.262,53.952,50.236,46.598,0.000,0.000
128,0.000,0.000,0.000,1.730,0.000,51.205,47.871,44.545,47.874,2240.000,300.330,3.056,3.488,41.205,48.202,51.827,48.168,44.613,0.000,0.000
129,0.000,0.000,0.000,1.840,0.000,49.481,46.152,42.823,46.152,2241.000,275.532,5.527,3.200,39.481,46.326,49.880,46.286,42.813,0.000,0.000
130,0.000,0.000,0.000,1.990,0.000,47.870,44.543,41.212,44.542,2242.000,257.623,8.572,2.992,37.870,44.618,48.107,44.577,41.169,0.000,0.000
131,0.000,0.000,0.000,2.090,0.000,46.354,43.028,39.697,43.026,2243.000,242.468,10.537,2.816,36.354,43.035,46.470,42.998,39.637,0.000,0.000
132,0.000,0.000,0.000,2.160,0.000,44.856,41.530,38.198,41.528,2244.000,239.713,11.864,2.784,34.856,41.517,44.910,41.487,38.155,0.000,0.000
133,7.685,16.983,700.000,2.210,1.000,54.957,48.312,44.110,49.126,2245.000,246.601,12.877,2.864,44.957,46.604,52.568,45.553,41.690,16.983,700.000
134,5.549,12.540,700.000,2.260,1.000,59.471,53.774,49.575,54.273,2246.000,256.245,13.651,2.976,49.471,53.515,59.635,52.692,48.217,12.540,700.000
135,0.000,0.000,-0.000,2.280,-0.000,56.969,52.063,48.699,52.577,2247.000,271.399,14.127,3.152,46.969,54.412,59.454,54.014,49.767,0.000,0.000
136,4.468,10.232,700.000,2.290,1.000,60.495,56.020,52.414,56.309,2248.000,283.798,14.261,3.296,50.495,56.009,60.431,55.712,51.886,10.232,700.000
137,3.477,7.928,700.000,2.280,1.000,62.204,58.697,55.248,58.716,2249.000,297.575,14.008,3.456,52.204,58.917,62.497,58.924,55.331,7.928,700.000
138,0.000,0.000,-0.000,2.230,-0.000,60.205,56.756,53.402,56.788,2250.000,308.596,13.179,3.584,50.205,58.495,61.919,58.672,54.895,0.000,0.000
139,3.659,7.574,700.000,2.070,1.000,62.136,58.984,55.684,58.935,2251.000,308.596,10.221,3.584,52.136,58.917,62.230,59.049,55.470,7.574,700.000
140,0.000,0.000,-0.000,1.920,-0.000,60.370,57.152,53.806,57.109,2252.000,292.064,7.256,3.392,50.370,58.548,61.900,58.697,55.048,0.000,0.000
141,0.000,0.000,0.000,1.870,0.000,58.800,55.539,52.184,55.508,2253.000,256.245,6.213,2.976,48.800,56.605,60.207,56.769,52.840,0.000,0.000
142,0.000,0.000,-0.000,1.840,-0.000,57.694,54.413,51.058,54.388,2254.000,179.096,5.515,2.080,47.694,55.108,58.805,55.209,51.310,0.000,0.000
143,0.000,0.000,-0.000,1.810,-0.000,56.840,53.547,50.195,53.527,2255.000,137.766,4.918,1.600,46.840,54.032,57.738,54.079,50.278,0.000,0.000
144,0.000,0.000,-0.000,1.790,-0.000,56.231,52.933,49.584,52.916,2256.000,97.814,4.389,1.136,46.231,53.246,56.934,53.258,49.545,0.000,0.000
145,5.212,9.225,700.000,1.770,1.000,60.893,57.157,53.653,57.235,2257.000,103.325,3.922,1.200,50.893,56.050,60.096,55.899,52.155,9.225,700.000
146,0.000,0.000,-0.000,1.750,-0.000,60.139,56.463,53.061,56.554,2258.000,108.835,3.555,1.264,50.139,57.545,61.754,57.316,53.567,0.000,0.000
147,0.000,0.000,-0.000,1.740,-0.000,59.305,55.697,52.362,55.788,2259.000,122.612,3.307,1.424,49.305,56.706,60.799,56.506,52.814,0.000,0.000
148,0.000,0.000,-0.000,1.740,-0.000,58.269,54.735,51.440,54.815,2260.000,155.676,3.148,1.808,48.269,55.701,59.685,55.539,51.878,0.000,0.000
149,0.000,0.000,-0.000,1.730,-0.000,56.916,53.455,50.173,53.515,2261.000,208.027,3.034,2.416,46.916,54.386,58.273,54.271,50.613,0.000,0.000
150,0.000,0.000,-0.000,1.730,-0.000,55.303,51.901,48.613,51.939,2262.000,252.112,2.932,2.928,45.303,52.740,56.550,52.669,49.001,0.000,0.000
