index,Time,ts_T_amb,ts_m_heatspace,ts_P_heatspace,py_P_elec,py_COP,py_status,py_P_heat,ts_P_heat,py_m_flow,py_T_1,ts_T_1,py_T_2,ts_T_2,py_T_3,ts_T_3,py_T_m,ts_T_m,ts_T_R,ts_P_heatspace
0,2112.000,-2.620,195.628,2.272,7.792,1.510,1.000,11.766,11.766,700.000,59.885,59.885,54.915,54.915,50.528,50.528,55.109,55.109,49.885,2.272
1,2113.000,-3.313,201.138,2.336,5.708,1.480,1.000,8.448,8.448,700.000,62.173,61.660,58.414,57.463,54.608,53.507,58.398,57.543,52.173,2.336
2,2114.000,-3.869,208.027,2.416,0.000,1.460,-0.000,0.000,0.000,-0.000,60.730,61.902,57.041,58.160,53.523,54.451,57.098,58.171,50.730,2.416
3,2115.000,-4.301,221.803,2.576,4.870,1.450,1.000,7.062,7.062,700.000,62.612,62.475,59.610,59.260,56.314,55.813,59.512,59.183,52.612,2.576
4,2116.000,-4.747,256.245,2.976,0.000,1.440,-0.000,0.000,0.000,-0.000,61.111,62.396,57.993,59.342,54.628,55.766,57.911,59.168,51.111,2.976
5,2117.000,-5.110,341.660,3.968,4.917,1.420,1.000,6.983,6.983,700.000,62.524,62.570,59.664,59.628,56.411,56.175,59.533,59.458,52.524,3.968
6,2118.000,-5.437,427.075,4.960,0.000,1.410,-0.000,0.000,0.000,-0.000,60.048,61.613,56.960,58.512,53.584,54.790,56.864,58.305,50.048,4.960
7,2119.000,-5.260,402.277,4.672,0.000,1.420,-0.000,0.000,0.000,-0.000,57.620,59.038,54.406,55.515,51.022,51.501,54.349,55.351,47.620,4.672
8,2120.000,-3.187,394.011,4.576,0.000,1.490,-0.000,0.000,0.000,-0.000,55.195,56.325,51.917,52.596,48.548,48.750,51.887,52.557,45.195,4.576
9,2121.000,-0.595,377.479,4.384,0.000,1.580,-0.000,0.000,0.000,-0.000,52.850,53.636,49.543,49.906,46.189,46.256,49.528,49.933,42.850,4.384
10,2122.000,2.251,360.947,4.192,0.000,1.700,-0.000,0.000,0.000,-0.000,50.600,51.094,47.280,47.446,43.935,43.939,47.272,47.493,40.600,4.192
11,2123.000,3.796,345.793,4.016,0.000,1.760,-0.000,0.000,0.000,-0.000,48.440,48.718,45.115,45.166,41.776,41.751,45.111,45.212,38.440,4.016
12,2124.000,5.011,338.905,3.936,8.234,1.820,1.000,14.986,14.986,700.000,56.228,54.284,50.377,48.055,46.566,44.527,51.057,48.955,46.228,3.936
13,2125.000,5.955,345.793,4.016,6.185,1.860,1.000,11.504,11.504,700.000,59.768,59.735,54.643,53.677,50.849,49.812,55.087,54.408,49.768,4.016
