index,py_P_elec,py_P_heat,py_m_flow,py_COP,py_status,py_T_1,py_T_2,py_T_3,py_T_m
0,7.792,11.766,700.000,1.510,1.000,59.885,54.915,50.528,55.109
1,5.708,8.448,700.000,1.480,1.000,62.173,58.414,54.608,58.398
2,0.000,0.000,-0.000,1.460,-0.000,60.730,57.041,53.523,57.098
3,4.870,7.062,700.000,1.450,1.000,62.612,59.610,56.314,59.512
4,0.000,0.000,-0.000,1.440,-0.000,61.111,57.993,54.628,57.911
5,4.917,6.983,700.000,1.420,1.000,62.524,59.664,56.411,59.533
6,0.000,0.000,-0.000,1.410,-0.000,60.048,56.960,53.584,56.864
7,0.000,0.000,-0.000,1.420,-0.000,57.620,54.406,51.022,54.349
8,0.000,0.000,-0.000,1.490,-0.000,55.195,51.917,48.548,51.887
9,0.000,0.000,-0.000,1.580,-0.000,52.850,49.543,46.189,49.528
10,0.000,0.000,-0.000,1.700,-0.000,50.600,47.280,43.935,47.272
11,0.000,0.000,-0.000,1.760,-0.000,48.440,45.115,41.776,45.111
12,8.234,14.986,700.000,1.820,1.000,56.228,50.377,46.566,51.057
13,6.185,11.504,700.000,1.860,1.000,59.768,54.643,50.849,55.087
14,4.748,8.973,700.000,1.890,1.000,61.574,57.545,53.963,57.694
15,3.847,7.309,700.000,1.900,1.000,62.565,59.384,56.010,59.320
16,3.308,6.285,700.000,1.900,1.000,63.127,60.501,57.270,60.299
17,3.018,5.674,700.000,1.880,1.000,63.456,61.168,58.021,60.882
18,2.872,5.313,700.000,1.850,1.000,63.651,61.565,58.464,61.227
19,2.878,5.065,700.000,1.760,1.000,63.786,61.836,58.770,61.464
20,0.000,0.000,-0.000,1.690,-0.000,61.950,59.379,55.934,59.087
21,3.670,6.202,700.000,1.690,1.000,63.011,60.565,57.371,60.316
22,2.959,5.001,700.000,1.690,1.000,63.744,61.780,58.848,61.457
23,0.000,0.000,-0.000,1.670,-0.000,62.841,60.501,57.181,60.174
24,0.000,0.000,0.000,1.650,0.000,61.802,59.146,55.675,58.874
25,0.000,0.000,0.000,1.650,0.000,60.639,57.742,54.238,57.539
26,4.043,6.712,700.000,1.660,1.000,62.632,59.945,56.744,59.774
27,0.000,0.000,0.000,1.670,0.000,61.359,58.467,55.104,58.310
28,3.870,6.424,700.000,1.660,1.000,62.854,60.261,57.098,60.071
29,0.000,0.000,0.000,1.650,0.000,60.881,57.972,54.591,57.815
30,0.000,0.000,0.000,1.640,0.000,58.219,55.082,51.671,54.991
31,0.000,0.000,0.000,1.640,0.000,55.624,52.377,48.989,52.330
32,0.000,0.000,0.000,1.650,0.000,53.040,49.744,46.379,49.721
33,0.000,0.000,0.000,1.680,0.000,50.552,47.235,43.886,47.224
34,0.000,0.000,0.000,1.780,0.000,48.161,44.836,41.495,44.831
35,0.000,0.000,0.000,1.870,0.000,45.870,42.543,39.207,42.540
36,8.627,16.650,700.000,1.930,1.000,54.845,48.396,44.519,49.253
37,-0.000,-0.000,0.000,1.970,0.000,51.359,46.295,43.234,46.963
38,7.012,14.024,700.000,2.000,1.000,57.305,51.424,47.749,52.159
39,5.450,10.954,700.000,2.010,1.000,60.110,55.192,51.526,55.609
40,4.404,8.808,700.000,2.000,1.000,61.591,57.670,54.166,57.809
41,3.746,7.417,700.000,1.980,1.000,62.437,59.235,55.877,59.183
42,3.385,6.533,700.000,1.930,1.000,62.952,60.223,56.964,60.046
43,3.305,5.950,700.000,1.800,1.000,63.287,60.871,57.682,60.613
44,3.246,5.486,700.000,1.690,1.000,63.551,61.376,58.252,61.060
45,3.009,4.995,700.000,1.660,1.000,63.814,61.884,58.856,61.518
46,2.606,4.248,700.000,1.630,1.000,64.152,62.576,59.775,62.168
47,0.000,0.000,0.000,1.600,0.000,63.300,61.220,57.901,60.807
48,-0.000,-0.000,0.000,1.570,0.000,62.345,59.868,56.360,59.524
49,3.466,5.373,700.000,1.550,1.000,63.494,61.410,58.391,61.098
50,0.000,0.000,0.000,1.540,0.000,62.491,60.039,56.684,59.738
51,3.427,5.311,700.000,1.550,1.000,63.526,61.457,58.467,61.150
52,0.000,0.000,0.000,1.550,0.000,62.269,59.768,56.401,59.479
53,0.000,0.000,0.000,1.550,0.000,60.333,57.444,53.971,57.249
54,0.000,0.000,0.000,1.550,0.000,57.710,54.570,51.125,54.468
55,0.000,0.000,0.000,1.550,0.000,55.143,51.891,48.491,51.842
56,0.000,0.000,0.000,1.630,0.000,52.590,49.290,45.922,49.267
57,0.000,0.000,0.000,1.710,0.000,50.134,46.815,43.465,46.805
58,0.000,0.000,0.000,1.840,0.000,47.776,44.450,41.110,44.446
59,0.000,0.000,0.000,1.910,0.000,45.520,42.192,38.856,42.190
60,8.599,16.854,700.000,1.960,1.000,54.699,48.172,44.269,49.047
61,6.429,12.859,700.000,2.000,1.000,58.856,53.093,49.183,53.711
62,4.871,9.936,700.000,2.040,1.000,60.983,56.464,52.778,56.742
63,3.905,8.006,700.000,2.050,1.000,62.153,58.611,55.152,58.639
64,3.319,6.805,700.000,2.050,1.000,62.826,59.930,56.630,59.795
65,2.997,6.085,700.000,2.030,1.000,63.221,60.723,57.516,60.487
66,2.867,5.647,700.000,1.970,1.000,63.464,61.207,58.054,60.908
