 TIME                                   ,T_M                                     ,
 HOURS              ,"�C"                ,
  +2.1120000000000000E+03,  +5.5109032333333325E+01,
  +2.1130000000000000E+03,  +5.4515712048732041E+01,
  +2.1140000000000000E+03,  +5.3234210071616310E+01,
  +2.1150000000000000E+03,  +5.2176165568903592E+01,
  +2.1160000000000000E+03,  +5.1519502761656234E+01,
  +2.1170000000000000E+03,  +5.0882081422458121E+01,
  +2.1180000000000000E+03,  +5.1905926950830356E+01,
  +2.1190000000000000E+03,  +5.1410845756357389E+01,
  +2.1200000000000000E+03,  +5.3965594323073852E+01,
  +2.1210000000000000E+03,  +5.4542246805756633E+01,
  +2.1220000000000000E+03,  +5.1005335099231381E+01,
  +2.1230000000000000E+03,  +5.2585939634568518E+01,
  +2.1240000000000000E+03,  +5.3801741197023233E+01,
  +2.1250000000000000E+03,  +5.5261671636422797E+01,
  +2.1260000000000000E+03,  +5.6457745165727488E+01,
  +2.1270000000000000E+03,  +5.5357327392590612E+01,
  +2.1280000000000000E+03,  +5.3218933524482772E+01,
  +2.1290000000000000E+03,  +5.0247044951827796E+01,
  +2.1300000000000000E+03,  +4.6645443567417580E+01,
  +2.1310000000000000E+03,  +4.5630656918824400E+01,
  +2.1320000000000000E+03,  +5.0538135075058513E+01,
  +2.1330000000000000E+03,  +5.1508781367788941E+01,
  +2.1340000000000000E+03,  +5.2906247896456989E+01,
  +2.1350000000000000E+03,  +5.6992378669015771E+01,
  +2.1360000000000000E+03,  +5.9723350189857108E+01,
  +2.1370000000000000E+03,  +6.0733657630735415E+01,
  +2.1380000000000000E+03,  +5.9924371615283995E+01,
  +2.1390000000000000E+03,  +5.7338503900136438E+01,
  +2.1400000000000000E+03,  +5.5133665893095838E+01,
  +2.1410000000000000E+03,  +5.3309684963140910E+01,
  +2.1420000000000000E+03,  +5.1596473670157415E+01,
  +2.1430000000000000E+03,  +5.0376737024012918E+01,
  +2.1440000000000000E+03,  +4.9597370800568967E+01,
  +2.1450000000000000E+03,  +5.2380254323643747E+01,
  +2.1460000000000000E+03,  +5.5490022038720348E+01,
  +2.1470000000000000E+03,  +5.4548905292565387E+01,
  +2.1480000000000000E+03,  +5.2778598968135036E+01,
  +2.1490000000000000E+03,  +5.1530718288090931E+01,
  +2.1500000000000000E+03,  +4.9745503091595616E+01,
  +2.1510000000000000E+03,  +4.8913089231623978E+01,
  +2.1520000000000000E+03,  +4.9106108590652788E+01,
  +2.1530000000000000E+03,  +4.8555233751256800E+01,
  +2.1540000000000000E+03,  +4.7338501881635885E+01,
  +2.1550000000000000E+03,  +4.7493410711877353E+01,
  +2.1560000000000000E+03,  +5.1421680884000956E+01,
  +2.1570000000000000E+03,  +5.4474485719510930E+01,
  +2.1580000000000000E+03,  +5.6498340588004453E+01,
  +2.1590000000000000E+03,  +5.6622160365262282E+01,
  +2.1600000000000000E+03,  +5.5483572617726544E+01,
  +2.1610000000000000E+03,  +5.3858419355664608E+01,
  +2.1620000000000000E+03,  +5.2045434721778065E+01,
  +2.1630000000000000E+03,  +5.1111321241800603E+01,
  +2.1640000000000000E+03,  +5.3793054680513023E+01,
  +2.1650000000000000E+03,  +5.2931182383448878E+01,
  +2.1660000000000000E+03,  +4.9988274558897892E+01,
  +2.1670000000000000E+03,  +4.9360855909617833E+01,
  +2.1680000000000000E+03,  +5.2463341659273603E+01,
  +2.1690000000000000E+03,  +5.6009380513836049E+01,
  +2.1700000000000000E+03,  +5.8035099995321183E+01,
  +2.1710000000000000E+03,  +5.7033244983752240E+01,
  +2.1720000000000000E+03,  +5.4408621531885096E+01,
  +2.1730000000000000E+03,  +5.1843101582467263E+01,
  +2.1740000000000000E+03,  +4.9728430988105309E+01,
  +2.1750000000000000E+03,  +4.9275906640634417E+01,
  +2.1760000000000000E+03,  +4.9058910610558407E+01,
  +2.1770000000000000E+03,  +4.7986538287006489E+01,
  +2.1780000000000000E+03,  +4.7736325073798746E+01,
  +2.1790000000000000E+03,  +5.1758684744150194E+01,
  +2.1800000000000000E+03,  +5.5223184636433622E+01,
  +2.1810000000000000E+03,  +5.4175975752518262E+01,
  +2.1820000000000000E+03,  +5.2343743046548376E+01,
  +2.1830000000000000E+03,  +5.1500533601962104E+01,
  +2.1840000000000000E+03,  +5.0105388577977486E+01,
  +2.1850000000000000E+03,  +4.8242720967923297E+01,
  +2.1860000000000000E+03,  +4.7453556216344737E+01,
  +2.1870000000000000E+03,  +4.7661434274981730E+01,
  +2.1880000000000000E+03,  +4.7230599717337022E+01,
  +2.1890000000000000E+03,  +4.6439697036437678E+01,
  +2.1900000000000000E+03,  +5.0656470419248905E+01,
  +2.1910000000000000E+03,  +5.1627664841029997E+01,
  +2.1920000000000000E+03,  +4.8795090246753325E+01,
  +2.1930000000000000E+03,  +4.7149635544907547E+01,
  +2.1940000000000000E+03,  +4.7377627548431967E+01,
  +2.1950000000000000E+03,  +4.7695971735066983E+01,
  +2.1960000000000000E+03,  +5.1544330991073217E+01,
  +2.1970000000000000E+03,  +5.5811532777029761E+01,
  +2.1980000000000000E+03,  +5.8305142190657726E+01,
  +2.1990000000000000E+03,  +5.7314164220687992E+01,
  +2.2000000000000000E+03,  +5.4170151800394557E+01,
  +2.2010000000000000E+03,  +5.1461657581766779E+01,
  +2.2020000000000000E+03,  +5.3898038312963173E+01,
  +2.2030000000000000E+03,  +5.6955848984048124E+01,
  +2.2040000000000000E+03,  +5.8266319761858121E+01,
  +2.2050000000000000E+03,  +5.7419297407684319E+01,
  +2.2060000000000000E+03,  +5.5779474403126777E+01,
  +2.2070000000000000E+03,  +5.7231059742515320E+01,
  +2.2080000000000000E+03,  +5.7548225170705450E+01,
  +2.2090000000000000E+03,  +5.8931163265135361E+01,
  +2.2100000000000000E+03,  +5.9376000538420477E+01,
  +2.2110000000000000E+03,  +5.7189686455161187E+01,
  +2.2120000000000000E+03,  +5.4079217790600040E+01,
  +2.2130000000000000E+03,  +5.2033649522632686E+01,
  +2.2140000000000000E+03,  +5.4540251220939275E+01,
  +2.2150000000000000E+03,  +5.6992256877428709E+01,
  +2.2160000000000000E+03,  +5.8364501000812304E+01,
  +2.2170000000000000E+03,  +5.7812140520222648E+01,
  +2.2180000000000000E+03,  +5.8151870029345609E+01,
  +2.2190000000000000E+03,  +5.9136902995001456E+01,
  +2.2200000000000000E+03,  +5.8019666749958979E+01,
  +2.2210000000000000E+03,  +5.8694460257056555E+01,
  +2.2220000000000000E+03,  +5.8269831286355590E+01,
  +2.2230000000000000E+03,  +5.6043356831322654E+01,
  +2.2240000000000000E+03,  +5.4097296094602221E+01,
  +2.2250000000000000E+03,  +5.2459750492902650E+01,
  +2.2260000000000000E+03,  +5.4349006516870894E+01,
  +2.2270000000000000E+03,  +5.4011241323106013E+01,
  +2.2280000000000000E+03,  +5.5007337074067983E+01,
  +2.2290000000000000E+03,  +5.8269912927235055E+01,
  +2.2300000000000000E+03,  +6.0306729546494324E+01,
