 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
 HOURS              ,"°C                 ,°C                  ,°C"                 ,
  +2.1120000000000000E+03,  +5.9884834999999995E+01,  +5.4914723999999993E+01,  +5.0527538000000007E+01,
  +2.1130000000000000E+03,  +5.8928150933276456E+01,  +5.4169598050781573E+01,  +5.0449387162138109E+01,
  +2.1140000000000000E+03,  +5.7182553455394441E+01,  +5.2852125865056962E+01,  +4.9667950894397528E+01,
  +2.1150000000000000E+03,  +5.5540041365603386E+01,  +5.1725468194212198E+01,  +4.9262987146895192E+01,
  +2.1160000000000000E+03,  +5.3998819487943578E+01,  +5.0919110027103855E+01,  +4.9640578769921255E+01,
  +2.1170000000000000E+03,  +5.2550721990828897E+01,  +5.0393463936053884E+01,  +4.9702058340491568E+01,
  +2.1180000000000000E+03,  +5.6657566644979696E+01,  +5.1873921497332461E+01,  +4.7186292710178911E+01,
  +2.1190000000000000E+03,  +5.6623797049228088E+01,  +5.0923865629603668E+01,  +4.6684874590240426E+01,
  +2.1200000000000000E+03,  +5.8145678365974724E+01,  +5.2961230547209652E+01,  +5.0789874056037185E+01,
  +2.1210000000000000E+03,  +5.8181773547318720E+01,  +5.3843972128642889E+01,  +5.1600994741308270E+01,
  +2.1220000000000000E+03,  +5.5312105909950517E+01,  +5.1300574858748959E+01,  +4.6403324528994659E+01,
  +2.1230000000000000E+03,  +5.7886855250514358E+01,  +5.2418124611443417E+01,  +4.7452839041747779E+01,
  +2.1240000000000000E+03,  +5.8073241430155363E+01,  +5.2913403914726509E+01,  +5.0418578246187820E+01,
  +2.1250000000000000E+03,  +5.9424856654990364E+01,  +5.4801036143565973E+01,  +5.1559122110712046E+01,
  +2.1260000000000000E+03,  +6.1732384021967711E+01,  +5.7170318653311206E+01,  +5.0470532821903539E+01,
  +2.1270000000000000E+03,  +6.0330268948956643E+01,  +5.5593064374111947E+01,  +5.0148648854703261E+01,
  +2.1280000000000000E+03,  +5.7110864502445637E+01,  +5.2741093008154238E+01,  +4.9804843062848462E+01,
  +2.1290000000000000E+03,  +5.4104494483725290E+01,  +5.0223956838418076E+01,  +4.6412683533340008E+01,
  +2.1300000000000000E+03,  +5.1067993967613134E+01,  +4.6895697948347312E+01,  +4.1972638786292286E+01,
  +2.1310000000000000E+03,  +4.8253744450953548E+01,  +4.5419985543576139E+01,  +4.3218240761943534E+01,
  +2.1320000000000000E+03,  +5.4177449541114029E+01,  +4.9267331772879047E+01,  +4.8169623911182462E+01,
  +2.1330000000000000E+03,  +5.5910684665297630E+01,  +5.0424114951474216E+01,  +4.8191544486594978E+01,
  +2.1340000000000000E+03,  +5.8327279659166734E+01,  +5.2837634842636653E+01,  +4.7553829187567580E+01,
  +2.1350000000000000E+03,  +6.1939982930249805E+01,  +5.7192520514663869E+01,  +5.1844632562133619E+01,
  +2.1360000000000000E+03,  +6.3340257473324378E+01,  +6.0199935216894694E+01,  +5.5629857879352237E+01,
  +2.1370000000000000E+03,  +6.3964491636380799E+01,  +6.1668138394843005E+01,  +5.6568342860982419E+01,
  +2.1380000000000000E+03,  +6.3525343441637240E+01,  +6.0825186053207979E+01,  +5.5422585351006767E+01,
  +2.1390000000000000E+03,  +6.2093527888958519E+01,  +5.8238104908473943E+01,  +5.1683878902976872E+01,
  +2.1400000000000000E+03,  +6.0027687365578366E+01,  +5.5403049640454526E+01,  +4.9970260673254622E+01,
  +2.1410000000000000E+03,  +5.7299378049184078E+01,  +5.2925692611442891E+01,  +4.9703984228795775E+01,
  +2.1420000000000000E+03,  +5.4389976430134006E+01,  +5.1094941228765265E+01,  +4.9304503351572968E+01,
  +2.1430000000000000E+03,  +5.2189114136710444E+01,  +4.9981998335741423E+01,  +4.8959098599586888E+01,
  +2.1440000000000000E+03,  +5.0782861080375945E+01,  +4.9335906273710251E+01,  +4.8673345047620685E+01,
  +2.1450000000000000E+03,  +5.5985753923460784E+01,  +5.1706384784795723E+01,  +4.9448624262674741E+01,
  +2.1460000000000000E+03,  +6.0431315175300362E+01,  +5.5306266991000335E+01,  +5.0732483949860324E+01,
  +2.1470000000000000E+03,  +5.9384096850110581E+01,  +5.4595055972068565E+01,  +4.9667563055517000E+01,
  +2.1480000000000000E+03,  +5.6359484339315436E+01,  +5.2193038203331611E+01,  +4.9783274361758053E+01,
  +2.1490000000000000E+03,  +5.3962960206960197E+01,  +5.0971099174268602E+01,  +4.9658095483044022E+01,
  +2.1500000000000000E+03,  +5.2099881462838283E+01,  +4.9689389328315258E+01,  +4.7447238483633299E+01,
  +2.1510000000000000E+03,  +5.0542835224007106E+01,  +4.8655483106597387E+01,  +4.7540949364267441E+01,
  +2.1520000000000000E+03,  +4.9548791959022964E+01,  +4.8884808052277073E+01,  +4.8884725760658334E+01,
  +2.1530000000000000E+03,  +4.9122844773576269E+01,  +4.8798621011975051E+01,  +4.7744235468219102E+01,
  +2.1540000000000000E+03,  +4.8580295042807606E+01,  +4.7622669301526642E+01,  +4.5812541300573400E+01,
  +2.1550000000000000E+03,  +4.8112257677695197E+01,  +4.7568083356645680E+01,  +4.6799891101291188E+01,
  +2.1560000000000000E+03,  +5.4799742052196237E+01,  +5.0666666521190237E+01,  +4.8798634078616402E+01,
  +2.1570000000000000E+03,  +6.0062249097718990E+01,  +5.4442431215189565E+01,  +4.8918776845624230E+01,
  +2.1580000000000000E+03,  +6.2028465468881471E+01,  +5.7359733318155577E+01,  +5.0106822976976297E+01,
  +2.1590000000000000E+03,  +6.1599673678342270E+01,  +5.7017582740301577E+01,  +5.1249224677142998E+01,
  +2.1600000000000000E+03,  +5.9778929751872234E+01,  +5.5169534124675373E+01,  +5.1502253976632048E+01,
  +2.1610000000000000E+03,  +5.8031065011524575E+01,  +5.3698417325700795E+01,  +4.9845775729768462E+01,
  +2.1620000000000000E+03,  +5.6301050512482526E+01,  +5.2055571741525732E+01,  +4.7779681911325923E+01,
  +2.1630000000000000E+03,  +5.4575779002359639E+01,  +5.0651280252904805E+01,  +4.8106904470137380E+01,
  +2.1640000000000000E+03,  +5.8070187430672441E+01,  +5.3223435578861462E+01,  +5.0085541032005167E+01,
  +2.1650000000000000E+03,  +5.8401257457137099E+01,  +5.2912056781425001E+01,  +4.7480232911784526E+01,
  +2.1660000000000000E+03,  +5.4448877632378746E+01,  +4.9573817202202363E+01,  +4.5942128842112560E+01,
  +2.1670000000000000E+03,  +5.1343368541994487E+01,  +4.8699304255152484E+01,  +4.8039894931706527E+01,
  +2.1680000000000000E+03,  +5.5971502818914395E+01,  +5.1711365924041601E+01,  +4.9707156234864811E+01,
  +2.1690000000000000E+03,  +6.0435978983570195E+01,  +5.5567869292627172E+01,  +5.2024293265310789E+01,
  +2.1700000000000000E+03,  +6.2024052666675338E+01,  +5.8178877201860431E+01,  +5.3902370117427779E+01,
  +2.1710000000000000E+03,  +6.1004056869225302E+01,  +5.7227882248822134E+01,  +5.2867795833209271E+01,
  +2.1720000000000000E+03,  +5.8401774132895575E+01,  +5.4430331198836960E+01,  +5.0393759263922746E+01,
  +2.1730000000000000E+03,  +5.5741459751926243E+01,  +5.1801894112222271E+01,  +4.7985950883253274E+01,
  +2.1740000000000000E+03,  +5.3143934467189354E+01,  +4.9505502385617440E+01,  +4.6535856111509133E+01,
  +2.1750000000000000E+03,  +5.1010063224413486E+01,  +4.8923359222026853E+01,  +4.7894297475462906E+01,
  +2.1760000000000000E+03,  +4.9837098701538508E+01,  +4.8948022289716000E+01,  +4.8391610840420711E+01,
  +2.1770000000000000E+03,  +4.9116079925740124E+01,  +4.8138312942736299E+01,  +4.6705221992543052E+01,
  +2.1780000000000000E+03,  +4.8401208648536411E+01,  +4.7790261838710315E+01,  +4.7017504734149497E+01,
