time;electricity;PV;temp;heat_water;heat_space
2020-03-30 00:00:00;0.342904439;0;-2.62;0.028804782;2.271993184
2020-03-30 01:00:00;0.102075794;0;-3.313;0.036005977;2.335992992
2020-03-30 02:00:00;0.185367266;0;-3.869;0.028804782;2.415992752
2020-03-30 03:00:00;0.198504184;0;-4.301;0.052808766;2.575992272
2020-03-30 04:00:00;0.297293413;0;-4.747;0.127221119;2.975991072
2020-03-30 05:00:00;0.287833334;0;-5.11;0.400866544;3.967988096
2020-03-30 06:00:00;0.605078791;0;-5.437;0.626504;4.95998512
2020-03-30 07:00:00;0.482008592;0;-5.26;0.540089655;4.671985984
2020-03-30 08:00:00;0.749058297;0.173;-3.187;0.408067739;4.575986272
2020-03-30 09:00:00;0.740346601;0.422;-0.595;0.39126495;4.383986848
2020-03-30 10:00:00;0.668065401;0.62;2.251;0.355258973;4.191987424
2020-03-30 11:00:00;0.524537117;0.739;3.796;0.36005977;4.015987952
2020-03-30 12:00:00;0.870684264;0.779;5.011;0.348057778;3.935988192
2020-03-30 13:00:00;0.73990649;0.762;5.955;0.280846621;4.015987952
2020-03-30 14:00:00;0.75444203;0.716;6.593;0.268844628;4.127987616
2020-03-30 15:00:00;0.434770853;0.612;6.814;0.240039847;4.287987136
2020-03-30 16:00:00;0.608450373;0.47;6.707;0.280846621;4.463986608
2020-03-30 17:00:00;0.595174543;0.32;6.426;0.331254988;4.591986224
2020-03-30 18:00:00;0.63934474;0.155;5.789;0.321653394;4.671985984
2020-03-30 19:00:00;0.818434561;0.016;3.664;0.338456184;4.623986128
2020-03-30 20:00:00;1.051910297;0;2.047;0.350458176;4.415986752
2020-03-30 21:00:00;0.71723583;0;2.024;0.300049808;3.91998824
2020-03-30 22:00:00;0.458570209;0;2.008;0.175229088;2.87999136
2020-03-30 23:00:00;0.508640422;0;1.625;0.072011954;2.383992848
2020-03-31 00:00:00;0.317493369;0;1.091;0.028804782;2.415992752
2020-03-31 01:00:00;0.143189556;0;1.03;0.036005977;2.47999256
2020-03-31 02:00:00;0.192431644;0;1.357;0.028804782;2.55999232
2020-03-31 03:00:00;0.308996872;0;1.592;0.052808766;2.71999184
2020-03-31 04:00:00;0.284467517;0;1.356;0.127221119;3.151990544
2020-03-31 05:00:00;0.2280029;0;0.98;0.400866544;4.191987424
2020-03-31 06:00:00;0.447999716;0;0.754;0.626504;5.247984256
2020-03-31 07:00:00;0.723600153;0;0.786;0.540089655;4.943985168
2020-03-31 08:00:00;0.750230054;0.052;1.043;0.408067739;4.847985456
2020-03-31 09:00:00;0.627079773;0.204;1.902;0.39126495;4.63998608
2020-03-31 10:00:00;0.718341386;0.567;4.059;0.355258973;4.447986656
2020-03-31 11:00:00;0.716586793;0.764;6.127;0.36005977;4.255987232
2020-03-31 12:00:00;0.833289136;0.853;7.368;0.348057778;4.175987472
2020-03-31 13:00:00;0.523157616;0.884;8.22;0.280846621;4.255987232
2020-03-31 14:00:00;0.620334451;0.86;8.765;0.268844628;4.367986896
2020-03-31 15:00:00;0.736875127;0.783;8.989;0.240039847;4.543986368
2020-03-31 16:00:00;0.510280158;0.651;8.839;0.280846621;4.71998584
2020-03-31 17:00:00;0.453734648;0.463;8.322;0.331254988;4.863985408
2020-03-31 18:00:00;0.684650614;0.232;7.302;0.321653394;4.927985216
2020-03-31 19:00:00;0.809459583;0.03;4.537;0.338456184;4.895985312
2020-03-31 20:00:00;0.763846041;0;1.996;0.350458176;4.655986032
2020-03-31 21:00:00;0.866990445;0;1.245;0.300049808;4.143987568
2020-03-31 22:00:00;0.712625287;0;0.519;0.175229088;3.03999088
2020-03-31 23:00:00;0.538921764;0;-0.213;0.072011954;2.527992416
2020-04-01 00:00:00;0.138522546;0;-0.907;0.028804782;2.383992848
2020-04-01 01:00:00;0.345642114;0;-1.416;0.036005977;2.447992656
2020-04-01 02:00:00;0.222516619;0;-1.633;0.028804782;2.527992416
2020-04-01 03:00:00;0.105581809;0;-1.595;0.052808766;2.687991936
2020-04-01 04:00:00;0.241661615;0;-1.486;0.127221119;3.103990688
2020-04-01 05:00:00;0.099591968;0;-1.455;0.400866544;4.143987568
2020-04-01 06:00:00;0.42865043;0;-1.592;0.626504;5.167984496
2020-04-01 07:00:00;0.631167425;0;-1.469;0.540089655;4.87998536
2020-04-01 08:00:00;0.781433808;0.169;0.501;0.408067739;4.783985648
2020-04-01 09:00:00;0.735028919;0.411;2.543;0.39126495;4.575986272
2020-04-01 10:00:00;0.659846857;0.613;5.535;0.355258973;4.383986848
