utc_timestamp,cet_cest_timestamp,DE_COP_ASHP_floor,DE_COP_ASHP_radiator,DE_COP_ASHP_water,DE_COP_GSHP_floor,DE_COP_GSHP_radiator,DE_COP_GSHP_water,DE_COP_WSHP_floor,DE_COP_WSHP_radiator,DE_COP_WSHP_water,DE_heat_demand_space,DE_heat_demand_space_COM,DE_heat_demand_space_MFH,DE_heat_demand_space_SFH,DE_heat_demand_total,DE_heat_demand_water,DE_heat_demand_water_COM,DE_heat_demand_water_MFH,DE_heat_demand_water_SFH,DE_heat_profile_space_COM,DE_heat_profile_space_MFH,DE_heat_profile_space_SFH,DE_heat_profile_water_COM,DE_heat_profile_water_MFH,DE_heat_profile_water_SFH
2019-12-29T00:00:00Z,2019-12-29T01:00:00+0100,2.92000007629,2.36999988556,2.05999994278,3.80999994278,2.88000011444,2.41000008583,4.65000009537,3.46000003815,2.79999995232,,,,,,,,,,223,161,178,97,71,15
2019-12-29T01:00:00Z,2019-12-29T02:00:00+0100,2.8900001049,2.33999991417,2.04999995232,3.75999999046,2.82999992371,2.3900001049,4.63000011444,3.42000007629,2.79999995232,,,,,,,,,,215,165,184,110,69,12
2019-12-29T02:00:00Z,2019-12-29T03:00:00+0100,2.88000011444,2.31999993324,2.03999996185,3.75,2.80999994278,2.3900001049,4.61999988556,3.41000008583,2.79999995232,,,,,,,,,,227,179,194,152,66,23
2019-12-29T03:00:00Z,2019-12-29T04:00:00+0100,2.86999988556,2.30999994278,2.03999996185,3.74000000954,2.79999995232,2.3900001049,4.61999988556,3.3900001049,2.79999995232,,,,,,,,,,259,213,223,187,106,53
2019-12-29T04:00:00Z,2019-12-29T05:00:00+0100,2.8599998951,2.29999995232,2.02999997139,3.72000002861,2.77999997139,2.38000011444,4.61000013351,3.38000011444,2.79999995232,,,,,,,,,,328,317,286,200,144,168
2019-12-29T05:00:00Z,2019-12-29T06:00:00+0100,2.84999990463,2.28999996185,2.02999997139,3.70000004768,2.75999999046,2.36999988556,4.59999990463,3.36999988556,2.79999995232,,,,,,,,,,313,321,358,144,122,262
2019-12-29T06:00:00Z,2019-12-29T07:00:00+0100,2.84999990463,2.29999995232,2.02999997139,3.70000004768,2.76999998093,2.36999988556,4.61000013351,3.38000011444,2.79999995232,,,,,,,,,,299,299,336,174,154,226
2019-12-29T07:00:00Z,2019-12-29T08:00:00+0100,2.86999988556,2.31999993324,2.03999996185,3.68000006676,2.75999999046,2.34999990463,4.61999988556,3.40000009537,2.79999995232,,,,,,,,,,316,304,332,119,138,171
2019-12-29T08:00:00Z,2019-12-29T09:00:00+0100,2.97000002861,2.42000007629,2.07999992371,3.72000002861,2.82999992371,2.34999990463,4.69000005722,3.50999999046,2.79999995232,,,,,,,,,,304,297,320,103,140,164
2019-12-29T09:00:00Z,2019-12-29T10:00:00+0100,3.06999993324,2.53999996185,2.1400001049,3.76999998093,2.91000008583,2.33999991417,4.76999998093,3.6400001049,2.79999995232,,,,,,,,,,287,289,308,108,133,149
2019-12-29T10:00:00Z,2019-12-29T11:00:00+0100,3.16000008583,2.6400001049,2.18000006676,3.82999992371,2.99000000954,2.33999991417,4.82999992371,3.74000000954,2.79999995232,,,,,,,,,,292,280,294,93,129,151
2019-12-29T11:00:00Z,2019-12-29T12:00:00+0100,3.23000001907,2.72000002861,2.21000003815,3.8900001049,3.06999993324,2.3599998951,4.88000011444,3.81999993324,2.79999995232,,,,,,,,,,274,277,289,94,130,145
2019-12-29T12:00:00Z,2019-12-29T13:00:00+0100,3.26999998093,2.76999998093,2.23000001907,3.95000004768,3.1400001049,2.38000011444,4.90999984741,3.86999988556,2.79999995232,,,,,,,,,,271,276,293,83,119,117
2019-12-29T13:00:00Z,2019-12-29T14:00:00+0100,3.27999997139,2.77999997139,2.23000001907,4.01999998093,3.19000005722,2.41000008583,4.90999984741,3.88000011444,2.79999995232,,,,,,,,,,276,276,302,77,122,112
2019-12-29T14:00:00Z,2019-12-29T15:00:00+0100,3.24000000954,2.73000001907,2.21000003815,4.07000017166,3.22000002861,2.45000004768,4.88000011444,3.82999992371,2.79999995232,,,,,,,,,,283,282,312,76,111,100
